"","vultum_aliquis_verba_vobis_forsitan_ilium_oblitus","ideo_illam_duo_utique_quemadmodum_verum_alter","mentem_sestertium_ratione_alius_huic_tuum_tum","tua_tot_veluti_frater_faciem_tuam_terram","potui_subito_vota_fieri_magister_unus_eiusmodi","sive_una_subinde_meos_omnis_unum_locum","fortunata_pectore_gratiam_habinnas_trimalchionis_caesar_scintilla","mare_tellus_potest_fluctus_magnum_fortuna_erit"
"sive",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.0134224036617802,2.0703505103414e-05,2.24210219501805e-05
"subinde",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00188605254803832,2.00597781388538e-05,0.0113605905032886,2.0703505103414e-05,2.24210219501805e-05
"tum",1.63529623391277e-05,1.65972349006655e-05,0.00748120370888603,1.86737876043398e-05,2.00597781388538e-05,0.00517515102781386,2.0703505103414e-05,2.24210219501805e-05
"aliquot",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00655449944912327,0.0050350043128523,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"certe",1.63529623391277e-05,0.00333604421503377,1.86563683513367e-05,1.86737876043398e-05,0.00603799321979499,2.06181315849158e-05,2.0703505103414e-05,0.00226452321696823
"contra",0.00492224166407745,1.65972349006655e-05,0.00561556687375235,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"dii",1.63529623391277e-05,0.00582562945013361,0.00468274845618552,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"duo",1.63529623391277e-05,0.00997493817529999,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"erit",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.00311333786932228,2.0703505103414e-05,0.0101118808995314
"factum",1.63529623391277e-05,1.65972349006655e-05,0.00748120370888603,0.0037534313084723,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"fieri",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.00804397103368037,0.00414424444856807,2.0703505103414e-05,2.24210219501805e-05
"habebat",1.63529623391277e-05,0.000846458979933943,0.00281711162105185,0.00655449944912327,0.00102304868508154,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"invenit",1.63529623391277e-05,0.0025061824700005,1.86563683513367e-05,0.0037534313084723,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.0056276765094953
"lectum",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.0050350043128523,0.00723696418630544,2.0703505103414e-05,2.24210219501805e-05
"loco",1.63529623391277e-05,1.65972349006655e-05,0.00468274845618552,1.86737876043398e-05,0.00603799321979499,2.06181315849158e-05,2.0703505103414e-05,0.00114347211945921
"mare",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.0134750341920585
"melius",1.63529623391277e-05,0.00416590596006705,1.86563683513367e-05,0.000952363167821329,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00674872760700433
"oculis",0.00492224166407745,0.0025061824700005,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00312622927061552,2.24210219501805e-05
"paulo",0.00328694543016467,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.0050350043128523,2.06181315849158e-05,2.0703505103414e-05,0.00338557431447725
"pectus",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00562081006890628,2.00597781388538e-05,2.06181315849158e-05,0.00623175503612762,2.24210219501805e-05
"plus",0.000834001079295514,0.00665549119516688,0.00281711162105185,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"populus",1.63529623391277e-05,0.0025061824700005,0.00561556687375235,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00338557431447725
"propter",1.63529623391277e-05,1.65972349006655e-05,0.00188429320348501,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00726693029129832,0.00338557431447725
"quisquis",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.00414424444856807,2.0703505103414e-05,0.00899082980202238
"semper",0.00246929731320829,0.00333604421503377,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.0056276765094953
"sub",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00655449944912327,0.0050350043128523,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"subito",1.63529623391277e-05,1.65972349006655e-05,0.00188429320348501,0.000952363167821329,0.00904695994062306,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"sui",0.00410459354712106,1.65972349006655e-05,0.00468274845618552,1.86737876043398e-05,0.00202603759202423,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"suis",1.63529623391277e-05,0.00665549119516688,1.86563683513367e-05,1.86737876043398e-05,0.00403201540590961,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"tellus",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.0134750341920585
"terram",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00748818882934026,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00450662541198628
"totam",0.00655753789799022,1.65972349006655e-05,1.86563683513367e-05,0.00281974192825531,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00114347211945921
"tua",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.0112229463502082,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"una",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.0123914970825344,2.0703505103414e-05,2.24210219501805e-05
"unus",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.00704098212673768,2.06181315849158e-05,0.00209105401544481,0.00338557431447725
"valde",0.00492224166407745,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.00620605760705965,2.0703505103414e-05,2.24210219501805e-05
"verum",1.63529623391277e-05,0.00748535294020016,1.86563683513367e-05,0.00281974192825531,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"vobis",0.00819283413190299,0.00167632072496722,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"aliquis",0.00901048224885938,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"id",1.63529623391277e-05,1.65972349006655e-05,0.000951474785918173,1.86737876043398e-05,0.00603799321979499,0.00208243129007649,0.00209105401544481,2.24210219501805e-05
"lacrimas",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00468712068868929,2.00597781388538e-05,2.06181315849158e-05,0.00623175503612762,2.24210219501805e-05
"mentem",1.63529623391277e-05,1.65972349006655e-05,0.0102796589615865,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"meos",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00188605254803832,2.00597781388538e-05,0.00929877734479701,2.0703505103414e-05,2.24210219501805e-05
"navis",0.00492224166407745,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.0056276765094953
"oportet",1.63529623391277e-05,0.00416590596006705,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00623175503612762,2.24210219501805e-05
"pectore",1.63529623391277e-05,0.000846458979933943,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.0103724560568104,2.24210219501805e-05
"posset",0.00410459354712106,1.65972349006655e-05,0.00468274845618552,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00105587876027411,2.24210219501805e-05
"praeterea",1.63529623391277e-05,1.65972349006655e-05,0.00654838529131919,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00416140452578622,2.24210219501805e-05
"putares",1.63529623391277e-05,1.65972349006655e-05,0.00561556687375235,1.86737876043398e-05,0.00403201540590961,0.0010515247108307,2.0703505103414e-05,2.24210219501805e-05
"putes",0.00328694543016467,0.00582562945013361,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"quorum",0.00573988978103383,0.00333604421503377,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"semel",0.0016516491962519,0.000846458979933943,1.86563683513367e-05,0.00748818882934026,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"sestertium",1.63529623391277e-05,1.65972349006655e-05,0.0102796589615865,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"tres",0.00328694543016467,1.65972349006655e-05,1.86563683513367e-05,0.000952363167821329,0.0050350043128523,2.06181315849158e-05,2.0703505103414e-05,0.00114347211945921
"trimalchionis",1.63529623391277e-05,0.0025061824700005,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00830210554646902,2.24210219501805e-05
"unde",1.63529623391277e-05,1.65972349006655e-05,0.00468274845618552,1.86737876043398e-05,2.00597781388538e-05,0.00620605760705965,2.0703505103414e-05,2.24210219501805e-05
"vera",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.00311333786932228,0.00209105401544481,0.00674872760700433
"vultus",1.63529623391277e-05,1.65972349006655e-05,0.00374993003861868,0.00562081006890628,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00114347211945921
"agamemnon",0.00410459354712106,0.00416590596006705,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"ait",0.00410459354712106,1.65972349006655e-05,0.000951474785918173,1.86737876043398e-05,0.00403201540590961,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"amat",1.63529623391277e-05,1.65972349006655e-05,0.000951474785918173,0.000952363167821329,2.00597781388538e-05,2.06181315849158e-05,0.00209105401544481,0.00674872760700433
"animum",0.00492224166407745,0.0025061824700005,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.0010515247108307,2.0703505103414e-05,2.24210219501805e-05
"caelum",1.63529623391277e-05,0.00665549119516688,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00226452321696823
"cito",1.63529623391277e-05,1.65972349006655e-05,0.00561556687375235,1.86737876043398e-05,2.00597781388538e-05,0.00208243129007649,2.0703505103414e-05,0.00226452321696823
"dominum",1.63529623391277e-05,1.65972349006655e-05,0.00468274845618552,1.86737876043398e-05,2.00597781388538e-05,0.0010515247108307,2.0703505103414e-05,0.00450662541198628
"eiusmodi",1.63529623391277e-05,1.65972349006655e-05,0.00281711162105185,1.86737876043398e-05,0.00704098212673768,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"essem",0.00328694543016467,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.00603799321979499,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"eumolpi",0.00492224166407745,1.65972349006655e-05,1.86563683513367e-05,0.00281974192825531,2.00597781388538e-05,2.06181315849158e-05,0.00105587876027411,2.24210219501805e-05
"facta",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.00403201540590961,0.00620605760705965,2.0703505103414e-05,2.24210219501805e-05
"factus",1.63529623391277e-05,0.0025061824700005,1.86563683513367e-05,1.86737876043398e-05,0.00603799321979499,2.06181315849158e-05,0.00105587876027411,2.24210219501805e-05
"feci",0.00573988978103383,1.65972349006655e-05,0.00188429320348501,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00105587876027411,2.24210219501805e-05
"fide",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00468712068868929,2.00597781388538e-05,2.06181315849158e-05,0.00519657978095692,2.24210219501805e-05
"fit",1.63529623391277e-05,1.65972349006655e-05,0.00374993003861868,1.86737876043398e-05,0.00302902649896692,2.06181315849158e-05,0.00312622927061552,2.24210219501805e-05
"fluctus",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.0112329319970404
"forsitan",0.00819283413190299,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"forte",0.00492224166407745,1.65972349006655e-05,0.000951474785918173,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00338557431447725
"gratiam",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.0103724560568104,2.24210219501805e-05
"ilium",0.00737518601494661,0.000846458979933943,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"intravit",0.00246929731320829,1.65972349006655e-05,1.86563683513367e-05,0.0037534313084723,2.00597781388538e-05,0.00311333786932228,2.0703505103414e-05,2.24210219501805e-05
"iuvenes",1.63529623391277e-05,0.00665549119516688,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00226452321696823
"magnum",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.0112329319970404
"malo",1.63529623391277e-05,0.00499576770510033,1.86563683513367e-05,1.86737876043398e-05,0.00403201540590961,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"mortem",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00562081006890628,0.00102304868508154,2.06181315849158e-05,2.0703505103414e-05,0.00338557431447725
"nomen",0.00410459354712106,0.00416590596006705,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"oblitus",0.00737518601494661,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.0010515247108307,2.0703505103414e-05,2.24210219501805e-05
"pariter",1.63529623391277e-05,1.65972349006655e-05,0.000951474785918173,0.000952363167821329,2.00597781388538e-05,0.00517515102781386,0.00312622927061552,2.24210219501805e-05
"potius",1.63529623391277e-05,0.00582562945013361,1.86563683513367e-05,0.00281974192825531,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"potui",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.0100499488475657,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"quemadmodum",1.63529623391277e-05,0.00831521468523344,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"ratione",1.63529623391277e-05,1.65972349006655e-05,0.0093468405440197,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"secundum",1.63529623391277e-05,0.00167632072496722,0.00654838529131919,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00114347211945921
"servi",1.63529623391277e-05,0.00333604421503377,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.00311333786932228,0.00312622927061552,2.24210219501805e-05
"solet",1.63529623391277e-05,1.65972349006655e-05,0.000951474785918173,0.00468712068868929,0.00403201540590961,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"solus",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.00202603759202423,2.06181315849158e-05,2.0703505103414e-05,0.00899082980202238
"suos",0.000834001079295514,0.00416590596006705,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.00414424444856807,2.0703505103414e-05,2.24210219501805e-05
"tota",1.63529623391277e-05,0.00333604421503377,1.86563683513367e-05,1.86737876043398e-05,0.00202603759202423,2.06181315849158e-05,0.00416140452578622,2.24210219501805e-05
"toto",0.00573988978103383,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00312622927061552,2.24210219501805e-05
"tune",1.63529623391277e-05,0.0025061824700005,1.86563683513367e-05,0.000952363167821329,2.00597781388538e-05,2.06181315849158e-05,0.00623175503612762,2.24210219501805e-05
"veluti",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00935556758977423,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"vestimenta",1.63529623391277e-05,1.65972349006655e-05,0.00188429320348501,1.86737876043398e-05,0.00704098212673768,2.06181315849158e-05,2.0703505103414e-05,0.00114347211945921
"vidi",1.63529623391277e-05,0.00333604421503377,1.86563683513367e-05,0.00281974192825531,0.00302902649896692,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"virum",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00281974192825531,2.00597781388538e-05,2.06181315849158e-05,0.00726693029129832,2.24210219501805e-05
"vis",1.63529623391277e-05,1.65972349006655e-05,0.00188429320348501,1.86737876043398e-05,2.00597781388538e-05,0.00826787076555122,2.0703505103414e-05,2.24210219501805e-05
"vota",0.000834001079295514,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.00904695994062306,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"alter",1.63529623391277e-05,0.00748535294020016,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"aquam",1.63529623391277e-05,0.00665549119516688,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.0010515247108307,2.0703505103414e-05,2.24210219501805e-05
"aurum",1.63529623391277e-05,1.65972349006655e-05,0.00468274845618552,1.86737876043398e-05,0.00302902649896692,2.06181315849158e-05,0.00105587876027411,2.24210219501805e-05
"bona",1.63529623391277e-05,0.00333604421503377,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00312622927061552,0.00226452321696823
"causam",1.63529623391277e-05,1.65972349006655e-05,0.00374993003861868,0.00468712068868929,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
