"","λήγοντα_τόνον_ϊ_τέλους_αὐτὸ_ὥσπερ_ὀξύνεται","διὸς_ζεὺς_αὐτῆς_αὐτὴν_ἀφ_ἱστορία_αὐτῇ","ἀσκαλωνίτης_ὁμοίως_ἐνθάδε_ᾖ_ἓν_ἄμεινον_εἰσὶ","τί_πῶς_πρότερον_αὐτοὺς_πρῶτον_ῥητέον_δεύτερον","στικτέον_λόγος_τέλος_ἀρχῆς_ἐὰν_στίχου_ᾖ","ἦ_εὐθείας_περισπαστέον_ὁμοίως_ϊ_πτολεμαῖος_ἔφη","θεῶν_γῆν_οὐρανὸν_γῆς_ὕδωρ_πῶς_φησιν","ἀθετοῦνται_ἕως_τούτου_στίχοι_ἀριστοφάνης_ἀθετεῖται_στίχος","ν_χωρὶς_ἄλλοι_ἀριστάρχου_ἀρίσταρχος_ἀρισταρχος_ϊ","οὗτος_ὃν_ἢν_τούτων_ὧν_ἄνδρες_πόλιν","αὐτόν_λόγον_του_ἀθετεῖται_εἰπεῖν_πάλιν_αὐτὸς","κε_τίς_περ_αὖ_σύνδεσμος_ἐγὼ_μέσου","αὐτὰρ_ὅς_με_μ_σε_ἐπεί_κε","οὔτε_οὐδ_οὐδέ_ἐς_πάρ_οὐδὲ_πόλεμον","ἄργος_οἷον_ἐνθάδε_ὃν_ὥστε_μᾶλλον_βούλεται","λέγειν_λέγων_φόβον_ἤτοι_πυρὸς_σημειοῦνται_ἐνταῦθα","ἔν_τισι_ὅτ_τότε_ἀνδρῶν_ἵππων_ὅσον","του_ἀπὸ_λέξις_σημαίνει_ψυχῆς_ἔχειν_ἀφ","καί_μοι_κεν_μέν_τοι_κ_εἴ","τρώων_πάντες_ὥστε_ὑπὸ_ἤτοι_ἄλλως_γίνεται","οἷς_μέγας_οὐδὲν_ἔπειτα_ζηνοδοτος_ἄλλῳ_μόνον","σύν_ἕτερον_ἵππους_ν_χωρὶς_γ_τότε","τεῖχος_ὄφρα_πάντων_χρόνον_ἐς_μοι_θεῶν","ἵν_βέλτιον_ᾖ_ἐλλείπει_μᾶλλον_τῶ_συναπτέον","ἦ_ἵππους_πάντας_μάλα_πεζὸς_ὥς_τινες","ψιλοῦται_δασύνεται_ἔνθα_μιν_ἀμφί_ψιλῶς_ἐγένετο","ἴλιον_ὅμηρος_νεώτεροι_θηλυκῶς_ποτὲ_ὑπ_πληθυντικῶς","ἀπὸ_ὃς_εἶδος_ὑπὸ_ὃν_δῆλον_εἴρηται","ὄνομα_γίνεται_ζηνοδοτος_ἣν_αἴαντος_ἄρης_κύριον","αὐτὸς_διὸς_οὗτος_εἴτε_ζηνόδοτον_οὖ_πότερον"
"ἦ",5.45399013918583e-06,5.78195106156622e-06,0.00380259882202927,8.1134586051342e-06,8.62797880968404e-06,0.0176703070108447,1.02614620531133e-05,1.07582408124623e-05,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,0.00406947085284979,0.00406475819899944,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,0.00743793470458652,0.000612966034470325,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,0.0121589160886346,0.0157558999069156,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"τί",5.45399013918583e-06,5.78195106156622e-06,7.59001760884085e-06,0.0198860870411839,8.62797880968404e-06,9.54635711012678e-06,0.00514099248860978,1.07582408124623e-05,1.03143823747834e-05,1.15671123860639e-05,0.00640310509924232,0.00812734777164587,0.00811793589030943,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,0.00962717242373981,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"ὥσπερ",0.00791373969195864,0.000583977057218188,0.00645910498512357,8.1134586051342e-06,8.62797880968404e-06,9.54635711012678e-06,1.02614620531133e-05,1.07582408124623e-05,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,0.00464916755553494,1.15805076894571e-05,0.00993555316863588,0.00959833197526722,0.0066065561976931,1.23225552050473e-05,0.000631172495730304,1.20189418523593e-05,0.000646371448125523,1.28448851667266e-05,0.00455241109180047,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,0.00298432117828721
"μοι",5.45399013918583e-06,5.78195106156622e-06,7.59001760884085e-06,8.1134586051342e-06,0.0034598195026833,9.54635711012678e-06,1.02614620531133e-05,0.0010865823220587,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,0.0104461345823865,0.00927598665925514,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,0.0276555852022788,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,0.0123744339769947,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"τοι",5.45399013918583e-06,5.78195106156622e-06,7.59001760884085e-06,8.1134586051342e-06,8.62797880968404e-06,9.54635711012678e-06,1.02614620531133e-05,1.07582408124623e-05,1.03143823747834e-05,0.00174663397029566,1.16208803978989e-05,0.0110258312850717,0.0110130628126737,0.0035142203334423,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,0.0204442200908632,1.26739499632455e-05,0.00707753172686636,1.29698321703717e-05,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,0.00651244729394097,1.49249276141011e-05,0.00595379498752821
"τούτου",0.00327784807365068,0.00463134280031454,0.00266409618070314,8.1134586051342e-06,0.00130282480026229,9.54635711012678e-06,0.00411484628329844,0.0215272398657372,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,0.000663613178577005,1.34949124180184e-05,0.00617368449871325,0.00915586059463869,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"ν",0.00109625201797635,5.78195106156622e-06,7.59001760884085e-06,8.1134586051342e-06,8.62797880968404e-06,0.00526004276767985,1.02614620531133e-05,1.07582408124623e-05,0.0361106526941167,1.15671123860639e-05,1.16208803978989e-05,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,0.0142797852195793,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"οἷον",5.45399013918583e-06,5.78195106156622e-06,7.59001760884085e-06,8.1134586051342e-06,0.00432261738365171,0.00764663204521155,1.02614620531133e-05,1.07582408124623e-05,0.00207319085733146,1.15671123860639e-05,1.16208803978989e-05,1.15939340537031e-05,0.0115920881971466,0.00293046280297016,0.0119949192350093,1.19901201410038e-05,1.23225552050473e-05,0.00496274844682062,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,0.00520090270031906,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,0.00362444405937735,0.00598489597325453,1.4847369046205e-05
"πῶς",5.45399013918583e-06,5.78195106156622e-06,7.59001760884085e-06,0.0186690682504138,8.62797880968404e-06,9.54635711012678e-06,0.00924557730985511,1.07582408124623e-05,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,0.012185224690442,1.15805076894571e-05,1.16751506094429e-05,0.0036068638259119,1.19901201410038e-05,1.23225552050473e-05,0.00434395188237915,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,0.00406196863782354,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"του",5.45399013918583e-06,5.78195106156622e-06,0.00266409618070314,8.1134586051342e-06,8.62797880968404e-06,9.54635711012678e-06,0.00154948077002011,1.07582408124623e-05,0.0113561349946365,1.15671123860639e-05,0.0133756333379817,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,0.00300952015539196,1.23225552050473e-05,0.0272394247667137,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"αὐτῶν",5.45399013918583e-06,0.00752231833109765,7.59001760884085e-06,0.00244215104014539,8.62797880968404e-06,9.54635711012678e-06,0.00257562697533145,0.00538987864704364,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,0.00840003834539616,0.00720606220474329,0.00617360015772871,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,0.00771977598520269,1.29698321703717e-05,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,0.00212370960029254,0.00347635799562339,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"δεῖ",0.00545944412932501,5.78195106156622e-06,0.00532060234379744,8.1134586051342e-06,8.62797880968404e-06,9.54635711012678e-06,1.02614620531133e-05,0.00592779068766675,1.03143823747834e-05,1.15671123860639e-05,0.0110514572584019,0.00464916755553494,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,0.00496274844682062,1.20189418523593e-05,0.00444855643709919,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,0.00676095112142722,1.36888791545748e-05,1.40643019886923e-05,0.000706351624608737,1.44400161728181e-05,0.00299991045043432,1.4847369046205e-05
"διὸς",5.45399013918583e-06,0.0159061473703687,7.59001760884085e-06,8.1134586051342e-06,0.0025970216217149,9.54635711012678e-06,1.02614620531133e-05,0.00807943885015922,1.03143823747834e-05,1.15671123860639e-05,0.000592664900292846,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,0.00124457807570978,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,0.000717279401423307,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,0.0163469533198717
"διπλῆ",0.00164165103189493,5.78195106156622e-06,7.59001760884085e-06,0.00244215104014539,8.62797880968404e-06,9.54635711012678e-06,0.00770635800188811,0.00054867028143558,1.03143823747834e-05,1.15671123860639e-05,0.00872728117882211,0.00812734777164587,1.15805076894571e-05,0.0035142203334423,1.19829362987106e-05,0.00420853216949234,1.23225552050473e-05,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,0.00258182191851205,1.29698321703717e-05,1.3012023109353e-05,0.00811044236322906,1.36888791545748e-05,1.40643019886923e-05,0.00486136118113072,1.44400161728181e-05,0.00523864959254948,1.4847369046205e-05
"ὥστε",5.45399013918583e-06,5.78195106156622e-06,0.00721810674600765,8.1134586051342e-06,8.62797880968404e-06,9.54635711012678e-06,1.02614620531133e-05,1.07582408124623e-05,1.03143823747834e-05,1.15671123860639e-05,0.00872728117882211,0.00812734777164587,1.15805076894571e-05,1.16751506094429e-05,0.0101974787902028,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,1.20189418523593e-05,0.0133203214113711,1.28448851667266e-05,1.29698321703717e-05,0.00456722011138292,1.34949124180184e-05,1.36888791545748e-05,0.00423335489859638,1.38500318550733e-05,1.44400161728181e-05,0.000761171308319155,1.4847369046205e-05
"μᾶλλον",0.00164165103189493,5.78195106156622e-06,0.00342309794158722,0.00731022620322591,8.62797880968404e-06,9.54635711012678e-06,1.02614620531133e-05,0.00969317497202857,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,0.0101974787902028,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,0.00241580731232422,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,0.0182316266767429,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"ἀριστάρχου",5.45399013918583e-06,5.78195106156622e-06,7.59001760884085e-06,8.1134586051342e-06,0.000440026919293886,0.00764663204521155,1.02614620531133e-05,1.07582408124623e-05,0.0283748659130291,1.15671123860639e-05,1.16208803978989e-05,1.15939340537031e-05,1.15805076894571e-05,0.010519310699108,1.19829362987106e-05,1.19901201410038e-05,0.00124457807570978,1.23759312888295e-05,0.00301675440494219,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"οὐδ",5.45399013918583e-06,5.78195106156622e-06,7.59001760884085e-06,0.00325349690065881,8.62797880968404e-06,9.54635711012678e-06,1.02614620531133e-05,0.0043140545657974,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,1.15939340537031e-05,0.00811793589030943,0.0332858543875216,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,1.20189418523593e-05,0.0012800689462878,0.00515079895185737,1.29698321703717e-05,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"χωρὶς",0.00164165103189493,5.78195106156622e-06,7.59001760884085e-06,0.000819459319118554,8.62797880968404e-06,9.54635711012678e-06,1.02614620531133e-05,1.07582408124623e-05,0.0345634953378992,1.15671123860639e-05,1.16208803978989e-05,1.15939340537031e-05,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,0.0142797852195793,1.3012023109353e-05,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"τῶ",5.45399013918583e-06,5.78195106156622e-06,7.59001760884085e-06,8.1134586051342e-06,0.0025970216217149,9.54635711012678e-06,1.02614620531133e-05,1.07582408124623e-05,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,0.00406947085284979,1.15805076894571e-05,0.00876803810769159,1.19829362987106e-05,1.19901201410038e-05,1.23225552050473e-05,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,0.0057930432101937,0.00714637752587481,0.00782022588872118,0.0182316266767429,1.36888791545748e-05,0.00563978509746561,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
"ζεὺς",5.45399013918583e-06,0.0159061473703687,7.59001760884085e-06,0.00568753448219907,8.62797880968404e-06,0.00239613563464182,1.02614620531133e-05,0.0010865823220587,1.03143823747834e-05,1.15671123860639e-05,1.16208803978989e-05,0.00348977415016463,1.15805076894571e-05,1.16751506094429e-05,1.19829362987106e-05,1.19901201410038e-05,0.00309296135646688,1.23759312888295e-05,1.20189418523593e-05,1.26739499632455e-05,1.28448851667266e-05,1.29698321703717e-05,0.00456722011138292,1.34949124180184e-05,1.36888791545748e-05,1.40643019886923e-05,1.38500318550733e-05,1.44400161728181e-05,1.49249276141011e-05,1.4847369046205e-05
