"","non_nec_sed_quid_est_ad_ego","in_tibi_tu_quid_te_non_et","et_est_ego_quod_tamen_si_non","non_est_et_de_si_in_ex","trimalchio_ad_sed_et_non_est_cum","et_in_mihi_nos_nihil_trimalchio_inquit","est_non_aut_quid_modo_in_inquit","et_in_quam_tamen_ne_habet_quae","et_trimalchio_inquit_non_cum_haec_me","in_et_ut_ad_manus_se_quo","et_qui_est_itaque_tanquam_cum_plane","in_et_cum_iam_quo_dum_sum","de_me_ut_esset_sed_nisi_ego","et_in_sunt_cum_ex_etiam_nos","ad_et_omnes_statim_si_summam_sunt","in_ad_haec_cum_ut_esse_quod","et_super_inquit_habinnas_familia_ac_medio","eius_qui_per_coepit_ad_ille_post","quae_altera_pro_super_erat_a_nobis","cum_et_trimalchio_atque_inter_autem_nostrum"
"quam",0.00194969034329842,3.95914165808853e-05,0.0108620391206509,4.68208633767207e-05,0.0261038468826985,0.0143964032906065,5.28876665961498e-05,0.0469574393246571,0.0121026011560694,6.00312162324409e-05,0.0188620127835568,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"esse",0.015329918189464,3.95914165808853e-05,0.0324995672494374,4.68208633767207e-05,0.0237350767481524,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,0.0278317601332593,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,0.0250799360511591
"enim",0.0363559905191528,3.95914165808853e-05,0.0216808031850441,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,0.0147145034587877,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,0.00675223960422516,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,0.0321782178217822,0.0100919264588329
"hoc",0.0172413793103448,3.95914165808853e-05,0.0086982863077722,0.021116209382901,0.0142599962099678,0.0191792615266883,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,0.0267190831556503,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"mihi",3.8229222417616e-05,0.015876158048935,0.0151895447464082,4.68208633767207e-05,4.73754026909229e-05,0.0430935527070978,0.0238523376348636,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,0.0090925459128556,9.16758342500917e-05,9.99200639488409e-05
"nos",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,0.0213663066136062,0.0407021235890568,5.28876665961498e-05,0.0147145034587877,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,0.0367137526652452,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"tamen",3.8229222417616e-05,3.95914165808853e-05,0.0411545785009521,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,0.0469574393246571,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,0.010094932477604,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,0.00467546754675468,9.99200639488409e-05
"autem",0.015329918189464,0.00597830390371367,0.0108620391206509,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,0.0210709568975867,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,0.00700999444752915,8.76577840112202e-05,0.022596326971552,9.16758342500917e-05,0.0350719424460432
"ex",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,0.0281393388894091,0.0166287663445139,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,0.0121026011560694,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,0.0467084221748401,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"nam",3.8229222417616e-05,3.95914165808853e-05,0.0195170503721655,4.68208633767207e-05,4.73754026909229e-05,0.0191792615266883,0.0238523376348636,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,0.0243614658523043,8.76577840112202e-05,9.00252070579762e-05,0.0138430509717638,9.99200639488409e-05
"tanquam",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,0.00238786403221275,4.73754026909229e-05,0.0120049741725655,0.0185635709752486,0.00592097549536874,6.02119460500963e-05,0.0180693960859647,0.031394911643063,6.36618283677107e-05,0.010027892150352,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,0.00509592326139089
"ergo",3.8229222417616e-05,0.0218148705360678,0.00653453349489354,4.68208633767207e-05,0.00715368580632935,0.0191792615266883,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,0.0150678352743427,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,0.0132363253856942,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"super",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,0.0251284622133099,6.36618283677107e-05,6.64098817904104e-05,0.00339818763326226,6.68538574675759e-05,6.94058856191005e-05,0.0702138849929874,9.00252070579762e-05,0.0367620095342868,9.99200639488409e-05
"itaque",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,0.0291411042944785,5.86235197561262e-05,6.02119460500963e-05,0.0150678352743427,0.0345281363579396,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,0.00675223960422516,6.94058856191005e-05,8.76577840112202e-05,0.0135938062657544,9.16758342500917e-05,9.99200639488409e-05
"erat",3.8229222417616e-05,3.95914165808853e-05,0.00437078068201489,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,0.017645679446594,6.02119460500963e-05,0.00306159202785448,0.00319588920917408,0.025528393175452,6.64098817904104e-05,0.0167244136460554,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,0.0367620095342868,9.99200639488409e-05
"haec",0.00577261258506002,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,0.0361873795761079,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,0.0200559701492537,6.68538574675759e-05,0.0313020544142143,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"ille",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,0.0106304209858261,5.86235197561262e-05,6.02119460500963e-05,0.0120662744627206,0.0251284622133099,0.0223453017570665,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,0.00353970016657413,8.76577840112202e-05,0.0270975873244508,9.16758342500917e-05,9.99200639488409e-05
"ne",3.8229222417616e-05,0.015876158048935,4.32750562575731e-05,4.68208633767207e-05,0.0166287663445139,4.78285823608188e-05,5.28876665961498e-05,0.0323015593856255,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,0.00672974413646055,0.00340954673084637,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"omnia",0.0267986849147488,3.95914165808853e-05,0.0216808031850441,0.0117520367075569,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"tibi",3.8229222417616e-05,0.0435901496555547,4.32750562575731e-05,0.0140930798763929,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,0.00447054698457223,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"habet",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,0.0140930798763929,4.73754026909229e-05,4.78285823608188e-05,0.026496720964671,0.0293703833978192,6.02119460500963e-05,6.00312162324409e-05,0.00632911392405063,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"illi",0.00386115146417922,3.95914165808853e-05,0.0238445559979228,0.016434123045229,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,0.00608140655105973,6.00312162324409e-05,0.00319588920917408,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,0.00340954673084637,6.94058856191005e-05,0.0176192145862553,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"quae",0.00768407370594082,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,0.00243925770040176,5.28876665961498e-05,0.0235080314222066,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,0.0688485515218188,9.99200639488409e-05
"se",0.0134184570685832,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,0.0240725177092088,6.2664494297531e-05,0.025528393175452,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,0.022596326971552,9.16758342500917e-05,9.99200639488409e-05
"sic",3.8229222417616e-05,0.015876158048935,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,0.0239621197627702,0.026496720964671,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"aut",3.8229222417616e-05,0.0138965872198907,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,0.047651787603131,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,0.00675223960422516,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"a",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,0.00478491567178321,4.78285823608188e-05,0.0106304209858261,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,0.00319588920917408,0.0223453017570665,6.64098817904104e-05,6.66311300639659e-05,0.00675223960422516,6.94058856191005e-05,0.00885343618513324,9.00252070579762e-05,0.0367620095342868,9.99200639488409e-05
"sunt",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,0.0500399786780384,0.0368364754646343,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"tam",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,0.0237350767481524,4.78285823608188e-05,0.0132748043156336,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,0.0157287880686803,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,0.022596326971552,9.16758342500917e-05,9.99200639488409e-05
"te",3.8229222417616e-05,0.0376514371684219,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,0.0159191876454411,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"illum",0.00959553482682162,3.95914165808853e-05,0.0238445559979228,4.68208633767207e-05,4.73754026909229e-05,0.00722211593648364,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,0.016668880329393,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"inter",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,0.00241614553723707,4.78285823608188e-05,0.0132748043156336,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,0.00642984466513878,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,0.0243614658523043,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,0.0450639488409273
"quidem",3.8229222417616e-05,0.00597830390371367,0.0108620391206509,4.68208633767207e-05,0.0213663066136062,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,0.00306159202785448,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,0.0275944261092776,9.99200639488409e-05
"tu",3.8229222417616e-05,0.0435901496555547,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,0.00243925770040176,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"ipse",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,0.0117833274709814,0.0121026011560694,6.00312162324409e-05,0.0125955633538037,0.0127960275019099,0.016668880329393,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"nihil",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,0.0359192653529749,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,0.0199893744189135,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"nobis",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,0.00478491567178321,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,0.0201230110977403,6.94058856191005e-05,8.76577840112202e-05,0.022596326971552,0.0367620095342868,9.99200639488409e-05
"quo",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,0.0240725177092088,6.2664494297531e-05,0.0350776674306086,0.00670739806083145,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"puer",3.8229222417616e-05,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,0.0151131984585742,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,0.0133483862398725,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,0.022596326971552,0.023010634396773,0.00509592326139089
"coepit",0.00194969034329842,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,0.0118912260754216,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,0.0220021037868163,0.0361001080302485,9.16758342500917e-05,9.99200639488409e-05
