"","annus_accipere_ire_amicus_tenere_currere_regere","stare_pes_eumolpus_iterum_ingens_extra_metiri","hodie_nemo_fortunare_maga_amare_dominus_caelus","sanguis_an_adhuc_quidam_cenare_amicus_temptare","deinde_numquid_lacrima_mors_ab_timere_peccare","vinum_supra_metiri_perfundere_aqua_potio_medius","movere_giton_vultus_causa_relinquere_ars_parere","nasci_alter_aureus_afferre_duo_notare_ovare","planus_dormire_pater_occidere_pro_aurum_relinquere","nox_frater_intellegere_ascyltos_pati_vir_descendere","vultus_postquam_pectus_gaudium_mens_gladium_nunc","ante_mulier_diligens_iacere_ascyltos_uter_longus","locus_tantus_fugere_frater_loqui_amare_secretus","pro_causa_legere_ducere_fides_poena_vulnus","eumolpus_navis_iuvenis_navigium_damnare_littera_placere","pes_afferre_implere_gratia_fortunare_post_cervix","extra_turbare_imponere_vocare_gitona_frons_carmen","vocare_noster_ancilla_hinc_puella_quia_vox","perire_mare_fluctus_vincere_vovere_litus_terra","terra_arma_tellus_petere_orbis_bellus_caelus"
"nunc",0.00786343168223671,2.27339895878328e-05,0.0102460587168153,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,0.00823822426581274,0.00835252656991425,2.77878122655403e-05,0.0126909981146411,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"amare",2.24029392656317e-05,2.27339895878328e-05,0.0153563124409127,2.5616722596511e-05,2.57155347545452e-05,0.00267641836923974,0.00135325178443495,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,0.0126909981146411,2.8379260436473e-05,0.0156591923153437,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"ire",0.0157044604252078,0.00343283242776275,0.0102460587168153,2.5616722596511e-05,2.57155347545452e-05,0.00267641836923974,2.65343487144108e-05,2.73695158332649e-05,0.00696506368454644,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,0.00444942098594454,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"noscere",0.00674328471895513,2.27339895878328e-05,0.0102460587168153,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,0.00997527495950209,2.94663641453281e-05,2.96850417074836e-05,0.0120106628328391,0.00922266139657444,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"pro",0.00114254990254721,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,0.00550127268248625,0.0152898409967533,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,0.028022512302207,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"accipere",0.0168246073884894,2.27339895878328e-05,0.00769093185476659,2.5616722596511e-05,2.57155347545452e-05,0.00930121631290245,0.00135325178443495,2.73695158332649e-05,2.77492577073563e-05,0.00280656903881957,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,0.00151393712708166,2.99517776380028e-05,0.00309464717958146,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"amicus",0.0145843134619262,0.00684293086593766,0.00513580499271789,0.0141148141506776,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"iacere",0.00450299079239196,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,0.00798683896303765,2.73695158332649e-05,2.77492577073563e-05,0.00836413149192764,2.81396853983172e-05,0.0198938615659676,2.84195867792082e-05,0.00592273919321095,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"mulier",2.24029392656317e-05,0.00229613294837111,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,0.00267641836923974,0.00135325178443495,2.73695158332649e-05,0.00557760079917862,0.0111429127184817,2.81396853983172e-05,0.0241507506314385,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"vocare",2.24029392656317e-05,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,0.00835252656991425,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,0.00452271842333843,0.0153506756135674,0.0233324012800199,3.18603243381018e-05,3.3855841825507e-05
