"","facere_meus_sium_homo_bonus_hic_putare","hic_posse_totus_eumolpus_suus_alius_parvus","hic_sium_res_habere_is_nere_pro","nere_meus_at_omnis_coepere_videre_totus","sium_nere_hic_omnis_frater_nox_corpus","nere_alius_niti_pro_hic_solus_mare","hic_suus_homo_omnis_magnus_adhuc_invenire","malus_diu_pectus_numquid_puer_lacrima_corpus","suus_nere_verbum_unus_eumolpus_puer_oculus","oculus_ascyltos_pars_ridere_fortis_ludere_facere","hic_is_giton_meus_prae_ancilla_plenus","meus_tuus_nasci_nemo_hic_iratus_nunc","hic_sium_bonus_omnis_statim_is_fieri","intrare_metiri_alius_circare_pes_suus_at","puer_hic_habere_alter_multus_duo_vinum","coepere_familia_potio_dare_pes_fortunata_iubere","suus_parvus_movere_vultus_vides_magnus_tollere","ante_paulo_hic_suus_dominus_meus_nunc","placere_niti_caelus_furere_at_ferre_tellus","tantus_at_ancilla_sanguis_vir_armare_unda"
"dare",0.00534740357796372,2.08381087332514e-05,0.00837353045584581,2.18871063056753e-05,2.27071459388269e-05,0.00244026190533717,2.45164137389983e-05,0.00249142800759762,2.46980661414211e-05,0.00621456337121493,2.53556124648191e-05,0.0102324631912016,2.55826447338126e-05,2.61855508130614e-05,0.00273054151234151,0.0188210124606089,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"iubere",1.77654603919061e-05,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,0.00683485092758691,0.00364831235352388,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,0.00745252420213424,2.53556124648191e-05,2.55173645665876e-05,0.0179334339584026,2.61855508130614e-05,0.00678580118413582,0.0159299199167365,0.00158193492353981,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"corpus",0.00445913055836842,2.08381087332514e-05,2.08816220844035e-05,0.0153428615202784,0.0147823520061763,2.41610089637343e-05,2.45164137389983e-05,0.0148252300254076,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"pars",0.000906038479987209,2.08381087332514e-05,2.08816220844035e-05,0.00658801899800827,0.00342877903676287,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,0.0198321325113273,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,0.00133546309146613,0.0162480737516559,2.89109254387233e-05,3.1018331834114e-05,0.00513797679403859,0.00174424569923732,4.07514568645829e-05
"sinere",1.77654603919061e-05,2.08381087332514e-05,0.00628536824740546,0.0131541508897109,0.0147823520061763,0.00606441324989732,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,0.00763203935191055,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,0.00173534315560244,3.42008960634769e-05,4.07514568645829e-05
"aliquis",1.77654603919061e-05,0.00523036529204609,0.015682098185387,0.00658801899800827,2.27071459388269e-05,2.41610089637343e-05,0.00860526122238839,0.00372480820937862,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,0.00642124382818696,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"solus",1.77654603919061e-05,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,0.00683485092758691,0.0193529681799512,0.00737944053543848,2.466760403562e-05,0.00990392452270987,0.00497660254029562,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,0.00158193492353981,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"ubi",0.0106770416955355,2.08381087332514e-05,0.00524128714318528,2.18871063056753e-05,2.27071459388269e-05,0.00968856459445746,2.45164137389983e-05,0.00865832901650263,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,0.00158193492353981,3.40263363843615e-05,0.0137145593214542,4.07514568645829e-05
"diu",1.77654603919061e-05,2.08381087332514e-05,2.08816220844035e-05,0.0153428615202784,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,0.0209921310343126,2.46980661414211e-05,2.47592166183862e-05,0.00763203935191055,2.55173645665876e-05,2.55826447338126e-05,0.0026447406321192,2.70350644786288e-05,0.00147445719737489,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"multus",0.0106770416955355,2.08381087332514e-05,2.08816220844035e-05,0.00877672962857581,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.00768072673454286,2.55826447338126e-05,2.61855508130614e-05,0.0189515801995188,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"oculus",0.00179431149958251,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,0.00727246369808403,2.45164137389983e-05,0.00742494881472163,0.0111388278297809,0.0210700933422467,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"tuus",1.77654603919061e-05,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,0.0113762801153523,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,0.0114353812216334,0.0268187501594835,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"caput",1.77654603919061e-05,0.00939798703869637,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,0.00364831235352388,2.45164137389983e-05,0.00372480820937862,2.46980661414211e-05,0.0136423283567308,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,0.0121928140798616,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,0.00819104282978116
"deus",1.77654603919061e-05,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,0.0125116374122936,2.41610089637343e-05,0.0110569025962882,2.466760403562e-05,0.00496431129442565,2.47592166183862e-05,2.53556124648191e-05,0.00640485850621348,2.55826447338126e-05,2.61855508130614e-05,0.00408229473627295,0.00292000346931105,3.1018331834114e-05,0.00854061043247474,3.42008960634769e-05,4.07514568645829e-05
"verus",0.00268258451917781,0.0083560816020338,2.08816220844035e-05,0.0109654402591433,0.00342877903676287,0.0108966150426442,0.00492779916153865,0.00249142800759762,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"quia",1.77654603919061e-05,0.0104398924753589,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.00895659496287224,0.0179334339584026,2.61855508130614e-05,0.0094893076319987,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"quisquis",0.00890049565634493,2.08381087332514e-05,2.08816220844035e-05,0.00877672962857581,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.0051289902778841,0.0115377727749495,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,0.0119432440709109,3.42008960634769e-05,4.07514568645829e-05
"velle",0.00712394961715433,2.08381087332514e-05,0.00941761156006599,2.18871063056753e-05,0.00910556552146961,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.0102324631912016,0.00514211159149633,0.00133546309146613,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"servus",0.00179431149958251,2.08381087332514e-05,0.00837353045584581,2.18871063056753e-05,2.27071459388269e-05,0.00244026190533717,0.00247615778763882,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.00895659496287224,2.55826447338126e-05,0.00788185079473147,2.70350644786288e-05,0.0144843736448004,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"deinde",1.77654603919061e-05,2.08381087332514e-05,2.08816220844035e-05,0.00658801899800827,2.27071459388269e-05,0.00606441324989732,0.00860526122238839,2.466760403562e-05,2.46980661414211e-05,0.00992844586397286,0.00636425872866959,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,0.0077856012903626,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"dies",0.0115653147151308,2.08381087332514e-05,2.08816220844035e-05,0.0120597955744271,0.010240922818411,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,0.00513797679403859,3.42008960634769e-05,4.07514568645829e-05
"nunc",1.77654603919061e-05,2.08381087332514e-05,0.00941761156006599,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,0.00492779916153865,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.0166118043328485,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,0.0170471945285651,3.42008960634769e-05,4.07514568645829e-05
"scire",1.77654603919061e-05,0.0104398924753589,2.08816220844035e-05,2.18871063056753e-05,0.00683485092758691,0.00364831235352388,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.0102324631912016,2.55826447338126e-05,2.61855508130614e-05,0.0121928140798616,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"pro",1.77654603919061e-05,2.08381087332514e-05,0.0177702603938274,2.18871063056753e-05,2.27071459388269e-05,0.0217690690763246,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"alter",0.00534740357796372,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,0.00115806444288017,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,0.0148802891876501,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,0.0203033334234502,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"pes",1.77654603919061e-05,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,0.00495818841115962,0.00125960137321248,2.47592166183862e-05,2.53556124648191e-05,0.00130138559289597,2.55826447338126e-05,0.0170467935793029,2.70350644786288e-05,0.0173754661886727,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,0.00615346998655202
"ab",0.00712394961715433,0.0146075142220092,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,0.00249450468028353,2.47592166183862e-05,0.00763203935191055,2.55173645665876e-05,0.0038629793548057,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"mulier",1.77654603919061e-05,2.08381087332514e-05,2.08816220844035e-05,0.0142485062049946,0.00342877903676287,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,0.0124043675258115,0.00129313623570577,2.55173645665876e-05,0.00770037606487759,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"vultus",1.77654603919061e-05,0.00314655441872096,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,0.00848051414627075,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,0.0114353812216334,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,0.0217438506157139,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"eumolpus",1.77654603919061e-05,0.0177332305319969,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,0.0148435377509941,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,0.00147445719737489,0.00313285151524551,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"ridere",1.77654603919061e-05,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,0.0198321325113273,0.0088998199751515,0.00768072673454286,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,0.00468376810695121,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
