"","τόνον_ϊ_ὁμοίως_ἀσκαλωνίτης_τέλους_λήγοντα_ἐγένετο","διὸς_ζεὺς_αὐτὴν_αὐτῶν_αὐτῆς_ὅθεν_ἱστορία","στικτέον_λόγος_τέλος_ᾖ_ἀρχῆς_στίχου_ἀπ","τί_πῶς_δεῖ_πάλιν_αὐτὸς_πάντων_ῥητέον","οὗτος_ὃς_ὃν_αὐτόν_του_ὥς_ὧν","ὅταν_θεῶν_ἄν_πῶς_ὅτ_αὐτὸς_οὐδ","κε_τοι_μοι_μή_με_ὅς_τίς","τεῖχος_τῶ_σημαίνει_ἀχαιῶν_βέλτιον_λέξις_τρώων","ἦ_πρόθεσιν_ὁμοίως_ᾖ_ἵν_ὑφ_δεῖ","τοι_νεώτεροι_ὅμηρος_οὗ_ἅμα_μοι_οὖ","τρώων_ὑπὸ_ἕκτορα_ἕκτωρ_ὑπ_τῶ_ἕκτορος","εἴρηκεν_ὄνομα_πρότερον_ἕτερον_δεύτερον_πολὺ_κύριον","ἀθετοῦνται_ἕως_στίχοι_τούτου_οὐδ_ἀθετεῖται_τρεῖς","ἵν_ᾖ_ἐλλείπει_ἐὰν_του_μᾶλλον_ἔστιν","ἄλλοι_ἀριστάρχου_ἀρισταρχος_ἀρίσταρχος_ν_χωρὶς_ϊ","πῦρ_ἔν_τισι_ἵππων_ὅσον_αἷμα_διπλῆ","ν_ἀπὸ_σὺν_θ_χωρὶς_πάρ_τὲ","κέχρηται_πάλιν_πάτροκλον_ἐνταῦθα_αὐτὸς_διπλῆ_ἡμεῖς","αὐτὰρ_ἂρ_ζηνοδοτος_οὐδέ_οὔτε_θηλυκῶς_οὐδ","κεν_κ_εἴ_μοι_ἔνθα_ἀλλῷ_μιν"
"ἦ",2.98817876480643e-06,4.33271808736493e-06,6.74527156463319e-06,0.000356015971853796,0.000361696997205713,0.00112016142193736,0.0124601892801618,0.00877626502566719,0.0166532342841124,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,0.00761167063201016,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"τί",0.0020947133141293,4.33271808736493e-06,6.74527156463319e-06,0.014317426632787,7.09209798442575e-06,0.00334564769068708,0.00717725015471465,7.97117622676402e-06,8.76024949190553e-06,0.0043716514545994,0.00175236700319088,8.78719178924799e-06,0.00178109382199695,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,0.00686332391515203
"ὥσπερ",0.00538170995541637,4.33271808736493e-06,0.00405390821034455,0.000705051238377126,0.00284393129175473,0.00594204833756176,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,0.00393535889426013,8.71824379696954e-06,0.00440238308641324,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,0.00499537633043825,9.29350755562164e-06,0.00441282949453044,1.05427402690507e-05
"μοι",2.98817876480643e-06,4.33271808736493e-06,0.00101853600625961,0.00314829810404043,7.09209798442575e-06,7.41828756249907e-06,0.0166110700215846,7.97117622676402e-06,8.76024949190553e-06,0.00786199193731348,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,0.0184603382111078
"τοι",2.98817876480643e-06,4.33271808736493e-06,6.74527156463319e-06,6.98070533046659e-06,0.00248932639253344,7.41828756249907e-06,0.019629892378983,7.97117622676402e-06,8.76024949190553e-06,0.0157152580234202,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,0.00358669791238082,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,0.00317336482098427
"τούτου",0.0041864384494938,0.00455368670982054,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,0.00408747644693699,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,0.00264494472856365,0.0159589550916244,0.00313947872131089,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"ν",2.98817876480643e-06,0.000220968622455611,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,0.00526490994463522,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,0.0240191370540319,9.10730223493197e-06,0.0181411035158021,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"οἷον",0.0020947133141293,0.000654240431192104,0.00911286188381944,0.00140312177142378,0.000716301896427001,7.41828756249907e-06,7.54705589349595e-06,0.00758058859165258,0.00263683509706356,8.72585120678522e-06,8.71824379696954e-06,0.000448146781251648,8.86116329351717e-06,8.94438382139854e-06,0.00445523423327286,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,0.00881587444472711,1.05427402690507e-05
"πῶς",2.98817876480643e-06,4.33271808736493e-06,0.000344008849796293,0.014317426632787,0.000716301896427001,0.0107639352531862,7.54705589349595e-06,0.00359500047827057,8.76024949190553e-06,0.00262648121324235,0.0069833132813726,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"του",0.00284175800533091,4.33271808736493e-06,6.74527156463319e-06,6.98070533046659e-06,0.00958142437695919,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,0.0120838625427094,0.0111247465585316,9.10730223493197e-06,9.06601874852677e-06,0.00279734577424211,9.78454433377038e-06,1.05427402690507e-05
