"","form","lemmata"
"ἀμύμων","ἀμύμων","ἄμυμος;ἀμύμων"
"ἀμῦναι","ἀμῦναι","ἀμύνω"
"ἄμυνον","ἄμυνον","ἀμύνω"
"ἀμύξεις","ἀμύξεις","ἄμυξις;ἀμύσσω"
"ἀμφ̓","ἀμφ̓","ἀμφ̓"
"ἀμφηρεφέα","ἀμφηρεφέα","ἀμφηρεφής"
"ἀμφὶ","ἀμφὶ","ἀμφί"
"ἀμφιβέβηκας","ἀμφιβέβηκας","ἀμφιβαίνω"
"ἀμφιγυήεις","ἀμφιγυήεις","ἀμφιγύεις"
"ἀμφικύπελλον","ἀμφικύπελλον","ἀμφικύπελλος"
"ἀμφιμέλαιναι","ἀμφιμέλαιναι","ἀμφιμέλας"
"ἄμφω","ἄμφω","ἄμφω"
"ἄν","ἄν","ἄν;ἀνά;ἐάν"
"ἂν","ἂν","ἄν;ἀνά;ἐάν"
"ἀνά","ἀνά","ἀνά"
"ἀνὰ","ἀνὰ","ἀνά"
"ἀναβάντες","ἀναβάντες","ἀναβαίνω"
"ἀναβάς","ἀναβάς","ἀναβαίνω"
"ἀνάγοντο","ἀνάγοντο","ἀνάγω"
"ἀναθηλήσει","ἀναθηλήσει","ἀναθηλέω"
"ἀναιδείην","ἀναιδείην","ἀναίδεια"
"ἀναιδὲς","ἀναιδὲς","ἀναιδής"
"ἀναΐξας","ἀναΐξας","ἀνᾴσσω;ἀναίσσω"
"ἄνακτα","ἄνακτα","ἄναξ"
"ἄνακτι","ἄνακτι","ἄναξ"
"ἄνακτος","ἄνακτος","ἄναξ"
"ἄναξ","ἄναξ","ἄναξ"
"ἀνάποινον","ἀνάποινον","ἀνάποινος"
"ἄνασσε","ἄνασσε","ἀνάσσω;ἀνάζω"
"ἀνάσσει","ἀνάσσει","ἀνάσσω;ἀνάζω"
"ἀνάσσειν","ἀνάσσειν","ἀνάσσω;ἀνάζω"
"ἀνάσσεις","ἀνάσσεις","ἀνάσσω;ἀνάζω"
"ἄνασσεν","ἄνασσεν","ἀνάσσω;ἀνάζω"
"ἀναστὰς","ἀναστὰς","ἀνίστημι"
"ἀναστήσειεν","ἀναστήσειεν","ἀνίστημι"
"ἀνάσχεο","ἀνάσχεο","ἀνέχω"
"ἀνασχών","ἀνασχών","ἀνέχω"
"ἀναφαίνεις","ἀναφαίνεις","ἀναφαίνω"
"ἄνδρα","ἄνδρα","ἀνήρ"
"ἀνδράσιν","ἀνδράσιν","ἀνήρ"
"ἄνδρες","ἄνδρες","ἀνήρ"
"ἀνδρὶ","ἀνδρὶ","ἀνδρίς;ἀνήρ"
"ἀνδροφόνοιο","ἀνδροφόνοιο","ἀνδροφόνος"
"ἀνδρῶν","ἀνδρῶν","ἀνδρόω;ἀνήρ"
"ἀνέβη","ἀνέβη","ἀναβαίνω"
"ἀνέδυ","ἀνέδυ","ἀναδύνω"
"ἀνεδύσετο","ἀνεδύσετο","ἀναδύνω"
"ἀνεκτά","ἀνεκτά","ἀνεκτός"
"ἀνέλοντο","ἀνέλοντο","ἀναιρέω"
"ἀνελὼν","ἀνελὼν","ἀναιρέω"
"ἄνεμος","ἄνεμος","ἄνεμος"
"ἀνέρας","ἀνέρας","ἀνήρ"
"ἀνέσταν","ἀνέσταν","ἀνίστημι"
"ἀνέστη","ἀνέστη","ἀνίστημι"
"ἀνὴρ","ἀνὴρ","ἀνήρ"
"ἀνθερεῶνος","ἀνθερεῶνος","ἀνθερεών"
"ἀνθρώπων","ἀνθρώπων","ἄνθρωπος"
"ἀνιστάμενος","ἀνιστάμενος","ἀνίστημι"
"ἀνόρουσε","ἀνόρουσε","ἀνορούω"
"ἀνστήτην","ἀνστήτην","ἀνίστημι"
"ἀντάξιον","ἀντάξιον","ἀντάξιος"
"ἄντην","ἄντην","ἄντη;ἄντην;ἀντάω"
"ἀντιάσας","ἀντιάσας","ἀντιάω;ἀντιάζω"
"ἀντιβίην","ἀντιβίην","ἀντίβιος;ἀντιβίην"
"ἀντιβίοισι","ἀντιβίοισι","ἀντίβιος"
"ἀντίθεον","ἀντίθεον","ἀνατίθημι;ἀντίθεος;ἀντιθέω"
"ἀντίοι","ἀντίοι","ἀντάω;ἀντίος"
"ἀντίον","ἀντίον","ἀντάω;ἀντίον;ἀντίος"
"ἀντιόωσαν","ἀντιόωσαν","ἀντιάω;ἀντιάζω"
"ἀντιφέρεσθαι","ἀντιφέρεσθαι","ἀντιφέρω"
"ἄνωγεν","ἄνωγεν","ἄνωαξ;ἄνωγα"
"ἄξω","ἄξω","ἄξος;ἄγνυμι;ἄγω"
"ἀπ̓","ἀπ̓","ἀπ̓"
"ἀπαμειβόμενος","ἀπαμειβόμενος","ἀπαμείβομαι"
"ἀπάνευθε","ἀπάνευθε","ἀπάνευθε"
"ἅπαντες","ἅπαντες","ἅπας"
"ἀπατηλὸν","ἀπατηλὸν","ἀπατηλός"
"ἀπεβήσετο","ἀπεβήσετο","ἀποβαίνω"
"ἀπεδέξατ̓","ἀπεδέξατ̓","ἀπεδέξατ̓"
"ἀπειλεῖς","ἀπειλεῖς","ἀπειλέω"
"ἀπειλήσω","ἀπειλήσω","ἀπειλέω"
"ἀπείρονα","ἀπείρονα","ἀπείρων"
"ἀπελυμαίνοντο","ἀπελυμαίνοντο","ἀπολυμαίνομαι"
"ἀπέλυσε","ἀπέλυσε","ἀπολύω"
"ἀπερείσἰ","ἀπερείσἰ","ἀπερείσἰ"
"ἀπήμων","ἀπήμων","ἀπήμων"
"ἀπηνέος","ἀπηνέος","ἀπηνής"
"ἀπηύρων","ἀπηύρων","ἀπαυράω"
"ἀπίης","ἀπίης","ἄπιος;ἀφίημι"
"ἀπίθησε","ἀπίθησε","ἀπιθέω"
"ἀπὸ","ἀπὸ","ἀπό"
"ἀποαιρεῖσθαι","ἀποαιρεῖσθαι","ἀφαιρέω;ἀποαιρέομαι"
"ἀποαίρεο","ἀποαίρεο","ἀπαίρω"
"ἀποδοῦναι","ἀποδοῦναι","ἀποδίδωμι"
"ἀπόειπ̓","ἀπόειπ̓","ἀπόειπ̓"
"ἄποινα","ἄποινα","ἄποινα;ἄποινος"
"ἀπολέσθαι","ἀπολέσθαι","ἀπόλλυμι"
"ἀπόλεσσαν","ἀπόλεσσαν","ἀπόλλυμι"
"ἀπόλλων","ἀπόλλων","ἀπό-λάω"
"ἀπόλλωνα","ἀπόλλωνα","ἀπόλλωνα"
"ἀπόλλωνι","ἀπόλλωνι","ἀπόλλωνι"
"ἀπόλλωνος","ἀπόλλωνος","ἀπόλλωνος"
"ἀπολυμαίνεσθαι","ἀπολυμαίνεσθαι","ἀπολυμαίνομαι"
"ἀπονοστήσειν","ἀπονοστήσειν","ἀπονοστέω"
"ἀποπαύεο","ἀποπαύεο","ἀποπαύω"
"ἀπόστιχε","ἀπόστιχε","ἀποστείχω;ἀποστίζω"
"ἀποτείσομεν","ἀποτείσομεν","ἀποτίνω"
"ἀπούρας","ἀπούρας","ἀπαυράω"
"ἀπριάτην","ἀπριάτην","ἀπρίατος;ἀπριάτην"
"ἀπώσει","ἀπώσει","ἄπωσις;ἀπωθέω"
"ἄρ","ἄρ","ἄρα"
"ἄῤ","ἄῤ","ἄῤ"
"ἂρ","ἂρ","ἄρα"
"ἄρα","ἄρα","ἄρα;ἄρον;ἄρος;ἀράω"
"ἀργαλέος","ἀργαλέος","ἀργαλέος"
"ἄργεϊ","ἄργεϊ","ἀργέω"
"ἀργείοισι","ἀργείοισι","ἀργείοισι"
"ἀργείων","ἀργείων","ἀργείων"
"ἀργούς","ἀργούς","ἀργός"
"ἀργυρέῃ","ἀργυρέῃ","ἀργύρεος"
"ἀργυρέοιο","ἀργυρέοιο","ἀργύρεος"
"ἀργυρόπεζα","ἀργυρόπεζα","ἀργυρόπεζα;ἀργυρόπεζος"
"ἀργυρότοξ̓","ἀργυρότοξ̓","ἀργυρότοξ̓"
"ἀρείοσιν","ἀρείοσιν","ἀρείων"
"ἀρήγειν","ἀρήγειν","ἀρήγω"
"ἀρῆξαι","ἀρῆξαι","ἀρήγω"
"ἀρήξειν","ἀρήξειν","ἀρήγω"
"ἀρητῆρα","ἀρητῆρα","ἀρητήρ"
"ἀρητῆρος","ἀρητῆρος","ἀρητήρ"
"ἀριστήεσσιν","ἀριστήεσσιν","ἀριστεύς"
"ἄριστον","ἄριστον","ἄριστον;ἄριστος"
"ἄριστος","ἄριστος","ἄριστος"
"ἀρνύμενοι","ἀρνύμενοι","ἄρνυμαι"
"ἀρνῶν","ἀρνῶν","ἀρνός"
"ἄρσαντες","ἄρσαντες","ἄρδω;ἀραρίσκω"
"ἀρχὸς","ἀρχὸς","ἀρχός"
"ἄσβεστος","ἄσβεστος","ἄσβεστος"
"ἅσσ̓","ἅσσ̓","ἅσσ̓"
"ἆσσον","ἆσσον","ἆσσον"
"ἀστεροπητής","ἀστεροπητής","ἀστεροπητής"
"ἀστεροπητὴς","ἀστεροπητὴς","ἀστεροπητής"
"ἀτάρ","ἀτάρ","ἀτάρ"
"ἀτὰρ","ἀτὰρ","ἀτάρ"
"ἀταρτηροῖς","ἀταρτηροῖς","ἀταρτηρός"
"ἀτελεύτητον","ἀτελεύτητον","ἀτελεύτητος"
"ἄτερ","ἄτερ","ἄτερ"
"ἄτην","ἄτην","ἄτη"
"ἄτιμος","ἄτιμος","ἄτιμος"
"ἀτιμοτάτη","ἀτιμοτάτη","ἄτιμος"
"ἀτρεΐδα","ἀτρεΐδα","ἀτρεΐδα"
"ἀτρεΐδαι","ἀτρεΐδαι","ἀτρεΐδαι"
"ἀτρεΐδαο","ἀτρεΐδαο","ἀτρεΐδαο"
"ἀτρεΐδη","ἀτρεΐδη","ἀτρεΐδη"
"ἀτρεΐδῃ","ἀτρεΐδῃ","ἀτρεΐδῃ"
"ἀτρεΐδην","ἀτρεΐδην","ἀτρεΐδην"
"ἀτρεΐδης","ἀτρεΐδης","ἀτρεΐδης"
"ἀτρεΐωνα","ἀτρεΐωνα","ἀτρεΐωνα"
"ἀτρυγέτοιο","ἀτρυγέτοιο","ἀτρύγετος"
"αὖ","αὖ","αὗ;αὖ"
"αὐδή","αὐδή","αὐδή"
"αὐέρυσαν","αὐέρυσαν","αὐερύω"
"αὖθ̓","αὖθ̓","αὖθ̓"
"αὖθι","αὖθι","αὖθι"
"αὖτ̓","αὖτ̓","αὖτ̓"
"αὐτὰρ","αὐτὰρ","ἀτάρ"
"αὖτε","αὖτε","αὖτε"
"αὖτέ","αὖτέ","αὖτε"
"αὐτὴ","αὐτὴ","αὐτός"
"αὐτῇ","αὐτῇ","αὐτός"
"αὐτῆμαρ","αὐτῆμαρ","αὐτῆμαρ"
"αὐτὴν","αὐτὴν","αὐτός"
"ἀϋτήν","ἀϋτήν","ἀυτή"
"αὐτίκ̓","αὐτίκ̓","αὐτίκ̓"
"αὐτίκα","αὐτίκα","αὐτίκα"
