"","form","lemmata"
"allatum","allatum","adferre;afferre"
"allatus","allatus","adferre;afferre"
"alligata","alligata","alligare"
"alligatam","alligatam","alligare"
"alligatus","alligatus","alligare"
"alogias","alogias","alogia"
"alter","alter","altare;alter"
"altera","altera","alterare;alter"
"alteram","alteram","alter"
"alteras","alteras","alterare;alteras;alter"
"alterius","alterius","alter"
"altero","altero","alterare;altero;alter"
"alterum","alterum","alter"
"altiles","altiles","altiles;altilis"
"altilia","altilia","altilis;altilia"
"altilis","altilis","altiles;altilis"
"altius","altius","altus"
"alveo","alveo","alveus"
"amare","amare","amare;amarus"
"amas","amas","amare;ama"
"amasiuncula","amasiuncula","amasiuncula"
"amasiunculos","amasiunculos","amasiunculus"
"amat","amat","amare"
"ambitiosissime","ambitiosissime","ambitiosus"
"ambubaia","ambubaia","ambubaia"
"ambulamus","ambulamus","ambulare"
"ambulare","ambulare","ambulare"
"ambularem","ambularem","ambulare"
"ambulo","ambulo","ambulare"
"amet","amet","amare"
"amicae","amicae","amica;amicus"
"amice","amice","amice;amicus"
"amici","amici","amicire;amicus"
"amicimur","amicimur","amicire"
"amicis","amicis","amica;amicire;amicus"
"amico","amico","amicare;amicus"
"amicos","amicos","amicus"
"amictus","amictus","amictus;amicire"
"amictusque","amictusque","amictus;amicire"
"amicus","amicus","amicus"
"amor","amor","amare;amor"
"amphitheater","amphitheater","amphitheater"
"amphitheatro","amphitheatro","amphitheatrum"
"amphora","amphora","amphora"
"amphorae","amphorae","amphora"
"amphoram","amphoram","amphora"
"amphoras","amphoras","amphora"
"amplexaret","amplexaret","amplexare"
"amplius","amplius","ample;amplius;amplus"
"amplo","amplo","amplus"
"ampulla","ampulla","ampulla"
"ampullam","ampullam","ampulla"
"an","an","an"
"anathymiasis","anathymiasis","anathymiasis"
"anatinam","anatinam","anatina;anatinus"
"angulo","angulo","angulare;angulus"
"angulos","angulos","angulus"
"angustiis","angustiis","angustiae;angustia"
"angusto","angusto","angustare;angustum;angustus"
"angustum","angustum","angustum;angustus"
"anima","anima","animare;anima"
"animadvertisset","animadvertisset","animadvertere"
"animadvertit","animadvertit","animadvertere"
"animalia","animalia","animalis;animal"
"animam","animam","anima"
"animi","animi","animus"
"animum","animum","animus"
"annis","annis","annus"
"anno","anno","annare;annus"
"annona","annona","annonare;annona"
"annorum","annorum","annus"
"annos","annos","annus"
"annum","annum","annus"
"anser","anser","anser"
"anserem","anserem","anser"
"anserina","anserina","anserinus"
"ante","ante","ante"
"antea","antea","antea"
"antiquus","antiquus","antiquus"
"anulis","anulis","anulus"
"anulos","anulos","anulus"
"anulum","anulum","anulus"
