"","form","lemmata"
"conexo","conexo","conectere;conexum;conexus"
"confecta","confecta","conficere"
"confessus","confessus","confessus;confiteri"
"confine","confine","confinis;confieri"
"confixa","confixa","configere"
"confossis","confossis","confodere"
"confusus","confusus","confundere;confusus"
"congessit","congessit","congerere"
"conici","conici","conicere"
"coniciamus","coniciamus","conicere"
"conicias","conicias","conicere"
"coniciet","coniciet","conicere"
"conieci","conieci","conicere"
"coniecisse","coniecisse","conicere"
"coniecit","coniecit","conicere"
"coniectus","coniectus","conicere;coniectus"
"coniungere","coniungere","coniungere"
"conlibertis","conlibertis","conlibertis"
"conliberto","conliberto","conliberto"
"consedit","consedit","consedere;considere"
"consideranda","consideranda","considerare"
"considerare","considerare","considerare"
"consideraret","consideraret","considerare"
"consiliator","consiliator","consiliari;consiliator"
"consiliorum","consiliorum","consilium"
"consistit","consistit","consistere"
"consolatio","consolatio","consolatio"
"consonuere","consonuere","consonare"
"conspectu","conspectu","conspectus;conspicere"
"consternata","consternata","consternare"
"consternati","consternati","consternare"
"consternatus","consternatus","consternare"
"constitisset","constitisset","constare;consistere"
"constitit","constitit","constare;consistere"
"constitutum","constitutum","constitutum;constitutus;constituere"
"consumit","consumit","consumere"
"consumpsi","consumpsi","consumere"
"consurreximus","consurreximus","consurgere"
"consurrexit","consurrexit","consurgere"
"contacta","contacta","contactus;contingere"
"contemnas","contemnas","contemnere"
"contentione","contentione","contentio"
"contentum","contentum","contendere;contentus;continere"
"contentus","contentus","contendere;contentus;continere"
"conterritus","conterritus","conterrere"
"contigerat","contigerat","contingere"
"contigerit","contigerit","contingere"
"contine","contine","continere;contus"
"continere","continere","continari;continere"
"contineret","contineret","continere"
"contingat","contingat","contingere"
"continuo","continuo","continuare;continuo;continuus"
"continuoque","continuoque","continuare;continuo;continuus"
"contra","contra","contra"
"controversia","controversia","controversia"
"controversiam","controversiam","controversia"
"contubernalem","contubernalem","contubernalis"
"contubernali","contubernali","contubernalis"
"contubernalis","contubernalis","contubernalis"
"contubernio","contubernio","contubernium"
"contumelia","contumelia","contumeliare;contumelia"
"conturbare","conturbare","conturbare"
"contus","contus","contus"
"contusum","contusum","contundere;contusum"
"convenientemque","convenientemque","convenire;conveniens"
"conversus","conversus","converrere;conversus;convertere"
"convertit","convertit","convertere"
"convicio","convicio","convicium"
"convicium","convicium","convicium"
"convictu","convictu","convictus;convincere;convivere"
"convivae","convivae","conviva"
"convivam","convivam","conviva;convivere"
"convivare","convivare","convivare;convivari"
"convivarum","convivarum","conviva"
"convivas","convivas","convivare;conviva;convivere"
"convivis","convivis","conviva;convivere"
"convivium","convivium","convivium"
"copiosa","copiosa","copiosus"
"copiosas","copiosas","copiosus"
"copo","copo","copo"
"copones","copones","copo"
"coponis","coponis","copona;copo"
"coptoplacentis","coptoplacentis","coptoplacenta"
"cor","cor","cor"
"corbe","corbe","corbis"
"corcillum","corcillum","corcillum"
"cordacem","cordacem","cordax"
"cordae","cordae","corda;cordus"
"corinthea","corinthea","corinthea"
"corintheum","corintheum","corintheum"
"corinthia","corinthia","corinthia"
"corinthius","corinthius","corinthius"
"corintho","corintho","corintho"
"corinthum","corinthum","corinthum"
"corinthus","corinthus","corinthus"
"corneolus","corneolus","corneolus"
"cornicines","cornicines","cornicen"
"cornu","cornu","cornus;cornu"
"cornua","cornua","cornu"
"cornum","cornum","cornum;cornus"
"corollarium","corollarium","corollarium"
"corollis","corollis","corolla"
"corona","corona","coronare;corona"
"coronae","coronae","corona"
"coronam","coronam","corona"
"coronas","coronas","coronare;corona"
"coronatum","coronatum","coronare"
"coronis","coronis","corona;coronis"
"corporaliter","corporaliter","corporalis"
"corpore","corpore","corpus"
"corpus","corpus","corpus"
"correptos","correptos","correptus;corripere"
"correxit","correxit","corrigere"
"corrotundata","corrotundata","corrotundare"
"corrotundavi","corrotundavi","corrotundare"
"corvorum","corvorum","corvos;corvus"
"corvus","corvus","corvus"
"costas","costas","costa"
"cotidie","cotidie","cotidie"
"crassissimis","crassissimis","crassus"
"craticula","craticula","craticula;craticulum"
"craticulam","craticulam","craticula"
"crebris","crebris","creber"
"credatis","credatis","credere"
"crede","crede","credere"
"crederes","crederes","credere"
"credet","credet","credere"
"credimus","credimus","credere"
"credit","credit","credere"
"credite","credite","credere"
"creditores","creditores","creditor"
"credo","credo","credere"
"credrae","credrae","credrae"
"crescam","crescam","crescere"
"crescebat","crescebat","crescere"
"crescentibus","crescentibus","crescere"
"crescit","crescit","crescere"
"cresco","cresco","crescere"
"crevit","crevit","crescere;cernere"
"crinibus","crinibus","crinis"
"critica","critica","critica"
"croco","croco","crocare;crocum;crocus"
"crocum","crocum","crocum;crocus"
"croesi","croesi","croesi"
"croesum","croesum","croesum"
"crotalia","crotalia","crotalia"
"crotalistria","crotalistria","crotalistria"
"crucem","crucem","crux"
"crucis","crucis","crux"
"crudelissimae","crudelissimae","crudelis"
"crura","crura","crus"
"cruralibus","cruralibus","cruralis"
"crus","crus","crus"
"crystallina","crystallina","crystallinum;crystallinus"
"crystallinis","crystallinis","crystallinum;crystallinus"
"csse","csse","csse"
"cubaret","cubaret","cubare"
"cubicula","cubicula","cubiculum"
"cubicularios","cubicularios","cubicularius"
"cubiculo","cubiculo","cubiculum;cubiculus"
"cubiculum","cubiculum","cubiculum;cubiculus"
"cubitoria","cubitoria","cubitorius"
"cubitum","cubitum","cubare;cubitum;cubitus;cumbere"
"cucurbitae","cucurbitae","cucurbita"
"cui","cui","quis;qui"
"cuique","cuique","quisque;quis;qui"
"cuius","cuius","quis;qui"
"culavit","culavit","culare"
"culcitras","culcitras","culcitra"
"culinam","culinam","culina"
"culpa","culpa","culpare;culpa"
"cultas","cultas","colere;cultus"
"culti","culti","colere;cultus"
"cultro","cultro","culter"
"cultros","cultros","culter"
"cultrum","cultrum","culter"
"cultum","cultum","colere;cultus"
"cum","cum","cum"
"cumadmiratione","cumadmiratione","cumadmiratione"
"cumano","cumano","cumano"
"cuminum","cuminum","cuminum"
"cumis","cumis","cuma"
"cuncti","cuncti","cunctus"
"cupa","cupa","cupa"
"curabat","curabat","curare"
"curabo","curabo","curare"
"curare","curare","curare"
"curari","curari","curare"
"curat","curat","curare"
"curavi","curavi","curare"
"curia","curia","curia"
"curiose","curiose","curiosus"
"curiosus","curiosus","curiosus"
"curo","curo","curare"
"currat","currat","currere"
"currebant","currebant","currere"
"currebat","currebat","currere"
"currerunt","currerunt","currerunt"
"curris","curris","currere"
"currit","currit","currere"
"currunt","currunt","currere"
"cursoribus","cursoribus","cursor"
"cursorum","cursorum","currere;cursor"
"cursu","cursu","currere;cursus"
"cursum","cursum","currere;cursus"
"custodiae","custodiae","custodia"
"custodiebant","custodiebant","custodire"
"cutus","cutus","cutus"
"cyclops","cyclops","cyclops"
"cydonia","cydonia","cydonia"
"da","da","dare"
"dabo","dabo","dare"
"daedalus","daedalus","daedalus"
"dama","dama","dama"
"damnavi","damnavi","damnare"
"damus","damus","dare"
"dare","dare","dare"
"daret","daret","dare"
"datae","datae","dare"
"dato","dato","dare;datare;datum"
"datum","datum","dare;datum;datus"
"datur","datur","dare"
"daturus","daturus","dare"
"de","de","de"
"debattuere","debattuere","debattuere"
"debebatur","debebatur","debere"
"debemus","debemus","debere"
"debeo","debeo","debere"
"debes","debes","debere"
"debet","debet","debere"
"decem","decem","decem"
"december","december","december"
"decere","decere","decere;deceris"
"decernentis","decernentis","decernere"
"decessit","decessit","decedere"
"decidebant","decidebant","decidere"
"decies","decies","decies"
"declamasti","declamasti","declamare"
"declamationis","declamationis","declamatio"
"decollari","decollari","decollare"
"decrepitos","decrepitos","decrepitus"
"decretum","decretum","decretum;decernere"
"decretus","decretus","decernere"
"decu","decu","decu"
"decumam","decumam","decuma"
"decuria","decuria","decuriare;decuria"
"decuriam","decuriam","decuria"
"decuriis","decuriis","decuria"
"dedecusque","dedecusque","dedecus"
"dedere","dedere","dare;dedere"
"dederis","dederis","dare;dedere"
"dederitis","dederitis","dare"
"dederunt","dederunt","dare"
"dedi","dedi","dare;dedere"
"dedimus","dedimus","dare;dedere"
"dedit","dedit","dare;dedere"
"deducti","deducti","deductus;deducere"
"deductus","deductus","deductus;deducere"
"defecisse","defecisse","deficere"
"defero","defero","deferre"
"deferre","deferre","deferre"
"deficiente","deficiente","deficere"
"defixae","defixae","defigere"
"defluens","defluens","defluere"
"deformior","deformior","deformis"
"defraudit","defraudit","defraudit"
"dei","dei","deius;deus"
"deia","deia","deius"
"deiciebat","deiciebat","deicere"
"deiecti","deiecti","deicere;deiectus"
"deinde","deinde","deinde"
"delapsus","delapsus","delabi;delapsus"
"delebit","delebit","delere"
"delectaretur","delectaretur","delectare"
"delectaris","delectaris","delectare"
"delectatus","delectatus","delectare"
"deliberaremus","deliberaremus","deliberare"
"delicati","delicati","delicare;delicatus"
"delicatissimam","delicatissimam","delicatus"
"delicatus","delicatus","delicare;delicatus"
"deliciae","deliciae","deliciae;delicia"
"delicias","delicias","delicere;deliciae;delicia"
"dem","dem","dare"
"demandavi","demandavi","demandare"
"deminutum","deminutum","deminutus;deminuere"
"demisso","demisso","demissus;demittere"
"demittitur","demittitur","demittere"
"denariis","denariis","denarius"
"denarios","denarios","denarius"
"denique","denique","denique;deni"
"dentem","dentem","dens"
"dentes","dentes","dens"
"dentibus","dentibus","dens"
"deorsum","deorsum","deorsum"
"deorum","deorum","deus"
"dependebant","dependebant","dependere"
"deposuit","deposuit","deponere"
"depraesentiarum","depraesentiarum","depraesentiarum"
"deprecari","deprecari","deprecari"
"deprecati","deprecati","deprecari"
"deprehensa","deprehensa","deprehendere"
"deprehensus","deprehensus","deprehendere"
"deprimente","deprimente","deprimere"
"derectum","derectum","derectus;derigere"
"deridebis","deridebis","deridere"
"derideri","derideri","deridere"
"derides","derides","deridere"
"derisit","derisit","deridere"
"descenderet","descenderet","descendere"
"descendimus","descendimus","descendere"
"desineret","desineret","desinere"
"desisset","desisset","desisset"
"desomnem","desomnem","desomnis"
"desperatum","desperatum","desperare;desperatus"
"despolia","despolia","despoliare"
"despoliamur","despoliamur","despoliare;despoliari"
"despoliatur","despoliatur","despoliare;despoliari"
"despoliatus","despoliatus","despoliare;despoliari"
"destinatum","destinatum","destinare;destinatum;destinatus"
"destinavi","destinavi","destinare"
"destiti","destiti","desistere"
"detersa","detersa","detergere"
"detraheret","detraheret","detrahere"
"detraxit","detraxit","detrahere"
"deurode","deurode","deurode"
"deus","deus","deus"
"deverbia","deverbia","deverbium"
"devorare","devorare","devorare"
"devoravit","devoravit","devorare"
"dexteram","dexteram","dextera;dexter"
"dextro","dextro","dexter"
"dextros","dextros","dexter"
"dextrum","dextrum","dexter"
"di","di","deus;di"
"dianae","dianae","dianae"
"diariis","diariis","diarium"
"dic","dic","dicere;dic"
"dicam","dicam","dica;dicere"
"dicebant","dicebant","dicere"
"dicebat","dicebat","dicere"
"dicebatque","dicebatque","dicere"
"dicens","dicens","dicere"
"dicente","dicente","dicere"
"dicenti","dicenti","dicere"
"dicere","dicere","dicare;dicere"
"dicerent","dicerent","dicere"
"diceret","diceret","dicere"
"dices","dices","dicare;dicere"
"dicet","dicet","dicare;dicere"
"dici","dici","dicere"
"dicis","dicis","dica;dicere;dicis"
"dicit","dicit","dicere"
"dicite","dicite","dicere"
"dicitur","dicitur","dicere"
"dico","dico","dicare;dicere"
"dicta","dicta","dictare;dictum;dicere"
"dictata","dictata","dictare;dictata"
"dicto","dicto","dictare;dictum;dicere"
"dictum","dictum","dictum;dictus;dicere"
"dicunt","dicunt","dicere"
"dicuntur","dicuntur","dicere"
"didici","didici","discere"
"didicimus","didicimus","discere"
"didicisset","didicisset","discere"
"didicit","didicit","discere"
"diductis","diductis","diducere"
"diduxit","diduxit","diducere"
"die","die","dies;dius"
"diebus","diebus","dies"
"diei","diei","dies"
"diem","diem","dies"
"dies","dies","dies"
"difficillimum","difficillimum","difficilis"
"diffusus","diffusus","diffundere;diffusus"
"digiti","digiti","digitus"
"digito","digito","digitus"
"digitos","digitos","digitus"
"digitosque","digitosque","digitus"
"digna","digna","dignare;dignus"
"dignitosso","dignitosso","dignitossus"
"dignus","dignus","dignus"
"dii","dii","deus;dii;dium;dius"
"diibus","diibus","diibus"
"diis","diis","deus;dium;dius"
"diligenter","diligenter","diligens"
"diligentiam","diligentiam","diligentia"
"dimidias","dimidias","dimidiare;dimidia;dimidius"
"dimissus","dimissus","dimissus;dimittere"
"diogenes","diogenes","diogenes"
"diomedes","diomedes","diomedes"
"dionyse","dionyse","dionyse"
"dipundiarius","dipundiarius","dipundiarius"
"discipulus","discipulus","discipulus"
"discis","discis","discere;discus"
"discordia","discordia","discordiare;discordia;discordium;discors"
"discubuerant","discubuerant","discumbere"
"discubuimus","discubuimus","discumbere"
"discumbat","discumbat","discumbere"
"discumbebat","discumbebat","discumbere"
"discumberem","discumberem","discumbere"
"discumbit","discumbit","discumbere"
"discurrentem","discurrentem","discurrere"
"discurrere","discurrere","discurrere"
"discurreret","discurreret","discurrere"
"discussa","discussa","discutere"
"disertiorem","disertiorem","disertus"
"dispare","dispare","disparere"
"dispensator","dispensator","dispensare;dispensator"
"dispensatorem","dispensatorem","dispensator"
"dispensatoremque","dispensatoremque","dispensator"
"dispensatoris","dispensatoris","dispensator"
"disposita","disposita","disponere;dispositus"
"disposuerat","disposuerat","disponere"
"dissilio","dissilio","dissilire"
"distinguente","distinguente","distinguere"
"distorta","distorta","distorquere;distortus"
"diu","diu","diu"
"diuque","diuque","diu"
"diutius","diutius","diutius;diu"
"diversa","diversa","diversum;diversus;divertere"
"dives","dives","dives"
"dividi","dividi","dividere;dividus"
"divinas","divinas","divinare;divinus"
"divisere","divisere","dividere"
"diviserit","diviserit","dividere"
"divitias","divitias","divitiae;divitia"
"dixerat","dixerat","dicere"
"dixerim","dixerim","dicere"
"dixerit","dixerit","dicere"
"dixero","dixero","dicere"
"dixi","dixi","dicere"
"diximus","diximus","dicere"
"dixisset","dixisset","dicere"
"dixit","dixit","dicere"
"do","do","dare"
"docere","docere","docere"
"docet","docet","docere"
"doctissimo","doctissimo","doctus"
"doctus","doctus","doctus;docere"
"domata","domata","doma"
"domesticus","domesticus","domesticus"
"domi","domi","domire;domi"
"domina","domina","dominare;domina"
"dominae","dominae","domina"
"dominam","dominam","domina"
"domini","domini","dominium;dominus"
"dominico","dominico","dominicus"
"dominicum","dominicum","dominicus"
"domino","domino","dominare;dominus"
"dominum","dominum","dominus"
"dominus","dominus","dominus"
"domiti","domiti","domare"
"domo","domo","domare;domo;domus"
"domos","domos","domos;domus"
"domum","domum","domum;domus"
"domus","domus","domus"
"domusionem","domusionem","domusio"
"donaria","donaria","donarium;donarius"
"donaverat","donaverat","donare"
"done","done","dare"
"donec","donec","donec"
"dono","dono","donare;donum"
"dormio","dormio","dormire"
"dorsum","dorsum","dorsum;dorsus"
"duae","duae","duo"
"duas","duas","duo"
"dubio","dubio","dubio;dubium;dubius"
"ducat","ducat","ducere"
"ducente","ducente","ducere"
"ducenti","ducenti","ducenti;ducere"
"duceret","duceret","ducere"
"ducit","ducit","ducere"
"dudum","dudum","dudum"
"dulce","dulce","dulce;dulcis"
"dulces","dulces","dulcare;dulcis"
"dulcis","dulcis","dulce;dulcis"
"dum","dum","dum"
"dumque","dumque","dum"
"duo","duo","duo"
"duodecim","duodecim","duodecim"
"duos","duos","duo"
"dupondii","dupondii","dupondius"
"dupundii","dupundii","dupundius"
"dupunduarius","dupunduarius","dupunduarius"
"durae","durae","durus"
"duravi","duravi","durare"
"durum","durum","durus"
"duxerant","duxerant","ducere"
"duxi","duxi","ducere"
"duxis","duxis","duxis"
"duxit","duxit","ducere"
"e","e","e"
"ea","ea","ea;is"
"eadem","eadem","eadem;idem"
"ealdicerebrius","ealdicerebrius","ealdicerebrius"
"eam","eam","ire;is"
"eamus","eamus","ire"
"eandem","eandem","idem"
"eas","eas","ire;is"
"eboreo","eboreo","eboreus"
"ebriaeque","ebriaeque","ebrius"
"ebrietate","ebrietate","ebrietas"
"ebrio","ebrio","ebriare;ebrius"
"ebriorum","ebriorum","ebrii;ebrius"
"ebrium","ebrium","ebrius"
"ebrius","ebrius","ebrius"
"ebulliit","ebulliit","ebulliit"
"ebullivi","ebullivi","ebullire"
"ecce","ecce","ecce"
"echinos","echinos","echinus"
"echion","echion","echios"
"edi","edi","edere;edus"
"edicta","edicta","edictare;edictum;edicere"
"effecisset","effecisset","efficere"
"efferri","efferri","efferre"
"efficerent","efficerent","efficere"
"efflaverat","efflaverat","efflare"
"effluant","effluant","effluere"
"effregerunt","effregerunt","effringere"
"effudit","effudit","effundere"
"effugere","effugere","effugare;effugere"
"effundebatur","effundebatur","effundere"
"effundentem","effundentem","effundere"
"effundere","effundere","effundere"
"effunderent","effunderent","effundere"
"effundi","effundi","effundere"
"effusa","effusa","effundere;effusare;effusus"
"effuse","effuse","effundere;effusus"
"effusissimis","effusissimis","effusus"
"egi","egi","agere"
"egit","egit","agere"
"ego","ego","ego"
"eheu","eheu","eheu"
"eis","eis","is"
"eius","eius","is"
"eiusmodi","eiusmodi","eiusmodi"
"elatus","elatus","efferre;elatus"
"electione","electione","electio"
"electissimas","electissimas","electus"
"elegantes","elegantes","elegans;elegare"
"elegantias","elegantias","elegantia"
"elegavit","elegavit","elegare"
"elixus","elixus","elixus"
"elogio","elogio","elogiare;elogium"
"eloquentia","eloquentia","eloquens;eloquentia;eloqui"
"eluderet","eluderet","eludere"
"embolum","embolum","embolum;embolus"
"emeram","emeram","emere"
"emere","emere","emerere;emere"
"emerem","emerem","emere"
"emi","emi","emere"
"emisses","emisses","emere"
"emissus","emissus","emissus;emittere"
"emit","emit","emere"
"emitteret","emitteret","emittere"
"emo","emo","emere"
"empti","empti","emere"
"empticius","empticius","empticius;empticus"
"emptisunt","emptisunt","emptisunt"
"enatavi","enatavi","enatare"
"enim","enim","enim"
"eo","eo","eo;ire;is"
"eodem","eodem","eodem;idem"
"eos","eos","is"
"ephesum","ephesum","ephesum"
"epidipnis","epidipnis","epidipnis"
"epigrammate","epigrammate","epigramma"
"epulum","epulum","epulum"
"eques","eques","eques"
"equites","equites","eques;equitare"
"equo","equo","equus"
"equum","equum","equus"
"eram","eram","era;esse"
"eramus","eramus","esse"
"erant","erant","esse"
"eras","eras","era;esse"
"erat","erat","esse"
"erectis","erectis","erectus;erigere"
"erevit","erevit","erevit"
"erexere","erexere","erigere"
"ergo","ergo","ergo"
"erimus","erimus","esse"
"eriperemus","eriperemus","eripere"
"eripiat","eripiat","eripere"
"erit","erit","esse"
"errantis","errantis","errare"
"errare","errare","errare"
"erras","erras","errare"
"erubescam","erubescam","erubescere"
"erubui","erubui","erubescere"
"erubuimus","erubuimus","erubescere"
"erudibam","erudibam","erudibam"
"erutaque","erutaque","eruere"
"ervilia","ervilia","ervilia"
"es","es","esse"
"esse","esse","esse"
"essedariam","essedariam","essedariam"
"essedarium","essedarium","essedarius"
"essem","essem","esse"
"essemus","essemus","esse"
"essent","essent","esse"
"esses","esses","esse"
"esset","esset","esse"
"est","est","esse"
"estis","estis","esse"
"esto","esto","esse"
"esuritio","esuritio","esuritio"
"et","et","et"
"etiam","etiam","etiam"
"etiamnum","etiamnum","etiamnum"
"etsi","etsi","etsi"
"euhiumque","euhiumque","euhiumque"
"eum","eum","is"
"eundem","eundem","idem"
"euntes","euntes","ire"
"euripo","euripo","euripos;euripus"
"evadit","evadit","evadere"
"eveniat","eveniat","evenire"
"everrere","everrere","everrere"
"eversum","eversum","everrere;eversus;evertere"
"evitaremus","evitaremus","evitare"
"evolaverunt","evolaverunt","evolare"
"ex","ex","ex"
"excanduit","excanduit","excandescere"
"excatarissasti","excatarissasti","excatarissare"
"excellente","excellente","excellere"
"excelsum","excelsum","excelsum;excelsus"
"exceperunt","exceperunt","excipere"
"excepit","excepit","excipere"
"exceptione","exceptione","exceptio"
"exciderat","exciderat","excidere;excindere"
"exciderunt","exciderunt","excidere;excindere"
"excidisset","excidisset","excidere;excindere"
"excipere","excipere","excipere"
"exciperem","exciperem","excipere"
"excipimus","excipimus","excipere"
"excisus","excisus","excidere"
"exclamat","exclamat","exclamare"
"exclamavere","exclamavere","exclamare"
"exclamavit","exclamavit","exclamare"
"excluserat","excluserat","excludere"
"excussus","excussus","excussus;excutere"
"exeamus","exeamus","exire"
"exemplar","exemplar","exemplar"
"exercebatur","exercebatur","exercere"
"exercentem","exercentem","exercere"
"exercuit","exercuit","exercere"
"exeunt","exeunt","exire"
"exheredabatur","exheredabatur","exheredare"
"exhibebat","exhibebat","exhibere"
"exhortavit","exhortavit","exhortavit"
"exi","exi","exire"
"exierat","exierat","exire"
"exierit","exierit","exire"
"eximus","eximus","exire"
"exintera","exintera","exinterare"
"exinterare","exinterare","exinterare"
"exinteratus","exinteratus","exinterare"
"exire","exire","exire"
"exiret","exiret","exire"
"existimarent","existimarent","existimare"
"exitum","exitum","exire;exitus"
"exonerata","exonerata","exonerare"
"exopinissent","exopinissent","exopinissare"
"exorabant","exorabant","exorare"
"exoratus","exoratus","exorare"
"exorsus","exorsus","exordiri;exorsus"
"exossatas","exossatas","exossare;exossatus"
"expavit","expavit","expavescere"
"expectabam","expectabam","expectare"
"expectantes","expectantes","expectare"
"expectata","expectata","expectare"
"expectatio","expectatio","expectatio"
"expectatione","expectatione","expectatio"
"expectes","expectes","expectare"
"expedienda","expedienda","expedire"
"expediunt","expediunt","expedire"
"expellente","expellente","expellere"
"experieris","experieris","experire;experiri"
"experiri","experiri","experire;experiri"
"expirabo","expirabo","expirabo"
"explicabit","explicabit","explicare"
"exposuit","exposuit","exponere"
"expressit","expressit","exprimere"
"exprimeret","exprimeret","exprimere"
"expudoratam","expudoratam","expudoratus"
"expuit","expuit","expuere"
"exsibilavit","exsibilavit","exsibilare"
"exsonabant","exsonabant","exsonare"
"exsurrexi","exsurrexi","exsurgere"
"extendit","extendit","extendere"
"extorsit","extorsit","extorquere"
"extra","extra","extrare;extra"
"extraneo","extraneo","extraneare;extraneus"
"extraxit","extraxit","extrahere"
"extremo","extremo","extra;extremum;extremus"
"extremos","extremos","extra;extremi;extremus"
"extremum","extremum","extra;extremum;extremus"
"exuit","exuit","exuere"
"exul","exul","exul"
"fabam","fabam","faba"
"faber","faber","faber"
"fabri","fabri","fabrire;faber"
"fabula","fabula","fabulare;fabula"
"fabulae","fabulae","fabula"
"fabulam","fabulam","fabula"
"fabulas","fabulas","fabulare;fabula"
"facere","facere","facere"
"facerem","facerem","facere"
"faciam","faciam","facere;facia"
"faciamus","faciamus","facere"
"facias","facias","facere;facia"
"faciat","faciat","facere"
"faciatis","faciatis","facere"
"faciatur","faciatur","facere"
"faciebam","faciebam","facere"
"faciebat","faciebat","facere"
"faciem","faciem","facies"
"facient","facient","facere"
"facientem","facientem","facere"
"faciet","faciet","facere"
"facile","facile","facile;facilis"
"facinus","facinus","facinus"
"facio","facio","facere"
"facit","facit","facere"
"faciunt","faciunt","facere"
"facta","facta","factare;factum;factus;facere"
"factae","factae","factus;facere"
"factam","factam","factus;facere"
"facti","facti","factum;factus;facere"
"factio","factio","factio"
"factis","factis","factum;factus;facere"
"facto","facto","factare;factum;factus;facere"
"factum","factum","factum;factus;facere;fieri"
"facturam","facturam","factura;facere;fieri"
"facturos","facturos","facere;fieri"
"factus","factus","factus;facere"
"faenerare","faenerare","faenerare"
"falerna","falerna","falerna"
"falernum","falernum","falernum"
"falsum","falsum","falsum;falsus"
"fame","fame","fames"
"famem","famem","fames"
"familia","familia","familia"
"familiae","familiae","familia"
"familiaeque","familiaeque","familia"
"familiam","familiam","familia"
"famosus","famosus","famosus"
"farina","farina","farina"
"farsi","farsi","farcire"
"fascemque","fascemque","fascis"
"fasces","fasces","fascis"
"fascia","fascia","fasciare;fascia"
"fasciae","fasciae","fascia"
"fasciis","fasciis","fascia"
"fastiditum","fastiditum","fastidire"
"fata","fata","fari;fatum"
"fatum","fatum","fari;fatum;fatus"
"fatus","fatus","fari;fatus"
"fatuum","fatuum","fatus;fatuus"
"favorem","favorem","favor"
"favum","favum","favus"
"favus","favus","favus"
"febris","febris","febrire;febris;feber"
"fecerat","fecerat","facere"
"feceratque","feceratque","facere"
"feceris","feceris","facere"
"fecerit","fecerit","facere"
"fecerunt","fecerunt","facere"
"feci","feci","facere;fex"
"fecissent","fecissent","facere"
"fecisti","fecisti","facere"
"fecit","fecit","facere"
"fefellitus","fefellitus","fefellitus"
"felicem","felicem","felix"
"felices","felices","felix"
"felicionem","felicionem","felicionem"
"feliciores","feliciores","felix"
"felicitate","felicitate","felicitare;felicitas"
"feliciter","feliciter","felicitare;felix"
"felix","felix","felix"
"femina","femina","femen;feminare;femina;femur"
"fer","fer","fari;ferre"
"feram","feram","ferre;fera;ferus"
"ferculo","ferculo","ferculum"
"ferculum","ferculum","ferculum"
"ferebat","ferebat","ferre"
"feriatis","feriatis","ferire;feriari;feriatus"
"fericulo","fericulo","fericulum;fericulus"
"fericulum","fericulum","fericulum;fericulus"
"fericulus","fericulus","fericulus"
"fermentum","fermentum","fermentum"
"fero","fero","ferre;ferus"
"ferreis","ferreis","ferreus"
"ferro","ferro","ferrum"
"ferrum","ferrum","ferrum"
"ferruminati","ferruminati","ferruminare"
"ferruminatum","ferruminatum","ferruminare"
"ferventi","ferventi","fervens;fervere"
"ferventia","ferventia","fervens;fervere"
"fervere","fervere","fervere"
"fervet","fervet","fervere"
"festa","festa","festum;festus"
"fetentem","fetentem","fetere"
"fetum","fetum","fetus"
"fiam","fiam","fieri"
"fiamus","fiamus","fieri"
"fiat","fiat","fieri"
"ficedulam","ficedulam","ficedula"
"fictilem","fictilem","fictilis"
"fictiles","fictiles","fictilis"
"fictilis","fictilis","fictile;fictilis"
"ficum","ficum","ficum;ficus"
"fidelis","fidelis","fidelis"
"fidem","fidem","fides;fidis"
"fides","fides","fidere;fides;fidis"
"fiebat","fiebat","fieri"
"fient","fient","fieri"
"fieret","fieret","fieri"
"fieri","fieri","fieri"
"figuras","figuras","figurare;figura"
"figurata","figurata","figurare;figuratus"
"filiam","filiam","filia"
"filicem","filicem","filex;filix"
"filii","filii","filius"
"filio","filio","filius"
"filios","filios","filius"
"filius","filius","filius"
"filo","filo","filare;filum"
"fimbriis","fimbriis","fimbria;fimbrium"
"fimo","fimo","fimum;fimus"
"fines","fines","finis"
"fingite","fingite","fingere"
"finiebat","finiebat","finire"
"finieram","finieram","finire"
"finiri","finiri","finire"
"finis","finis","finire;finis"
"firmum","firmum","firmus"
"fit","fit","fieri"
"fixi","fixi","figere;fixus"
"fixum","fixum","figere;fixus"
"fixus","fixus","figere;fixus"
"flagellis","flagellis","flagellum"
"flagello","flagello","flagellare;flagellum"
"flagellum","flagellum","flagellum"
"flaturae","flaturae","flare;flatura"
"flebat","flebat","flere"
"flectere","flectere","flectere"
"flecterentur","flecterentur","flectere"
"flens","flens","flere"
"flere","flere","flare;flere"
"flexit","flexit","flectere"
"fluctum","fluctum","fluctus;fluere"
"fluente","fluente","fluere"
"folium","folium","folium"
"follem","follem","follis"
"foras","foras","forare;foras;fovere"
"forcipe","forcipe","forceps"
"forensia","forensia","forensis"
"formae","formae","forma;formus"
"formal","formal","formal"
"foro","foro","forare;forum;forus;fovere"
"forsitan","forsitan","forsitan"
"forte","forte","fors;forte;fortis"
"fortem","fortem","fors;fortis"
"fortis","fortis","fors;fortis"
"fortitudinem","fortitudinem","fortitudo"
"fortuna","fortuna","fortunare;fortuna"
"fortunae","fortunae","fortuna"
"fortunam","fortunam","fortuna"
"fortunat","fortunat","fortunare"
"fortunata","fortunata","fortunare;fortunatus"
"fortunatae","fortunatae","fortunare;fortunatus"
"fortunatam","fortunatam","fortunare;fortunatus"
"fortunis","fortunis","fortuna"
"forum","forum","foris;forum;forus"
"fractam","fractam","fractus;frangere"
