"","form","lemmata"
"aiunt","aiunt","aere<v>;aio<v>"
"ala","ala","ala<n>;alum<n>"
"alabastris","alabastris","alabastris<n>;alabastrum<n>;alabastrus<n>;alabaster<n>"
"alapa","alapa","alapare<v>;alapa<n>"
"alba","alba","albare<v>;alba<n>;album<n>;albus<adj>"
"albam","albam","alba<n>;albus<adj>"
"albas","albas","albare<v>;alba<n>;albus<adj>"
"albi","albi","album<n>;albus<adj>"
"albis","albis","alba<n>;album<n>;albus<adj>"
"alexandrinis","alexandrinis","alexandrinis"
"alexandrinus","alexandrinus","alexandrinus"
"algentes","algentes","algentes"
"alia","alia","alia<n>;alia<adv>;alium<n>;alius<pro>"
"aliaque","aliaque","alia<n>;alia<adv>;alium<n>;alius<pro>"
"alias","alias","alias<adv>;alia<n>;alius<pro>"
"alicuius","alicuius","aliquis<pro>;aliqui<pro>"
"alicula","alicula","alicula<n>"
"alienum","alienum","alienum<n>;alienus<adj>;alienus<n>"
"alii","alii","alium<n>;alius<pro>"
"aliisque","aliisque","alia<n>;alium<n>;alius<pro>"
"alio","alio","alio<adv>;alium<n>;alius<pro>"
"alioquin","alioquin","alioquin<adv>"
"alios","alios","alius<pro>"
"aliqua","aliqua","aliqua<adv>;aliquis<pro>;aliqui<pro>"
"aliquam","aliquam","aliquam<adv>;aliquis<pro>;aliqui<pro>"
"aliquamdiu","aliquamdiu","aliquamdiu<adv>"
"aliquando","aliquando","aliquando<adv>"
"aliquantum","aliquantum","aliquantum<n>;aliquantum<adv>;aliquantus<adj>"
"aliquid","aliquid","aliquid<adv>;aliquis<pro>"
"aliquis","aliquis","aliquis<pro>"
"aliquod","aliquod","aliqui<pro>"
"aliquot","aliquot","aliqui<pro>"
"alis","alis","ala<n>;alere<v>;alum<n>;alus<n>"
"aliubi","aliubi","aliubi<adv>"
"aliud","aliud","alius<pro>"
"alius","alius","alius<pro>"
"allata","allata","adferre<v>;afferre<v>"
"allatae","allatae","adferre<v>;afferre<v>"
"allatum","allatum","adferre<v>;afferre<v>"
"allatus","allatus","adferre<v>;afferre<v>"
"alligata","alligata","alligare<v>"
"alligatam","alligatam","alligare<v>"
"alligatus","alligatus","alligare<v>"
"alogias","alogias","alogia<n>"
"alter","alter","altare<v>;alter<adj>;alter<pro>"
"altera","altera","alterare<v>;alter<adj>;alter<pro>"
"alteram","alteram","alter<adj>;alter<pro>"
"alteras","alteras","alterare<v>;alteras<adv>;alter<adj>;alter<pro>"
"alterius","alterius","alter<adj>;alter<pro>"
"altero","altero","alterare<v>;altero<adv>;alter<adj>;alter<pro>"
"alterum","alterum","alter<adj>;alter<pro>"
"altiles","altiles","altiles<n>;altilis<adj>;altilis<n>"
"altilia","altilia","altilis<adj>;altilia<n>"
"altilis","altilis","altiles<n>;altilis<adj>;altilis<n>"
"altius","altius","altus<adj>"
"alveo","alveo","alveus<n>"
"amare","amare","amare<v>;amare<adv>;amarus<adj>"
"amas","amas","amare<v>;ama<n>"
"amasiuncula","amasiuncula","amasiuncula<n>"
"amasiunculos","amasiunculos","amasiunculus<n>"
"amat","amat","amare<v>"
"ambitiosissime","ambitiosissime","ambitiosus<adj>"
"ambubaia","ambubaia","ambubaia<n>"
"ambulamus","ambulamus","ambulare<v>"
"ambulare","ambulare","ambulare<v>"
"ambularem","ambularem","ambulare<v>"
"ambulo","ambulo","ambulare<v>"
"amet","amet","amare<v>"
"amicae","amicae","amica<n>;amicus<adj>"
"amice","amice","amice<adv>;amicus<adj>;amicus<n>"
"amici","amici","amicire<v>;amicus<adj>;amicus<n>"
"amicimur","amicimur","amicire<v>"
"amicis","amicis","amica<n>;amicire<v>;amicus<adj>;amicus<n>"
"amico","amico","amicare<v>;amicus<adj>;amicus<n>"
"amicos","amicos","amicus<adj>;amicus<n>"
"amictus","amictus","amictus<n>;amicire<v>"
"amictusque","amictusque","amictus<n>;amicire<v>"
"amicus","amicus","amicus<adj>;amicus<n>"
"amor","amor","amare<v>;amor<n>"
"amphitheater","amphitheater","amphitheater"
"amphitheatro","amphitheatro","amphitheatrum<n>"
"amphora","amphora","amphora<n>"
"amphorae","amphorae","amphora<n>"
"amphoram","amphoram","amphora<n>"
"amphoras","amphoras","amphora<n>"
"amplexaret","amplexaret","amplexare<v>"
"amplius","amplius","ample<adv>;amplius<adv>;amplus<adj>"
"amplo","amplo","amplus<adj>"
"ampulla","ampulla","ampulla<n>"
"ampullam","ampullam","ampulla<n>"
"an","an","an<conj>"
