"","form","lemmata"
"destinatum","destinatum","destinare<v>;destinatum<n>;destinatus<adj>"
"destinavi","destinavi","destinare<v>"
"destiti","destiti","desistere<v>"
"detersa","detersa","detergere<v>"
"detraheret","detraheret","detrahere<v>"
"detraxit","detraxit","detrahere<v>"
"deurode","deurode","deurode"
"deus","deus","deus<n>"
"deverbia","deverbia","deverbium<n>"
"devorare","devorare","devorare<v>"
"devoravit","devoravit","devorare<v>"
"dexteram","dexteram","dextera<n>;dexter<adj>"
"dextro","dextro","dexter<adj>"
"dextros","dextros","dexter<adj>"
"dextrum","dextrum","dexter<adj>"
"di","di","deus<n>;di<num>"
"dianae","dianae","dianae"
"diariis","diariis","diarium<n>"
"dic","dic","dicere<v>;dic<num>"
"dicam","dicam","dica<n>;dicere<v>"
"dicebant","dicebant","dicere<v>"
"dicebat","dicebat","dicere<v>"
"dicebatque","dicebatque","dicere<v>"
"dicens","dicens","dicere<v>"
"dicente","dicente","dicere<v>"
"dicenti","dicenti","dicere<v>"
"dicere","dicere","dicare<v>;dicere<v>"
"dicerent","dicerent","dicere<v>"
"diceret","diceret","dicere<v>"
"dices","dices","dicare<v>;dicere<v>"
"dicet","dicet","dicare<v>;dicere<v>"
"dici","dici","dicere<v>"
"dicis","dicis","dica<n>;dicere<v>;dicis<n>"
"dicit","dicit","dicere<v>"
"dicite","dicite","dicere<v>"
"dicitur","dicitur","dicere<v>"
"dico","dico","dicare<v>;dicere<v>"
"dicta","dicta","dictare<v>;dictum<n>;dicere<v>"
"dictata","dictata","dictare<v>;dictata<n>"
"dicto","dicto","dictare<v>;dictum<n>;dicere<v>"
"dictum","dictum","dictum<n>;dictus<n>;dicere<v>"
"dicunt","dicunt","dicere<v>"
"dicuntur","dicuntur","dicere<v>"
"didici","didici","discere<v>"
"didicimus","didicimus","discere<v>"
"didicisset","didicisset","discere<v>"
"didicit","didicit","discere<v>"
"diductis","diductis","diducere<v>"
"diduxit","diduxit","diducere<v>"
"die","die","dies<n>;dius<adj>"
"diebus","diebus","dies<n>"
"diei","diei","dies<n>"
"diem","diem","dies<n>"
"dies","dies","dies<n>"
"difficillimum","difficillimum","difficilis<adj>"
"diffusus","diffusus","diffundere<v>;diffusus<adj>"
"digiti","digiti","digitus<n>"
"digito","digito","digitus<n>"
"digitos","digitos","digitus<n>"
"digitosque","digitosque","digitus<n>"
"digna","digna","dignare<v>;dignus<adj>"
"dignitosso","dignitosso","dignitossus<adj>"
"dignus","dignus","dignus<adj>"
"dii","dii","deus<n>;dii<n>;dium<n>;dius<adj>;dii<num>"
"diibus","diibus","diibus"
"diis","diis","deus<n>;dium<n>;dius<adj>"
"diligenter","diligenter","diligens<adj>"
"diligentiam","diligentiam","diligentia<n>"
"dimidias","dimidias","dimidiare<v>;dimidia<n>;dimidius<adj>"
"dimissus","dimissus","dimissus<n>;dimittere<v>"
"diogenes","diogenes","diogenes"
"diomedes","diomedes","diomedes"
"dionyse","dionyse","dionyse"
"dipundiarius","dipundiarius","dipundiarius<adj>"
"discipulus","discipulus","discipulus<n>"
"discis","discis","discere<v>;discus<n>"
"discordia","discordia","discordiare<v>;discordia<n>;discordium<n>;discors<adj>"
"discubuerant","discubuerant","discumbere<v>"
"discubuimus","discubuimus","discumbere<v>"
"discumbat","discumbat","discumbere<v>"
"discumbebat","discumbebat","discumbere<v>"
"discumberem","discumberem","discumbere<v>"
"discumbit","discumbit","discumbere<v>"
"discurrentem","discurrentem","discurrere<v>"
"discurrere","discurrere","discurrere<v>"
"discurreret","discurreret","discurrere<v>"
"discussa","discussa","discutere<v>"
"disertiorem","disertiorem","disertus<adj>"
"dispare","dispare","disparere<v>"
"dispensator","dispensator","dispensare<v>;dispensator<n>"
"dispensatorem","dispensatorem","dispensator<n>"
"dispensatoremque","dispensatoremque","dispensator<n>"
"dispensatoris","dispensatoris","dispensator<n>"
"disposita","disposita","disponere<v>;dispositus<adj>"
"disposuerat","disposuerat","disponere<v>"
"dissilio","dissilio","dissilire<v>"
"distinguente","distinguente","distinguere<v>"
"distorta","distorta","distorquere<v>;distortus<adj>"
"diu","diu","diu<n>;diu<adv>"
"diuque","diuque","diu<n>;diu<adv>"
"diutius","diutius","diutius<adv>;diu<adv>"
"diversa","diversa","diversum<n>;diversus<adj>;divertere<v>"
"dives","dives","dives<adj>"
"dividi","dividi","dividere<v>;dividus<adj>"
"divinas","divinas","divinare<v>;divinus<adj>"
"divisere","divisere","dividere<v>"
"diviserit","diviserit","dividere<v>"
"divitias","divitias","divitiae<n>;divitia<n>"
"dixerat","dixerat","dicere<v>"
"dixerim","dixerim","dicere<v>"
"dixerit","dixerit","dicere<v>"
"dixero","dixero","dicere<v>"
"dixi","dixi","dicere<v>"
"diximus","diximus","dicere<v>"
"dixisset","dixisset","dicere<v>"
"dixit","dixit","dicere<v>"
"do","do","dare<v>"
"docere","docere","docere<v>"
"docet","docet","docere<v>"
"doctissimo","doctissimo","doctus<adj>"
"doctus","doctus","doctus<adj>;doctus<n>;docere<v>"
"domata","domata","doma<n>"
"domesticus","domesticus","domesticus<adj>"
"domi","domi","domire<v>;domi<adv>"
"domina","domina","dominare<v>;domina<n>"
"dominae","dominae","domina<n>"
"dominam","dominam","domina<n>"
"domini","domini","dominium<n>;dominus<n>"
"dominico","dominico","dominicus<adj>"
"dominicum","dominicum","dominicus<adj>"
"domino","domino","dominare<v>;dominus<n>"
"dominum","dominum","dominus<n>"
"dominus","dominus","dominus<n>"
"domiti","domiti","domare<v>"
"domo","domo","domare<v>;domo<adv>;domus<n>"
"domos","domos","domos<adv>;domus<n>"
"domum","domum","domum<adv>;domus<n>"
"domus","domus","domus<n>"
"domusionem","domusionem","domusio<n>"
"donaria","donaria","donarium<n>;donarius<adj>"
"donaverat","donaverat","donare<v>"
"done","done","dare<v>"
"donec","donec","donec<conj>"
"dono","dono","donare<v>;donum<n>"
"dormio","dormio","dormire<v>"
"dorsum","dorsum","dorsum<n>;dorsum<adv>;dorsus<n>"
"duae","duae","duo<num>"
"duas","duas","duo<num>"
"dubio","dubio","dubio<adv>;dubium<n>;dubius<adj>"
"ducat","ducat","ducere<v>"
"ducente","ducente","ducere<v>"
"ducenti","ducenti","ducenti<num>;ducere<v>"
"duceret","duceret","ducere<v>"
"ducit","ducit","ducere<v>"
"dudum","dudum","dudum<adv>"
"dulce","dulce","dulce<n>;dulce<adv>;dulcis<adj>"
"dulces","dulces","dulcare<v>;dulcis<adj>"
"dulcis","dulcis","dulce<n>;dulcis<adj>"
"dum","dum","dum<conj>"
"dumque","dumque","dum<conj>"
"duo","duo","duo<num>"
"duodecim","duodecim","duodecim<num>"
"duos","duos","duo<num>"
"dupondii","dupondii","dupondius<n>"
"dupundii","dupundii","dupundius<n>"
"dupunduarius","dupunduarius","dupunduarius<adj>"
"durae","durae","durus<adj>"
"duravi","duravi","durare<v>"
"durum","durum","durus<adj>"
"duxerant","duxerant","ducere<v>"
"duxi","duxi","ducere<v>"
"duxis","duxis","duxis"
"duxit","duxit","ducere<v>"
"e","e","e<prep>"
"ea","ea","ea<adv>;is<pro>"
"eadem","eadem","eadem<adv>;idem<pro>"
"ealdicerebrius","ealdicerebrius","ealdicerebrius"
"eam","eam","ire<v>;is<pro>"
"eamus","eamus","ire<v>"
"eandem","eandem","idem<pro>"
"eas","eas","ire<v>;is<pro>"
"eboreo","eboreo","eboreus<adj>"
"ebriaeque","ebriaeque","ebrius<adj>"
"ebrietate","ebrietate","ebrietas<n>"
"ebrio","ebrio","ebriare<v>;ebrius<adj>"
"ebriorum","ebriorum","ebrii<n>;ebrius<adj>"
"ebrium","ebrium","ebrius<adj>"
"ebrius","ebrius","ebrius<adj>"
"ebulliit","ebulliit","ebulliit"
"ebullivi","ebullivi","ebullire<v>"
"ecce","ecce","ecce<intj>"
"echinos","echinos","echinus<n>"
"echion","echion","echios<n>"
"edi","edi","edere<v>;edus<n>"
"edicta","edicta","edictare<v>;edictum<n>;edicere<v>"
"effecisset","effecisset","efficere<v>"
"efferri","efferri","efferre<v>"
"efficerent","efficerent","efficere<v>"
"efflaverat","efflaverat","efflare<v>"
"effluant","effluant","effluere<v>"
"effregerunt","effregerunt","effringere<v>"
"effudit","effudit","effundere<v>"
"effugere","effugere","effugare<v>;effugere<v>"
"effundebatur","effundebatur","effundere<v>"
"effundentem","effundentem","effundere<v>"
"effundere","effundere","effundere<v>"
"effunderent","effunderent","effundere<v>"
"effundi","effundi","effundere<v>"
"effusa","effusa","effundere<v>;effusare<v>;effusus<adj>"
"effuse","effuse","effundere<v>;effusus<adj>"
"effusissimis","effusissimis","effusus<adj>"
"egi","egi","agere<v>"
"egit","egit","agere<v>"
"ego","ego","ego<pro>"
"eheu","eheu","eheu<intj>"
"eis","eis","is<pro>"
"eius","eius","is<pro>"
"eiusmodi","eiusmodi","eiusmodi"
"elatus","elatus","efferre<v>;elatus<adj>"
"electione","electione","electio<n>"
"electissimas","electissimas","electus<adj>"
"elegantes","elegantes","elegans<adj>;elegare<v>"
"elegantias","elegantias","elegantia<n>"
"elegavit","elegavit","elegare<v>"
"elixus","elixus","elixus<adj>"
"elogio","elogio","elogiare<v>;elogium<n>"
"eloquentia","eloquentia","eloquens<adj>;eloquentia<n>;eloqui<v>"
"eluderet","eluderet","eludere<v>"
"embolum","embolum","embolum<n>;embolus<n>"
"emeram","emeram","emere<v>"
"emere","emere","emerere<v>;emere<v>"
"emerem","emerem","emere<v>"
"emi","emi","emere<v>"
"emisses","emisses","emere<v>"
"emissus","emissus","emissus<n>;emittere<v>"
"emit","emit","emere<v>"
"emitteret","emitteret","emittere<v>"
"emo","emo","emere<v>"
"empti","empti","emere<v>"
"empticius","empticius","empticius<adj>;empticus<adj>"
"emptisunt","emptisunt","emptisunt"
"enatavi","enatavi","enatare<v>"
"enim","enim","enim<conj>"
"eo","eo","eo<adv>;ire<v>;is<pro>"
"eodem","eodem","eodem<adv>;idem<pro>"
"eos","eos","is<pro>"
"ephesum","ephesum","ephesum"
"epidipnis","epidipnis","epidipnis<n>"
"epigrammate","epigrammate","epigramma<n>"
"epulum","epulum","epulum<n>"
"eques","eques","eques<n>"
"equites","equites","eques<n>;equitare<v>"
"equo","equo","equus<n>"
"equum","equum","equus<n>"
"eram","eram","era<n>;esse<v>"
"eramus","eramus","esse<v>"
"erant","erant","esse<v>"
"eras","eras","era<n>;esse<v>"
"erat","erat","esse<v>"
"erectis","erectis","erectus<adj>;erigere<v>"
"erevit","erevit","erevit"
"erexere","erexere","erigere<v>"
"ergo","ergo","ergo<adv>;ergo<prep>"
"erimus","erimus","esse<v>"
"eriperemus","eriperemus","eripere<v>"
"eripiat","eripiat","eripere<v>"
"erit","erit","esse<v>"
"errantis","errantis","errare<v>"
"errare","errare","errare<v>"
"erras","erras","errare<v>"
"erubescam","erubescam","erubescere<v>"
"erubui","erubui","erubescere<v>"
"erubuimus","erubuimus","erubescere<v>"
"erudibam","erudibam","erudibam"
"erutaque","erutaque","eruere<v>"
"ervilia","ervilia","ervilia<n>"
"es","es","esse<v>"
"esse","esse","esse<v>"
"essedariam","essedariam","essedariam"
"essedarium","essedarium","essedarius<n>"
"essem","essem","esse<v>"
"essemus","essemus","esse<v>"
"essent","essent","esse<v>"
"esses","esses","esse<v>"
"esset","esset","esse<v>"
"est","est","esse<v>"
"estis","estis","esse<v>"
"esto","esto","esse<v>"
"esuritio","esuritio","esuritio<n>"
"et","et","et<conj>"
"etiam","etiam","etiam<conj>"
"etiamnum","etiamnum","etiamnum<adv>"
"etsi","etsi","etsi<conj>"
"euhiumque","euhiumque","euhiumque"
"eum","eum","is<pro>"
"eundem","eundem","idem<pro>"
"euntes","euntes","ire<v>"
"euripo","euripo","euripos<n>;euripus<n>"
"evadit","evadit","evadere<v>"
"eveniat","eveniat","evenire<v>"
"everrere","everrere","everrere<v>"
"eversum","eversum","everrere<v>;eversus<n>;evertere<v>"
"evitaremus","evitaremus","evitare<v>"
"evolaverunt","evolaverunt","evolare<v>"
"ex","ex","ex<prep>"
"excanduit","excanduit","excandescere<v>"
"excatarissasti","excatarissasti","excatarissare<v>"
"excellente","excellente","excellere<v>"
"excelsum","excelsum","excelsum<n>;excelsus<adj>"
"exceperunt","exceperunt","excipere<v>"
"excepit","excepit","excipere<v>"
"exceptione","exceptione","exceptio<n>"
"exciderat","exciderat","excidere<v>;excindere<v>"
"exciderunt","exciderunt","excidere<v>;excindere<v>"
"excidisset","excidisset","excidere<v>;excindere<v>"
"excipere","excipere","excipere<v>"
"exciperem","exciperem","excipere<v>"
"excipimus","excipimus","excipere<v>"
"excisus","excisus","excidere<v>"
"exclamat","exclamat","exclamare<v>"
"exclamavere","exclamavere","exclamare<v>"
"exclamavit","exclamavit","exclamare<v>"
"excluserat","excluserat","excludere<v>"
"excussus","excussus","excussus<adj>;excussus<n>;excutere<v>"
"exeamus","exeamus","exire<v>"
"exemplar","exemplar","exemplar<n>"
"exercebatur","exercebatur","exercere<v>"
"exercentem","exercentem","exercere<v>"
"exercuit","exercuit","exercere<v>"
"exeunt","exeunt","exire<v>"
"exheredabatur","exheredabatur","exheredare<v>"
"exhibebat","exhibebat","exhibere<v>"
"exhortavit","exhortavit","exhortavit"
"exi","exi","exire<v>"
"exierat","exierat","exire<v>"
"exierit","exierit","exire<v>"
"eximus","eximus","exire<v>"
"exintera","exintera","exinterare<v>"
"exinterare","exinterare","exinterare<v>"
"exinteratus","exinteratus","exinterare<v>"
"exire","exire","exire<v>"
"exiret","exiret","exire<v>"
"existimarent","existimarent","existimare<v>"
"exitum","exitum","exire<v>;exitus<n>"
"exonerata","exonerata","exonerare<v>"
"exopinissent","exopinissent","exopinissare<v>"
"exorabant","exorabant","exorare<v>"
"exoratus","exoratus","exorare<v>"
"exorsus","exorsus","exordiri<v>;exorsus<n>"
"exossatas","exossatas","exossare<v>;exossatus<adj>"
"expavit","expavit","expavescere<v>"
"expectabam","expectabam","expectare<v>"
"expectantes","expectantes","expectare<v>"
"expectata","expectata","expectare<v>"
"expectatio","expectatio","expectatio<n>"
"expectatione","expectatione","expectatio<n>"
"expectes","expectes","expectare<v>"
"expedienda","expedienda","expedire<v>"
"expediunt","expediunt","expedire<v>"
"expellente","expellente","expellere<v>"
"experieris","experieris","experire<v>;experiri<v>"
"experiri","experiri","experire<v>;experiri<v>"
"expirabo","expirabo","expirabo"
"explicabit","explicabit","explicare<v>"
"exposuit","exposuit","exponere<v>"
"expressit","expressit","exprimere<v>"
"exprimeret","exprimeret","exprimere<v>"
"expudoratam","expudoratam","expudoratus<adj>"
"expuit","expuit","expuere<v>"
"exsibilavit","exsibilavit","exsibilare<v>"
"exsonabant","exsonabant","exsonare<v>"
"exsurrexi","exsurrexi","exsurgere<v>"
"extendit","extendit","extendere<v>"
"extorsit","extorsit","extorquere<v>"
"extra","extra","extrare<v>;extra<adv>;extra<prep>"
"extraneo","extraneo","extraneare<v>;extraneus<adj>"
"extraxit","extraxit","extrahere<v>"
"extremo","extremo","extra<adj>;extremum<n>;extremus<adj>"
"extremos","extremos","extra<adj>;extremi<n>;extremus<adj>"
"extremum","extremum","extra<adj>;extremum<n>;extremus<adj>"
"exuit","exuit","exuere<v>"
"exul","exul","exul<adj>;exul<n>"
"fabam","fabam","faba<n>"
"faber","faber","faber<adj>;faber<n>"
"fabri","fabri","fabrire<v>;faber<adj>;faber<n>"
"fabula","fabula","fabulare<v>;fabula<n>"
"fabulae","fabulae","fabula<n>"
"fabulam","fabulam","fabula<n>"
"fabulas","fabulas","fabulare<v>;fabula<n>"
"facere","facere","facere<v>"
"facerem","facerem","facere<v>"
"faciam","faciam","facere<v>;facia<n>"
"faciamus","faciamus","facere<v>"
"facias","facias","facere<v>;facia<n>"
"faciat","faciat","facere<v>"
"faciatis","faciatis","facere<v>"
"faciatur","faciatur","facere<v>"
"faciebam","faciebam","facere<v>"
"faciebat","faciebat","facere<v>"
"faciem","faciem","facies<n>"
"facient","facient","facere<v>"
"facientem","facientem","facere<v>"
"faciet","faciet","facere<v>"
"facile","facile","facile<adv>;facilis<adj>"
"facinus","facinus","facinus<n>"
"facio","facio","facere<v>"
"facit","facit","facere<v>"
"faciunt","faciunt","facere<v>"
"facta","facta","factare<v>;factum<n>;factus<adj>;facere<v>"
"factae","factae","factus<adj>;facere<v>"
"factam","factam","factus<adj>;facere<v>"
"facti","facti","factum<n>;factus<adj>;facere<v>"
"factio","factio","factio<n>"
"factis","factis","factum<n>;factus<adj>;facere<v>"
"facto","facto","factare<v>;factum<n>;factus<adj>;facere<v>"
"factum","factum","factum<n>;factus<adj>;factus<n>;facere<v>;fieri<v>"
"facturam","facturam","factura<n>;facere<v>;fieri<v>"
"facturos","facturos","facere<v>;fieri<v>"
"factus","factus","factus<adj>;factus<n>;facere<v>"
"faenerare","faenerare","faenerare"
"falerna","falerna","falerna"
"falernum","falernum","falernum"
"falsum","falsum","falsum<n>;falsus<adj>;falsus<n>"
"fame","fame","fames<n>"
"famem","famem","fames<n>"
"familia","familia","familia<n>"
"familiae","familiae","familia<n>"
"familiaeque","familiaeque","familia<n>"
"familiam","familiam","familia<n>"
"famosus","famosus","famosus<adj>"
"farina","farina","farina<n>"
"farsi","farsi","farcire<v>"
"fascemque","fascemque","fascis<n>"
"fasces","fasces","fascis<n>"
"fascia","fascia","fasciare<v>;fascia<n>"
"fasciae","fasciae","fascia<n>"
"fasciis","fasciis","fascia<n>"
"fastiditum","fastiditum","fastidire<v>"
"fata","fata","fari<v>;fatum<n>"
"fatum","fatum","fari<v>;fatum<n>;fatus<n>"
"fatus","fatus","fari<v>;fatus<n>"
"fatuum","fatuum","fatus<n>;fatuus<adj>;fatuus<n>"
"favorem","favorem","favor<n>"
"favum","favum","favus<n>"
"favus","favus","favus<n>"
"febris","febris","febrire<v>;febris<n>;feber<n>"
"fecerat","fecerat","facere<v>"
"feceratque","feceratque","facere<v>"
"feceris","feceris","facere<v>"
"fecerit","fecerit","facere<v>"
"fecerunt","fecerunt","facere<v>"
"feci","feci","facere<v>;fex<n>"
"fecissent","fecissent","facere<v>"
"fecisti","fecisti","facere<v>"
"fecit","fecit","facere<v>"
"fefellitus","fefellitus","fefellitus"
"felicem","felicem","felix<adj>;felix<n>"
"felices","felices","felix<adj>;felix<n>"
"felicionem","felicionem","felicionem"
"feliciores","feliciores","felix<adj>"
"felicitate","felicitate","felicitare<v>;felicitas<n>"
"feliciter","feliciter","felicitare<v>;felix<adj>"
"felix","felix","felix<adj>;felix<n>"
"femina","femina","femen<n>;feminare<v>;femina<n>;femur<n>"
"fer","fer","fari<v>;ferre<v>"
"feram","feram","ferre<v>;fera<n>;ferus<adj>"
"ferculo","ferculo","ferculum<n>"
"ferculum","ferculum","ferculum<n>"
"ferebat","ferebat","ferre<v>"
"feriatis","feriatis","ferire<v>;feriari<v>;feriatus<adj>"
"fericulo","fericulo","fericulum<n>;fericulus<n>"
"fericulum","fericulum","fericulum<n>;fericulus<n>"
"fericulus","fericulus","fericulus<n>"
"fermentum","fermentum","fermentum<n>"
"fero","fero","ferre<v>;ferus<adj>;ferus<n>"
"ferreis","ferreis","ferreus<adj>"
"ferro","ferro","ferrum<n>"
"ferrum","ferrum","ferrum<n>"
"ferruminati","ferruminati","ferruminare<v>"
"ferruminatum","ferruminatum","ferruminare<v>"
"ferventi","ferventi","fervens<adj>;fervere<v>"
"ferventia","ferventia","fervens<adj>;fervere<v>"
"fervere","fervere","fervere<v>"
"fervet","fervet","fervere<v>"
"festa","festa","festum<n>;festus<adj>"
"fetentem","fetentem","fetere<v>"
"fetum","fetum","fetus<adj>;fetus<n>"
"fiam","fiam","fieri<v>"
"fiamus","fiamus","fieri<v>"
"fiat","fiat","fieri<v>"
"ficedulam","ficedulam","ficedula<n>"
"fictilem","fictilem","fictilis<adj>"
"fictiles","fictiles","fictilis<adj>"
"fictilis","fictilis","fictile<n>;fictilis<adj>"
"ficum","ficum","ficum<n>;ficus<n>"
"fidelis","fidelis","fidelis<adj>"
"fidem","fidem","fides<n>;fidis<n>"
"fides","fides","fidere<v>;fides<n>;fidis<n>"
"fiebat","fiebat","fieri<v>"
"fient","fient","fieri<v>"
"fieret","fieret","fieri<v>"
"fieri","fieri","fieri<v>"
"figuras","figuras","figurare<v>;figura<n>"
"figurata","figurata","figurare<v>;figuratus<adj>"
"filiam","filiam","filia<n>"
"filicem","filicem","filex<n>;filix<n>"
"filii","filii","filius<n>"
"filio","filio","filius<n>"
"filios","filios","filius<n>"
"filius","filius","filius<n>"
"filo","filo","filare<v>;filum<n>"
"fimbriis","fimbriis","fimbria<n>;fimbrium<n>"
"fimo","fimo","fimum<n>;fimus<n>"
"fines","fines","finis<n>"
"fingite","fingite","fingere<v>"
"finiebat","finiebat","finire<v>"
"finieram","finieram","finire<v>"
"finiri","finiri","finire<v>"
"finis","finis","finire<v>;finis<n>"
"firmum","firmum","firmus<adj>"
"fit","fit","fieri<v>"
"fixi","fixi","figere<v>;fixus<adj>"
"fixum","fixum","figere<v>;fixus<adj>;fixus<n>"
"fixus","fixus","figere<v>;fixus<adj>;fixus<n>"
"flagellis","flagellis","flagellum<n>"
"flagello","flagello","flagellare<v>;flagellum<n>"
"flagellum","flagellum","flagellum<n>"
"flaturae","flaturae","flare<v>;flatura<n>"
"flebat","flebat","flere<v>"
"flectere","flectere","flectere<v>"
"flecterentur","flecterentur","flectere<v>"
"flens","flens","flere<v>"
"flere","flere","flare<v>;flere<v>"
"flexit","flexit","flectere<v>"
"fluctum","fluctum","fluctus<adj>;fluctus<n>;fluere<v>"
"fluente","fluente","fluere<v>"
"folium","folium","folium<n>"
"follem","follem","follis<n>"
"foras","foras","forare<v>;foras<adv>;fovere<v>"
"forcipe","forcipe","forceps<n>"
"forensia","forensia","forensis<adj>"
"formae","formae","forma<n>;formus<adj>"
"formal","formal","formal"
"foro","foro","forare<v>;forum<n>;forus<n>;fovere<v>"
"forsitan","forsitan","forsitan<adv>"
"forte","forte","fors<n>;forte<adv>;fortis<adj>"
"fortem","fortem","fors<n>;fortis<adj>"
"fortis","fortis","fors<n>;fortis<adj>"
"fortitudinem","fortitudinem","fortitudo<n>"
"fortuna","fortuna","fortunare<v>;fortuna<n>"
"fortunae","fortunae","fortuna<n>"
"fortunam","fortunam","fortuna<n>"
"fortunat","fortunat","fortunare<v>"
"fortunata","fortunata","fortunare<v>;fortunatus<adj>"
"fortunatae","fortunatae","fortunare<v>;fortunatus<adj>"
"fortunatam","fortunatam","fortunare<v>;fortunatus<adj>"
"fortunis","fortunis","fortuna<n>"
"forum","forum","foris<n>;forum<n>;forus<n>"
"fractam","fractam","fractus<adj>;frangere<v>"
"fractas","fractas","fractus<adj>;frangere<v>"
"frangebatur","frangebatur","frangere<v>"
"frangerentur","frangerentur","frangere<v>"
"frangeret","frangeret","frangere<v>"
"frater","frater","frater<n>"
"fratres","fratres","fratrare<v>;frater<n>"
"fratri","fratri","frater<n>"
"fregi","fregi","frangere<v>"
"frequenter","frequenter","frequens<adj>;frequentare<v>"
"frequentia","frequentia","frequens<adj>;frequentia<n>"
"frequentius","frequentius","frequens<adj>"
"frigida","frigida","frigidare<v>;frigidus<adj>"
"frigidam","frigidam","frigidus<adj>"
"frigidariae","frigidariae","frigidarius<adj>"
"frigidum","frigidum","frigidus<adj>"
"frigori","frigori","frigor<n>;frigus<n>"
"frigus","frigus","frigus<n>"
"fronte","fronte","frons<n>"
"frontem","frontem","frons<n>"
"frugalissimum","frugalissimum","frugalis<adj>"
"frugalitas","frugalitas","frugalitas<n>"
"frugi","frugi","frugi<adj>;frux<n>"
"fruit","fruit","fruit"
"fruniscar","fruniscar","frunisci<v>"
"fruniscaris","fruniscaris","frunisci<v>"
"frunitus","frunitus","frunisci<v>"
"frusta","frusta","frustum<n>"
"frustum","frustum","frustum<n>"
"fuerant","fuerant","esse<v>"
"fuerat","fuerat","esse<v>"
"fuerint","fuerint","esse<v>"
"fueris","fueris","esse<v>"
"fuero","fuero","esse<v>"
"fuerunt","fuerunt","esse<v>"
"fuga","fuga","fugare<v>;fuga<n>"
"fugae","fugae","fuga<n>"
"fugi","fugi","fugere<v>;fugire<v>;fugium<n>"
"fugiat","fugiat","fugere<v>;fugire<v>"
"fugimus","fugimus","fugere<v>;fugire<v>"
"fugit","fugit","fugere<v>;fugire<v>"
"fugitivi","fugitivi","fugitivus<adj>"
"fui","fui","esse<v>"
"fuisse","fuisse","esse<v>"
"fuissent","fuissent","esse<v>"
"fuisset","fuisset","esse<v>"
"fuit","fuit","esse<v>"
"fulcipedia","fulcipedia","fulcipedia<n>"
"fullo","fullo","fullo<n>"
"fulmen","fulmen","fulmen<n>"
"fultusque","fultusque","fulcire<v>"
"fundi","fundi","fundere<v>;fundus<n>"
"fundos","fundos","fundus<n>"
"fundum","fundum","fundus<n>"
"funebri","funebri","funebris<adj>"
"funus","funus","funus<n>"
"furnus","furnus","furnus<n>"
"furorem","furorem","furor<n>"
"furtim","furtim","furtim<adv>"
"fuste","fuste","fustis<n>"
"futurum","futurum","futurum<n>;futurus<adj>;esse<v>"
"gai","gai","gai"
"gaio","gaio","gaio"
"gaium","gaium","gaium"
"galbino","galbino","galbinum<n>;galbinus<adj>"
"galeatus","galeatus","galeare<v>;galeatus<adj>"
"gallicinia","gallicinia","gallicinium<n>"
"gallina","gallina","gallina<n>"
"gallinaceos","gallinaceos","gallinaceus<adj>"
"gallinaceum","gallinaceum","gallinaceus<adj>"
"gallinaceus","gallinaceus","gallinaceus<adj>"
"gallinae","gallinae","gallina<n>"
"gallinam","gallinam","gallina<n>"
"gallinas","gallinas","gallina<n>"
"gallos","gallos","gallus<n>"
"gallum","gallum","gallus<n>"
"gallus","gallus","gallus<n>"
"ganymedes","ganymedes","ganymedes"
"garrimus","garrimus","garrire<v>"
"garum","garum","garum<n>;garus<n>"
"gastris","gastris","gastrum<n>"
"gaudet","gaudet","gaudere<v>"
"gaudimonio","gaudimonio","gaudimonium<n>"
"gausapa","gausapa","gausapa<n>;gausapum<n>"
"gausapatos","gausapatos","gausapatus<adj>"
"gavillae","gavillae","gavillae"
"gemere","gemere","gemere<v>"
"geminis","geminis","geminus<adj>"
"geminos","geminos","geminus<adj>"
"gemitum","gemitum","gemere<v>;gemitus<n>"
"genera","genera","generare<v>;genus<n>"
"genere","genere","genere<v>;gener<n>;genus<n>"
"generis","generis","genere<v>;gener<n>;genus<n>"
"genesim","genesim","genesim"
"genio","genio","genius<n>"
"genios","genios","genius<n>"
"genium","genium","genius<n>"
"genius","genius","genius<n>"
"genu","genu","genus<n>;genu<n>"
"genua","genua","genu<n>"
"genus","genus","genus<n>;genu<n>"
"geometrias","geometrias","geometria<n>"
"gessi","gessi","gerere<v>"
"gesticulatus","gesticulatus","gesticulari<v>"
"gingilipho","gingilipho","gingiliphus<n>"
"giton","giton","giton"
"gitona","gitona","gitona"
"gitone","gitone","gitone"
"gitonis","gitonis","gitonis"
"gizeria","gizeria","gizeria<n>"
"gladiatores","gladiatores","gladiator<n>"
"gladiatorium","gladiatorium","gladiatorium<n>;gladiatorius<adj>"
"gladio","gladio","gladium<n>;gladius<n>"
"gladium","gladium","gladium<n>;gladius<n>"
"glandem","glandem","glans<n>"
"glebulas","glebulas","glebula<n>"
"glires","glires","glis<n>"
"gloriosis","gloriosis","gloriosus<adj>"
"gloriosos","gloriosos","gloriosus<adj>"
"gloriosus","gloriosus","gloriosus<adj>"
"glyco","glyco","glyco"
"glyconis","glyconis","glyconis"
"gracilipes","gracilipes","gracilipes<adj>"
"gradus","gradus","gradus<n>"
"graecam","graecam","graecam"
"graecis","graecis","graecis"
"graeculio","graeculio","graeculio"
"graeculis","graeculis","graeculis"
"graecum","graecum","graecum"
"grande","grande","grandis<adj>"
"grandem","grandem","grandis<adj>"
