"","influence_has_held_powerful_divitiacus_less_dumnorix","you_general_entire_received_going_labour_however","suddenly_gates_fighting_weapons_cast_rampart_small","winter_remi_belgae_treviri_received_send_crassus","sequani_give_conference_pass_allobroges_promised_return","cut_forth_determined_provisions_therefore_although_quickly","hill_position_mountain_guard_action_seen_nature","set_cohorts_during_scouts_italy_marches_cicero","now_towns_surrender_peace_found_possessions_neighbours","wall_feet_works_manner_raised_stones_work","ambiorix_winterquarters_nervii_eburones_death_will_greater","quarter_action_hand_right_long_thus_fight","centurions_valour_horses_courage_observed_within_barbarians","suevi_above_bridge_woods_treviri_nations_beyond","sea_ocean_britain_island_continent_violence_storm"
"hope",1.00608682529302e-05,1.16421211944816e-05,0.00784384601482017,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,0.00447949996279485,1.78110250244902e-05,0.00542880331860402,0.00285201624327132,2.04939030638385e-05,0.0103309619548407,2.62157556691572e-05
"its",0.00604658182001107,0.00466849059898714,1.20489186095548e-05,0.00243061853800109,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,0.00714222103482055,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.00620682544592226,2.62157556691572e-05
"others",1.00608682529302e-05,0.0058327027184353,1.20489186095548e-05,1.2092629542294e-05,0.00594633792603336,1.32546888461793e-05,0.00134765494696111,1.4256183619645e-05,1.48820596770593e-05,0.00803277228604506,1.80358914239336e-05,1.88875247898763e-05,0.00821805512859924,2.06206825445922e-05,2.62157556691572e-05
"death",0.00906484229589014,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,0.0144467490305708,0.00285201624327132,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"determined",1.00608682529302e-05,1.16421211944816e-05,0.00242183264052051,0.00182598706088639,1.31847847583888e-05,0.0126052090927165,1.33431182867436e-05,0.0035783020885309,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.0019076400037775,2.04939030638385e-05,0.00414475719146304,2.62157556691572e-05
"discovered",1.00608682529302e-05,0.00292217241981489,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,0.0050039204504954,0.00596770593050078,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.00929992782761109,0.010512518023332
"saw",1.00608682529302e-05,1.16421211944816e-05,0.00965118380625339,1.2092629542294e-05,0.00924253411563056,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,0.00150308802738299,1.78110250244902e-05,0.000919830462620615,1.88875247898763e-05,0.00411927451583154,2.06206825445922e-05,2.62157556691572e-05
"send",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,0.0133139851260657,0.00858329487771112,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.00208268893700381,2.62157556691572e-05
"sequani",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,0.0211088403981805,1.32546888461793e-05,1.33431182867436e-05,0.0035783020885309,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"treviri",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,0.0139186166031804,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.0144550984637592,2.62157556691572e-05
"cohorts",1.00608682529302e-05,1.16421211944816e-05,0.00543406229290921,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,0.0149832489842469,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.00568514496175276,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"feet",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,0.00398966134269998,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,0.0258437973105352,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"less",0.0100709291211832,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,0.00468343451864701,1.4256183619645e-05,1.48820596770593e-05,0.00714222103482055,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"rampart",1.00608682529302e-05,1.16421211944816e-05,0.0108560756672089,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,0.000758985043530025,0.00892332353726957,1.80358914239336e-05,1.88875247898763e-05,0.00616866482221539,2.06206825445922e-05,2.62157556691572e-05
"thus",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,0.00330938097435559,1.32546888461793e-05,0.00201481086129829,1.4256183619645e-05,0.00373539697894189,1.78110250244902e-05,1.80358914239336e-05,0.0122957786382095,2.04939030638385e-05,0.00414475719146304,0.00658015467295845
"action",1.00608682529302e-05,1.16421211944816e-05,0.000614494849087294,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,0.0113549936620188,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.0151289073566909,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"arrived",1.00608682529302e-05,1.16421211944816e-05,0.00904873787577565,0.00545377592357458,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,0.00286549290754865,0.00447949996279485,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"following",1.00608682529302e-05,1.16421211944816e-05,0.00362672450147599,1.2092629542294e-05,1.31847847583888e-05,0.00465239578500895,1.33431182867436e-05,0.00642953881245991,0.00373539697894189,0.00625166978359605,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"however",0.00353136475677851,0.00816112695733163,0.00362672450147599,1.2092629542294e-05,0.00330938097435559,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,0.00264779132258487
"pass",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,0.00122135558377169,0.0112202518293889,1.32546888461793e-05,0.00868637000467009,0.00143987454558415,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"although",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,0.00594633792603336,0.00995427132348068,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.0085182736802342,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"between",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,0.00594633792603336,1.32546888461793e-05,0.00535059043298419,0.00928077553638891,1.48820596770593e-05,0.00179891352747351,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.0010516548097742,2.62157556691572e-05
"called",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,0.00462785945019448,1.32546888461793e-05,1.33431182867436e-05,0.00714234799344216,1.48820596770593e-05,0.0107044260397186,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.00414475719146304,2.62157556691572e-05
"go",1.00608682529302e-05,0.00816112695733163,1.20489186095548e-05,1.2092629542294e-05,0.00924253411563056,0.00266419245808205,1.33431182867436e-05,1.4256183619645e-05,0.000758985043530025,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"greater",1.00608682529302e-05,0.00350427847953897,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,0.00929153688117172,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,0.0117413653169808,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"greatest",0.00604658182001107,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,0.00332692690039101,1.33431182867436e-05,0.00571672963147765,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.000963263764283691,0.00719335997540732,2.06206825445922e-05,2.62157556691572e-05
"hill",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,0.0220294882914137,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"put",0.00504049499471804,1.16421211944816e-05,0.00965118380625339,1.2092629542294e-05,0.00133166326059727,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,0.00373539697894189,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"reason",0.00151919110619246,0.00408638453926305,0.00121694077956503,0.00424451296934518,0.00528709868811392,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,0.00789094245641631
"third",1.00608682529302e-05,1.16421211944816e-05,0.00302427857099825,0.00243061853800109,0.00396862021227503,1.32546888461793e-05,0.00801921409033291,1.4256183619645e-05,1.48820596770593e-05,0.00536111853237154,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"whatever",0.00654962523265758,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,0.00597786466962688,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,0.00268946477869801,1.80358914239336e-05,0.00379639248276513,0.00411927451583154,2.06206825445922e-05,2.62157556691572e-05
"away",1.00608682529302e-05,0.00757902089760754,0.00904873787577565,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.00379639248276513,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"council",1.00608682529302e-05,0.00525059665871122,1.20489186095548e-05,0.00484914444645988,1.31847847583888e-05,0.00465239578500895,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,0.00723239246099738,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"forth",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,0.0139306779773345,0.00334912268997265,1.4256183619645e-05,0.00150308802738299,1.78110250244902e-05,0.00362521417621066,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"guard",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,0.0133564614050304,0.00642953881245991,1.48820596770593e-05,1.78110250244902e-05,0.00272341960501398,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"military",1.00608682529302e-05,0.00466849059898714,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,0.000680499032623924,0.00143987454558415,1.48820596770593e-05,1.78110250244902e-05,0.0063305978898007,1.88875247898763e-05,0.011292140588175,2.06206825445922e-05,0.00395857910604273
"peace",1.00608682529302e-05,1.16421211944816e-05,0.00543406229290921,1.2092629542294e-05,0.00330938097435559,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,0.0134087357690304,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"seen",1.00608682529302e-05,1.16421211944816e-05,0.00302427857099825,1.2092629542294e-05,1.31847847583888e-05,0.00266419245808205,0.0106878377476816,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.00662952120124658,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"within",1.00608682529302e-05,1.16421211944816e-05,0.00844629194529791,1.2092629542294e-05,0.00133166326059727,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,0.00179891352747351,1.80358914239336e-05,1.88875247898763e-05,0.0123168357413669,0.00208268893700381,2.62157556691572e-05
"ambiorix",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,0.0270718730273244,1.88875247898763e-05,2.04939030638385e-05,0.0010516548097742,2.62157556691572e-05
"circumstance",0.00252527793148549,1.16421211944816e-05,0.00483161636243147,1.2092629542294e-05,1.31847847583888e-05,0.00398966134269998,1.33431182867436e-05,0.0050039204504954,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,0.00658015467295845
"design",1.00608682529302e-05,0.00408638453926305,0.00121694077956503,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,0.0035783020885309,0.00894411786591264,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.00517579131869265,2.62157556691572e-05
"during",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,0.00597786466962688,1.33431182867436e-05,0.0142704398032647,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,0.00206988420944769,2.06206825445922e-05,2.62157556691572e-05
"may",0.00654962523265758,0.00234006636009081,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,0.00268946477869801,1.80358914239336e-05,1.88875247898763e-05,0.00719335997540732,0.00414475719146304,2.62157556691572e-05
"meantime",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,0.00908156478626277,1.31847847583888e-05,0.00266419245808205,0.00601774634732137,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,0.00206988420944769,0.0010516548097742,2.62157556691572e-05
"nature",1.00608682529302e-05,0.0058327027184353,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,0.0100206818333445,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.00620682544592226,2.62157556691572e-05
"suddenly",1.00608682529302e-05,1.16421211944816e-05,0.0156756431110308,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,0.00143987454558415,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.00311372306423343,2.62157556691572e-05
"though",0.00705266864530409,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,0.00571672963147765,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,0.00924275028179117,2.06206825445922e-05,2.62157556691572e-05
"advance",1.00608682529302e-05,0.00234006636009081,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,0.00862880243886275,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,0.00358001602992252,1.80358914239336e-05,1.88875247898763e-05,0.00514396966902347,0.00414475719146304,2.62157556691572e-05
"bridge",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,0.00862880243886275,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.017548200845448,2.62157556691572e-05
"kept",0.00202223451883898,1.16421211944816e-05,1.20489186095548e-05,0.000616724106656993,0.00067242402267783,1.32546888461793e-05,0.00668490226165855,0.0050039204504954,1.48820596770593e-05,0.00625166978359605,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"matters",0.00453745158207153,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,0.0050039204504954,1.48820596770593e-05,1.78110250244902e-05,0.00813418703219406,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,0.00658015467295845
"nearest",1.00608682529302e-05,1.16421211944816e-05,0.00302427857099825,0.00847693330914807,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,0.00286549290754865,1.48820596770593e-05,1.78110250244902e-05,0.0063305978898007,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"placed",1.00608682529302e-05,1.16421211944816e-05,0.00181938671004277,1.2092629542294e-05,1.31847847583888e-05,0.00398966134269998,0.00601774634732137,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.0085182736802342,2.04939030638385e-05,0.00311372306423343,2.62157556691572e-05
"return",1.00608682529302e-05,1.16421211944816e-05,0.00242183264052051,1.2092629542294e-05,0.00990177335355,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.0113619960820703,2.62157556691572e-05
"sides",1.00608682529302e-05,1.16421211944816e-05,0.00904873787577565,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,0.00803277228604506,0.00542880331860402,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"fear",1.00608682529302e-05,0.00816112695733163,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,0.00334912268997265,1.4256183619645e-05,0.00373539697894189,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,0.00517579131869265,2.62157556691572e-05
"fight",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,0.00935352591900727,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,0.0018216250338173,0.0122957786382095,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"fighting",1.00608682529302e-05,1.16421211944816e-05,0.0144707512500753,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,0.00334912268997265,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
