"","vultum_essem_meae_beneficio_gratias_puero_satis","sive_erit_placet_aurum_omnis_fratrem_una","sub_navis_forte_erant_fortuna_tres_meis","mentem_agamemnon_vinum_ait_illam_unquam_ideo","amat_vides_unum_quemadmodum_volo_amici_populus","verba_frater_semel_oblitus_lichas_tua_iniuriam","melius_fit_mille_loco_potius_medio_sit","alius_lectum_pariter_factum_sui_vultus_iterum","ingenti_iniuria_hominem_tellus_pectore_feci_toto","quartilla_eiusmodi_rem_certe_intravit_repente_fugit","subinde_duo_vera_dii_suis_unde_hominum","habebat_familiae_ianuam_pueri_aliquot_diligenter_canem","fortunata_oculis_tota_habinnas_scintilla_caelum_ultimo","sanguine_mare_fluctus_utique_alter_iuppiter_ruina","terram_opes_ora_tollit_dixit_pater_duos"
"sit",3.1297924947576e-05,3.18461195503328e-05,0.00481643328761443,3.19478610907e-05,0.00645244133414658,3.21016981798337e-05,0.0114702133917192,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"tot",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.00966261115212995,3.26786706316787e-05,3.32767628365113e-05,0.0072040428658471,3.60347374869374e-05,3.66286949196e-05,0.0073894342119775,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"unquam",3.1297924947576e-05,0.00321645807458361,3.18969091894995e-05,0.0128110922973707,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,0.0072040428658471,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"unum",3.1297924947576e-05,0.00480876405210025,0.00322158782813945,3.19478610907e-05,0.014477865879105,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"verba",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.0160829507880967,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,0.0074167004907568,4.38577255383536e-05,4.54524794327531e-05
"vultum",0.0156802603987356,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,0.0074167004907568,4.38577255383536e-05,4.54524794327531e-05
"aliquid",0.00472598666708397,3.18461195503328e-05,3.18969091894995e-05,0.0048241270246957,3.21016981798337e-05,3.21016981798337e-05,0.00330054573379955,0.00336095304648764,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,0.00371309878313297,3.68990074167005e-05,0.00223674400245603,4.54524794327531e-05
"amici",0.00785577916184157,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,0.0128727809701133,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"domum",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,0.00983627986013529,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,0.0073623676788396,0.00555126649755524,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"extra",3.1297924947576e-05,0.00640107002961689,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,0.00544124536052755,0.0018680634408996,0.00922760192639976,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"frater",3.1297924947576e-05,3.18461195503328e-05,0.00322158782813945,0.0016293409156257,3.21016981798337e-05,0.0160829507880967,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"illius",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,0.00961630618830069,3.21016981798337e-05,3.21016981798337e-05,0.0114702133917192,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"illud",3.1297924947576e-05,0.00958568198465017,3.18969091894995e-05,3.19478610907e-05,0.0112676960611216,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"iniuriam",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,0.00324227151616321,0.0128727809701133,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,0.00662251655629139,4.54524794327531e-05
"locum",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.0112676960611216,3.26786706316787e-05,3.32767628365113e-05,0.00182789147342389,3.60347374869374e-05,0.0091938024248196,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"nostrum",3.1297924947576e-05,3.18461195503328e-05,0.00481643328761443,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,0.00656841279696742,0.00835246747196433,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,0.00231807645107041
"pater",3.1297924947576e-05,0.00321645807458361,3.18969091894995e-05,3.19478610907e-05,0.00163718660717152,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,0.0073894342119775,3.68990074167005e-05,4.38577255383536e-05,0.0136811963092587
"placet",3.1297924947576e-05,0.0143625999172001,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,0.00656841279696742,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"pueri",3.1297924947576e-05,3.18461195503328e-05,0.00960096966603936,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,0.0129039373552443,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"puero",0.0109855716565992,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,0.0111066012324268,4.38577255383536e-05,4.54524794327531e-05
"quartilla",0.00159619417232637,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.00163718660717152,3.26786706316787e-05,3.32767628365113e-05,0.00361994193756496,0.0162516666066088,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"rem",3.1297924947576e-05,0.00640107002961689,3.18969091894995e-05,3.19478610907e-05,0.00163718660717152,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,0.0144499297322619,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"satis",0.00942067540922037,0.00480876405210025,3.18969091894995e-05,0.0048241270246957,3.21016981798337e-05,3.21016981798337e-05,0.00166661220221561,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"sive",3.1297924947576e-05,0.0207318238272666,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"subinde",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,0.00668862933013876,0.00361994193756496,3.60347374869374e-05,0.0128566719167796,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"tum",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,0.0112676960611216,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,0.00187493106871071,0.00188184937825173,4.38577255383536e-05,0.00913594836598336
"aliquot",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,0.00835246747196433,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,0.0129039373552443,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"certe",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.00324227151616321,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,0.0144499297322619,0.0036994981868796,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"contra",3.1297924947576e-05,3.18461195503328e-05,0.00960096966603936,0.00801891313376569,3.21016981798337e-05,3.21016981798337e-05,0.00166661220221561,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"dii",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,0.00805752624313826,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,0.00182789147342389,3.60347374869374e-05,0.0110252371707996,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"duo",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,0.0032267339701607,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,0.0128566719167796,3.67633542884453e-05,0.00188184937825173,4.38577255383536e-05,0.00459070042270806
"erit",3.1297924947576e-05,0.0175472118722334,0.00162674236866448,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"factum",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,0.0150078200392666,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,0.00662251655629139,4.54524794327531e-05
"fieri",0.00159619417232637,0.00799337600713353,3.18969091894995e-05,3.19478610907e-05,0.00324227151616321,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,0.00724298223487442,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"habebat",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,0.00166661220221561,0.00336095304648764,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,0.0165802727840888,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"invenit",3.1297924947576e-05,3.18461195503328e-05,0.00162674236866448,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,0.0107881437941292,3.60347374869374e-05,0.0073623676788396,3.67633542884453e-05,3.68990074167005e-05,0.00223674400245603,4.54524794327531e-05
"lectum",3.1297924947576e-05,0.00321645807458361,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,0.0166716581810921,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"loco",3.1297924947576e-05,0.00640107002961689,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,0.0131041469233032,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"mare",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,0.0263584930485505,4.54524794327531e-05
"melius",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,0.0196398810496389,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"oculis",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,0.022176303457437,4.38577255383536e-05,4.54524794327531e-05
"paulo",0.00472598666708397,0.00799337600713353,3.18969091894995e-05,0.0016293409156257,3.21016981798337e-05,0.00484735642515489,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"pectus",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.00966261115212995,3.26786706316787e-05,3.32767628365113e-05,0.0107881437941292,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"plus",0.00159619417232637,3.18461195503328e-05,3.18969091894995e-05,0.0112136992428357,3.21016981798337e-05,3.21016981798337e-05,0.00656841279696742,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"populus",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,0.0128727809701133,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,0.00881540283320907,4.54524794327531e-05
"propter",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,0.0112136992428357,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,0.00182789147342389,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,0.00881540283320907,4.54524794327531e-05
"quisquis",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,0.0114702133917192,3.32767628365113e-05,0.00182789147342389,0.00724298223487442,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"semper",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,0.00805752624313826,3.21016981798337e-05,0.00330054573379955,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,0.0073623676788396,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,0.00231807645107041
"sub",3.1297924947576e-05,3.18461195503328e-05,0.0191700424228892,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"subito",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,0.0032267339701607,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,0.00336095304648764,3.58410092828214e-05,0.00544124536052755,3.66286949196e-05,0.00922760192639976,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"sui",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.00324227151616321,3.26786706316787e-05,0.0116801437556155,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,0.00686332439434571
"suis",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,0.0100163056137899,3.58410092828214e-05,3.60347374869374e-05,0.0110252371707996,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"tellus",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,0.0125801942582703,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,0.00442963027937371,0.00686332439434571
"terram",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.00484735642515489,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,0.0204990682241716
"totam",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.00966261115212995,0.00493447926538348,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,0.00188184937825173,0.00442963027937371,4.54524794327531e-05
"tua",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,0.00484735642515489,0.014477865879105,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"una",3.1297924947576e-05,0.0111779879621668,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,0.00724298223487442,0.0018680634408996,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"unus",3.1297924947576e-05,0.00162415209706697,0.0111958151255143,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,0.00656841279696742,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"valde",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,0.0112676960611216,3.21016981798337e-05,0.00493447926538348,3.32767628365113e-05,0.00361994193756496,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
