"","identifier","text","θίς_κήδω_πρό_ἱλάσκομαι_λαμβάνω_Κάλχας_ὁράω","καίω_θάλασσα_Χρύση_ἀμφί_ἀρήγω_ἶφι_κῦμα","ἴσος_ἀείδω_ἄλγος_ἀτιμάω_βούλομαι_πλείων_σῶς","ἐφίημι_χραισμέω_ἀχεύω_ἔρομαι_τλάω_ἔλδωρ_ὅστις","τιμάω_χολόω_ἄνθρωπος_δύο_μάλιστα_νεφεληγερέτα_πέλω","πόλις_ἱερεύς_μάντις_ἐκπέρθω_οἴχομαι_φρονέω_αἰδέομαι","ἀπειλέω_κρατερός_πότνια_προίημι_τέλλω_χερείων_χέω","ἤδη_καταδύω_ἱστίον_τοι_ἀναβαίνω_νέος_ἀγορά","τιμή_χαίρω_Πρίαμος_φωνέω_ἤτοι_κῆρυξ_οἴκαδε","κατανεύω_παύω_ἐπιπείθομαι_κράτιστος_ὅσος_μένος_μάντις","βαρύς_δῶρον_καθέζομαι_ξίφος_λήγω_μηνίω_λαμβάνω","τίκτω_αἰνός_δείδω_κέλομαι_τρέφω_ἱλάσκομαι_αἴξ","γαῖα_γλυκύς_ἕκαστος_ἱκάνω_ἀπάνευθε_Ἥφαιστος_Χρύση","ἔοικα_μένω_ἀγορά_πέμπω_τλάω_αἴξ_ἀναβαίνω","ἵνα_κνῖσα_θνήσκω_ἀπάνευθε_κῆρ_λήγω_οἶος"
"225","urn:cts:greekLit:tlg0012.tlg001:1.391@τὴν-1.392@Ἀχαιῶν","ὁ δέ νέος κλισίηθεν βαίνω κῆρυξ ἄγω κόρη Βρισεύς ὁ ἐγώ δίδωμι υἱός Ἀχαιός .","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.878260869565217","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
"226","urn:cts:greekLit:tlg0012.tlg001:1.393@ἀλλὰ-1.393@ἑῆος","ἀλλά σύ εἰ δύναμαι γε περιέχω παῖς ἐύς ·","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"227","urn:cts:greekLit:tlg0012.tlg001:1.394@ἐλθοῦσ̓-1.395@ἔργῳ","ἔρχομαι Ὄλυμπος δέ Ζεύς λίσσομαι , εἰ ποτέ δή τις ἤ ἔπος ὀνίνημι καρδία Ζεύς ἤ καί ἔργον .","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"228","urn:cts:greekLit:tlg0012.tlg001:1.396@πολλάκι-1.400@Ἀθήνη","πολλάκις γάρ σύ πατήρ ἐν μέγαρον ἀκούω εὔχομαι ὅτι φημί κελαινεφής Κρονίων οἶος ἐν ἀθάνατος ἀεικής λοιγός ἀμύνω , ὁπότε μιν συνδέω Ὀλύμπιος ἐθέλω ἄλλος Ἥρα τε ἠδέ Ποσειδεών καί Παλλάς Ἀθήνη ·","0.878260869565217","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
"229","urn:cts:greekLit:tlg0012.tlg001:1.401@ἀλλὰ-1.404@ἀμείνων","ἀλλά σύ ὁ γε ἔρχομαι θεά ὑπολύω δεσμός , ὦκα ἑκατόγχειρος καλέω εἰς μακρός Ὄλυμπος , ὅς  καλέω θεός , ἀνήρ δέ τε πᾶς Αἰγαίων , ὁ γάρ αὖτε βία ἑός πατήρ ἀμείνων ·","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"230","urn:cts:greekLit:tlg0012.tlg001:1.405@ὅς-1.405@γαίων","ὅς ἄρα παρά Κρονίων καθέζομαι κῦδος γαίω ·","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.784615384615385","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154"
"231","urn:cts:greekLit:tlg0012.tlg001:1.406@τὸν-1.406@ἔδησαν","ὁ καί ὑποδείδω μάκαρ θεός οὐ δέ ἔτι δέω .","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"232","urn:cts:greekLit:tlg0012.tlg001:1.407@τῶν-1.412@ἔτισεν","ὁ νῦν μιν μιμνήσκω παρέζομαι καί λαμβάνω γόνυ εἰ ἄν πως ἐθέλω ἐπί Τρώς ἀρήγω , ὁ δέ κατά πρύμνα τε καί ἀμφί ἅλς εἴλω Ἀχαιός κτείνω , ἵνα πᾶς ἐπαυρέω βασιλεύς , γιγνώσκω δέ καί Ἀτρείδης εὐρύς κρείων Ἀγαμέμνων ἑός ἄτη ὅς τε ἄριστος Ἀχαιός οὐδείς τίνω .","0.469767441860465","0.469767441860465","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"233","urn:cts:greekLit:tlg0012.tlg001:1.413@τὸν-1.413@χέουσα","ὁ δέ ἀμείβω ἔπειτα Θέτις κατά δάκρυον χέω ·","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.784615384615385","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154"
"234","urn:cts:greekLit:tlg0012.tlg001:1.414@ὤ-1.414@τεκοῦσα","ὦ ἐγώ τέκνον ἐμός , τις νῦν σύ τρέφω αἰνός τίκτω ;","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.915151515151515","0.00606060606060606","0.00606060606060606","0.00606060606060606"
