"","identifier","text","amicus_mori_domus_solere_nunc_ire_supra","pes_nemo_afferre_cocus_fortunare_vocare_metiri","pectus_frons_vultus_paene_crinis_lacrima_ceterus","ab_causa_eumolpus_vultus_temptare_amare_noscere","timere_ascyltos_diligens_tantus_locus_longus_accedere","nox_pater_navis_rapere_intellegere_legere_mittere","licere_deinde_vovere_uter_adhuc_perire_vel","pro_postquam_ante_mare_uti_fidere_fluctus","giton_ecce_pes_mors_navis_iterum_ultra","alter_metiri_aureus_nasci_pendere_argenteus_circare","debere_mutare_sive_parare_carmen_placere_verbum","bellus_arma_liber_noster_loqui_caedere_nescire","tantus_anser_confundere_familia_os_ancilla_effundere","caelus_terra_tellus_vocare_pectus_supra_parere","numquid_sanguis_pro_furere_gladium_vox_damnare"
"521","urn:cts:latinLit:phi0972.phi001:58.10","ergo aut tacere aut bonus nolle molestare quis tu nasci non putare niti sium ego iudicare anulus buxeus curare quis amicus tuus involare","0.824657534246575","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.13972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726"
"522","urn:cts:latinLit:phi0972.phi001:58.11","occupo propitius ire in foris et pecunia mutuare iam scire hic ferrum fides habere","0.00273972602739726","0.13972602739726","0.00273972602739726","0.00273972602739726","0.687671232876712","0.00273972602739726","0.13972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726"
"523","urn:cts:latinLit:phi0972.phi001:58.12","vah bellus res esse volpes udus itare lucrum facere et itare bonus mori aut populus per exire meus iurare niti tu ubi toga pervertere esse persequi","0.604819277108434","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.00240963855421687","0.363855421686747","0.00240963855421687","0.00240963855421687","0.00240963855421687"
"524","urn:cts:latinLit:phi0972.phi001:58.13","bellus res et iste quis tu hic docere mufrius non magister ego discere dicere enim magister esse vester salvus regere domus cavere circumspicere cavere magnus maledicere aut numerare mapale","0.78562091503268","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.197385620915033","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366"
"525","urn:cts:latinLit:phi0972.phi001:58.14","nemo dupondius evadere ego quis ego sic videre propter artifex meus deus gratia agere","0.702325581395349","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.237209302325581","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"526","urn:cts:latinLit:phi0972.phi001:59.1","coepere ascyltos respondere convicium sed trimalchio delectare collibertus eloquentia agere inquit scordalia de medius suavis esse potus et tu hermeros parcere adulescentulus sanguen ille fervere tu bonus esse","0.355752212389381","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.0902654867256637","0.0902654867256637","0.0902654867256637","0.00176991150442478","0.355752212389381","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478"
"527","urn:cts:latinLit:phi0972.phi001:59.2","semper in hic res quis vincere vincere et tu cum esse capo cocococo at cor non habere esse ergo quis bonus esse a primitiae hilaris et homeristas spectare","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.955555555555555","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317"
"528","urn:cts:latinLit:phi0972.phi001:59.3","intrare factio statim hasta scutum concrepare ipse trimalchio in pulvinus considere et cum homeristae graecis versus colloqui ut insolens solere ille canorus vox ferre legere liber mox silentium facere scire inquit quis fabula agere","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.351048951048951","0.0013986013986014","0.211188811188811","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.420979020979021"
"529","urn:cts:latinLit:phi0972.phi001:59.4","diomedes et ganymedes duo frater esse hic soror esse helena agamemnon ille rapere et dianae cerva subicere itare nunc homeros dicere quemadmodum inter se pugnare troiani et parentini","0.217204301075269","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.539784946236559","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.217204301075269","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086"
"530","urn:cts:latinLit:phi0972.phi001:59.5","vincere scilicet et iphigeniam filia suus achilli dare uxor ob is res aiax insanire et static argumentum explicare","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.413698630136986","0.550684931506849","0.00273972602739726"
"531","urn:cts:latinLit:phi0972.phi001:59.6","hic ut dicere trimalchio clamor homeristae tollere inter familia discurrere vitulus in lanx donarium elixus afferre esse et quidem galeare","0.00317460317460317","0.796825396825397","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.161904761904762"
"532","urn:cts:latinLit:phi0972.phi001:59.7","sequi esse aiax stringere gladium tanquam insanire concidere ac modus vertere modus supinare gesticulari mucro frustum colligere mirare vitulus partire esse","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.302255639097744","0.00150375939849624","0.15187969924812","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.52781954887218"
"533","urn:cts:latinLit:phi0972.phi001:60.1","nec diu mirare licere tam elegare stropha nam repente lacunar sonare coepere totus triclinium intremescere","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.320634920634921","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.638095238095238","0.00317460317460317","0.00317460317460317"
"534","urn:cts:latinLit:phi0972.phi001:60.2","consternare ego exsurgere et timere nere per tegere petauristarius aliquis descendere nec parvus relinquere conviva mirare erigere vultus expectare quis noscere de caelus nuntiare","0.00150375939849624","0.00150375939849624","0.227067669172932","0.00150375939849624","0.15187969924812","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.377443609022556","0.00150375939849624","0.00150375939849624","0.227067669172932","0.00150375939849624"
"535","urn:cts:latinLit:phi0972.phi001:60.3","ecce autem diducere lacunar subire circulus ingens de cupa videlicet grandis excutere demittere quis per totus orbis corona aureus cum alabastris unguentum pendere","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0713286713286713","0.840559440559441","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0713286713286713"
"536","urn:cts:latinLit:phi0972.phi001:60.4","dum hic apophoretus iubere sumere respicere ad metiri iam illic repositorium cum placere aliqui esse ponere quis medius priapus a pistor facere tenere gremium serere amplus omnis genus pomum et uva sustinere morus vulgare","0.00103626943005181","0.260103626943005","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.311917098445596","0.00103626943005181","0.415544041450777","0.00103626943005181","0.00103626943005181","0.00103626943005181"
