"","amicus_mori_domus_solere_nunc_ire_supra","pes_nemo_afferre_cocus_fortunare_vocare_metiri","pectus_frons_vultus_paene_crinis_lacrima_ceterus","ab_causa_eumolpus_vultus_temptare_amare_noscere","timere_ascyltos_diligens_tantus_locus_longus_accedere","nox_pater_navis_rapere_intellegere_legere_mittere","licere_deinde_vovere_uter_adhuc_perire_vel","pro_postquam_ante_mare_uti_fidere_fluctus","giton_ecce_pes_mors_navis_iterum_ultra","alter_metiri_aureus_nasci_pendere_argenteus_circare","debere_mutare_sive_parare_carmen_placere_verbum","bellus_arma_liber_noster_loqui_caedere_nescire","tantus_anser_confundere_familia_os_ancilla_effundere","caelus_terra_tellus_vocare_pectus_supra_parere","numquid_sanguis_pro_furere_gladium_vox_damnare"
"mulier",0.0062767073113466,1.74559673224292e-05,1.83698587357863e-05,0.00279438162740345,0.0102631922066795,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.00481010840692081,0.0102591654514289,2.81396853983172e-05,2.85820447594821e-05
"vocare",1.56526366866499e-05,0.0122366330930229,0.00552932747947168,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,0.00514237470258654,0.0140979823845569,2.85820447594821e-05
"ab",1.56526366866499e-05,0.00350864943180826,1.83698587357863e-05,0.0148231767122527,0.0046752472665636,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,0.00882540660695028,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"afferre",1.56526366866499e-05,0.0131094314591443,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,0.00210473669952279,2.11474612472773e-05,2.20084952791778e-05,0.0089936528584565,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,0.0114613999485523
"causa",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,0.0148231767122527,0.00933186804999348,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.00790772072904229,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"ducere",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,0.00933186804999348,2.0186930980883e-05,0.00627253214412237,0.0105948780848859,0.00772498184299139,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"fieri",0.00862460281434408,0.00787264126241556,1.83698587357863e-05,0.00557025741621482,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.00565480884042625,0.00241701964725872,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"legere",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,0.0111229989704665,2.08389772229979e-05,0.00848013196015818,0.0121266808988269,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,0.0042490924951459,2.85820447594821e-05
"tantus",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,0.00557025741621482,0.0130571646767374,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,0.0166551538874818,2.81396853983172e-05,2.85820447594821e-05
"uter",1.56526366866499e-05,0.00438144779792972,0.00185535573231442,1.85058385920758e-05,0.00746921973662153,2.0186930980883e-05,0.0114822764498718,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,0.00386317701537596,0.00143512395531418,0.0043158887586818
"uti",1.56526366866499e-05,1.74559673224292e-05,0.00920329922662895,1.85058385920758e-05,0.00281259895319165,2.0186930980883e-05,2.08389772229979e-05,0.0116522511472498,0.00552413231507362,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,0.00514237470258654,2.81396853983172e-05,2.85820447594821e-05
"ceterus",0.00236354813968413,0.00874543962853701,0.0101217921634183,0.00464496548661102,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.00361356402708976,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"dominus",0.00940723464867657,0.00612704453017264,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,0.00314668556067268,2.11474612472773e-05,0.00662455707903251,0.00338663736066566,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,0.00145768428273359
"duo",1.56526366866499e-05,0.00961823799465847,0.00552932747947168,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,0.00314668556067268,2.11474612472773e-05,2.20084952791778e-05,0.0101150559580147,2.25291188861604e-05,0.00361356402708976,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"eumolpus",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,0.0138978847826489,1.86264831337195e-05,2.0186930980883e-05,0.0104403275887219,2.11474612472773e-05,0.00772498184299139,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"locus",1.56526366866499e-05,0.00438144779792972,1.83698587357863e-05,1.85058385920758e-05,0.0130571646767374,2.0186930980883e-05,0.00314668556067268,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.009596285926245,0.00258397932816537,2.81396853983172e-05,2.85820447594821e-05
"ante",0.000798284471019143,1.74559673224292e-05,0.00461083454268237,1.85058385920758e-05,0.00933186804999348,2.0186930980883e-05,2.08389772229979e-05,0.0127096242096136,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.00361356402708976,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"frater",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,0.0074208412754224,0.00560657142324958,0.00809495932333407,2.08389772229979e-05,0.00319326664833887,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.00720319716658291,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"giton",1.56526366866499e-05,1.74559673224292e-05,0.00552932747947168,0.00557025741621482,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,0.0209300790104981,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"immo",0.00705933914567909,1.74559673224292e-05,0.00461083454268237,0.00279438162740345,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,0.0110262561348681,2.24280619911633e-05,2.25291188861604e-05,0.00241701964725872,2.55839537442116e-05,2.81396853983172e-05,0.00288678652070769
"nemo",0.00392881180834912,0.0157278265575087,1.83698587357863e-05,0.00649554934581861,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,0.00107852052361114,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"noster",0.000798284471019143,0.00612704453017264,0.00277384866910373,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,0.00636538583543046,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.0167755522052313,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"adhuc",1.56526366866499e-05,0.00961823799465847,1.83698587357863e-05,0.00371967355700724,1.86264831337195e-05,2.0186930980883e-05,0.0114822764498718,0.00107852052361114,2.20084952791778e-05,0.00338663736066566,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"ingens",1.56526366866499e-05,1.74559673224292e-05,0.0101217921634183,0.00186908969779966,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,0.00992583137090917,0.0089936528584565,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"loqui",0.000798284471019143,0.000890254333443888,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,0.00939837872757205,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.00678126478473427,0.0155790078254002,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"metiri",1.56526366866499e-05,0.0122366330930229,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,0.0179648776549218,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"mori",0.0141030256546715,1.74559673224292e-05,0.00369234160589305,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,0.0114613999485523
"animus",0.000798284471019143,1.74559673224292e-05,0.00828480628983963,0.00464496548661102,1.86264831337195e-05,2.0186930980883e-05,0.00418863442182258,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.00340189695181021,2.3930887596621e-05,2.55839537442116e-05,0.00987702957480935,2.85820447594821e-05
"ecce",0.000798284471019143,0.00350864943180826,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,0.0176288047186214,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,0.0114613999485523
"familia",1.56526366866499e-05,0.00961823799465847,1.83698587357863e-05,0.00186908969779966,1.86264831337195e-05,0.00607626622524578,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,0.01281756082585,2.81396853983172e-05,2.85820447594821e-05
"liber",0.00392881180834912,1.74559673224292e-05,0.000936862795525102,1.85058385920758e-05,1.86264831337195e-05,0.00607626622524578,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.0203651853447244,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"mittere",1.56526366866499e-05,0.0104910363607799,0.00552932747947168,1.85058385920758e-05,1.86264831337195e-05,0.0111229989704665,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"relinquere",1.56526366866499e-05,0.00176305269956535,1.83698587357863e-05,1.85058385920758e-05,0.0084005438933075,0.00910430587237822,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,0.00897996776421828,2.81396853983172e-05,0.00288678652070769
"bellus",0.00158091630535164,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,0.00338663736066566,2.25291188861604e-05,0.0251513628640486,2.55839537442116e-05,2.81396853983172e-05,0.00288678652070769
"longus",1.56526366866499e-05,0.0069998428962941,1.83698587357863e-05,0.0074208412754224,0.0111945163633654,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"medius",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,0.0101136524214224,2.08389772229979e-05,2.11474612472773e-05,0.00662455707903251,0.005629443559782,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,0.00987702957480935,2.85820447594821e-05
"mens",1.56526366866499e-05,1.74559673224292e-05,0.00277384866910373,0.00927142513462998,1.86264831337195e-05,2.0186930980883e-05,0.00731448100527226,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.00340189695181021,0.00600665278675186,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"pectus",1.56526366866499e-05,1.74559673224292e-05,0.0165512427209435,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,0.0140979823845569,2.85820447594821e-05
"verbum",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,0.0074208412754224,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.0124135445062744,0.009596285926245,2.55839537442116e-05,2.81396853983172e-05,0.00145768428273359
"imponere",1.56526366866499e-05,1.74559673224292e-05,0.00369234160589305,1.85058385920758e-05,1.86264831337195e-05,0.00809495932333407,2.08389772229979e-05,0.00319326664833887,2.20084952791778e-05,0.0101150559580147,2.25291188861604e-05,0.00241701964725872,2.55839537442116e-05,0.00143512395531418,2.85820447594821e-05
"nescire",0.0054940754770141,1.74559673224292e-05,0.00185535573231442,0.00649554934581861,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.0131859190657381,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"os",1.56526366866499e-05,0.00874543962853701,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,0.00772498184299139,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,0.01281756082585,2.81396853983172e-05,2.85820447594821e-05
"pater",1.56526366866499e-05,0.000890254333443888,1.83698587357863e-05,0.00186908969779966,1.86264831337195e-05,0.0151603851666431,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,0.0115383631386394,2.81396853983172e-05,2.85820447594821e-05
"timere",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,0.00186908969779966,0.0177137854601673,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,0.0077007700770077,2.81396853983172e-05,2.85820447594821e-05
"arma",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,0.00530801277306659,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.0251513628640486,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"ascyltos",0.000798284471019143,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,0.0177137854601673,0.00607626622524578,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"caelus",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.00241701964725872,2.55839537442116e-05,0.033795762163379,2.85820447594821e-05
"curare",0.00940723464867657,1.74559673224292e-05,1.83698587357863e-05,0.0074208412754224,0.00281259895319165,2.0186930980883e-05,2.08389772229979e-05,0.00319326664833887,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"mors",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,0.00939837872757205,0.00425063971070273,0.0143275304267447,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"pati",0.00471144364268161,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,0.00708561277428992,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.0101606326176583,2.3930887596621e-05,0.00514237470258654,2.81396853983172e-05,2.85820447594821e-05
"quidam",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,0.00557025741621482,0.00188127479650567,2.0186930980883e-05,0.00939837872757205,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.00114898506319418,2.3930887596621e-05,0.0102591654514289,2.81396853983172e-05,2.85820447594821e-05
"tenere",0.0054940754770141,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,0.00953750502252204,0.00552413231507362,0.005629443559782,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"ultra",1.56526366866499e-05,1.74559673224292e-05,0.00369234160589305,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,0.0104403275887219,2.11474612472773e-05,0.0132271056627858,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"vinum",0.00158091630535164,0.0113638347269014,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,0.00106278783837289,2.11474612472773e-05,2.20084952791778e-05,0.0022652342611075,0.00678126478473427,2.3930887596621e-05,0.00258397932816537,2.81396853983172e-05,2.85820447594821e-05
"extra",1.56526366866499e-05,1.74559673224292e-05,0.00828480628983963,0.00464496548661102,0.00746921973662153,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,0.0042490924951459,2.85820447594821e-05
"gratia",0.0054940754770141,1.74559673224292e-05,0.00828480628983963,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,0.00636538583543046,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.00361356402708976,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"navis",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,0.0121323455195107,2.08389772229979e-05,2.11474612472773e-05,0.0143275304267447,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"parare",0.00314617997401662,1.74559673224292e-05,0.00369234160589305,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.0135400004505824,0.00600665278675186,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"statim",0.00940723464867657,0.00176305269956535,1.83698587357863e-05,0.00834613320502619,1.86264831337195e-05,0.00102953348002503,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.00122047526742767,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
