"","hostis_spes_signum_pugno_video_salus_clamor","hostis_eques_Caesar_silva_agmen_interfacio_legio","legio_Caesar_Ipse_proficiscor_tres_Gallia_hiberna","fodio_murus_vallus_agger_altitudo_pedum_autem","hostis_sino_salus_modus_posse_diligens_posset","Caesar_nox_posterus_oppugno_ante_iubet_timor","legio_hostis_cohors_proximus_impedimentum_Caesar_agmen","dico_Caesaris_vita_gravis_senatus_sententia_Aedui","apud_frater_gratia_senatus_jus_ager_Haeduorum","bellum_accipio_quantus_discedo_Caesar_Romanorum_nihil","sino_hostis_resisto_sub_labor_armo_cado","hostis_legio_alter_Caesar_ubi_acies_uter","frumentum_provincia_transeo_aedificium_ager_prohibeo_autem","palus_natura_munio_prior_sic_paro_celeriter","Caesar_obsideo_colloquium_Gallia_ito_impero_Caesaris","certus_passus_supra_fio_circito_demonstravimus_dis","totus_princeps_imperium_concilium_singulus_sunt_Hi","passus_circito_spatium_nox_ibi_contineo_amplus","annus_ager_frumentum_inopia_for_ratio_Haec","esset_C_video_ibi_Ad_alter_quisquam","hostis_circito_tempestas_portus_insula_aestus_passus","nitor_Gallorum_capio_nihil_Caesar_legio_subeo","quidem_fortuna_hostis_volo_littera_adeo_fio","murus_telum_consuetudo_manus_intro_ante_adeo","Rhenum_transeo_Caesar_Germanorum_trans_domus_Germanos"
"frumentum",1.36182266345277e-05,1.66719461162702e-05,0.00773173784094221,1.76115249819482e-05,1.75343234381301e-05,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,0.0355426108782648,0.00480504888718893,2.44015519387033e-05,2.48564539782755e-05,2.60206604043611e-05,2.66801846268776e-05,0.021427998180894,2.73365955003964e-05,2.71142322605135e-05,2.75626360905157e-05,0.00144145162657924,2.99571612593991e-05,3.03204875534399e-05
"Gallia",1.36182266345277e-05,1.66719461162702e-05,0.0137319778505426,1.76115249819482e-05,1.75343234381301e-05,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,0.00237194993072027,2.36792877270252e-05,2.39057158566613e-05,0.0195456431029013,2.48564539782755e-05,0.00913325180193073,2.66801846268776e-05,0.0134025306974131,0.0123288045706788,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"nox",0.00409908621699282,1.66719461162702e-05,1.71435428845725e-05,1.76115249819482e-05,1.75343234381301e-05,0.0223794987458926,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,0.00589464784763157,2.36792877270252e-05,2.39057158566613e-05,2.44015519387033e-05,2.48564539782755e-05,2.60206604043611e-05,0.0200368186547851,2.67515582782697e-05,2.73365955003964e-05,0.0135842303625173,2.75626360905157e-05,0.00144145162657924,2.99571612593991e-05,3.03204875534399e-05
"capio",0.0088654655390775,1.66719461162702e-05,1.71435428845725e-05,1.76115249819482e-05,0.00440111518297067,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,0.0124432600889772,2.32660943207464e-05,0.00941734576454287,2.36792877270252e-05,2.39057158566613e-05,2.44015519387033e-05,2.48564539782755e-05,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,0.00409424907133754,0.0206995397039773,2.82637573839066e-05,2.99571612593991e-05,0.00609441799824141
"ito",0.00069452955836091,0.0033510611693703,1.71435428845725e-05,0.0123456790123457,1.75343234381301e-05,1.94435262779258e-05,0.00704380807128093,2.0994730322689e-05,0.00743155978065254,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,2.39057158566613e-05,0.0195456431029013,2.48564539782755e-05,0.00653118576149463,2.66801846268776e-05,2.67515582782697e-05,0.00549465569557967,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"celeriter",0.011589110865983,0.00251746386355679,0.0120176235620853,1.76115249819482e-05,1.75343234381301e-05,0.00974120666524081,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,0.0143673352298535,2.44015519387033e-05,2.48564539782755e-05,0.00132705368062241,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"circito",1.36182266345277e-05,1.66719461162702e-05,1.71435428845725e-05,1.76115249819482e-05,1.75343234381301e-05,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,2.39057158566613e-05,2.44015519387033e-05,0.0199100196365986,2.60206604043611e-05,0.03204290173688,2.67515582782697e-05,2.73365955003964e-05,0.023074211653697,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"do",0.00954637687080388,1.66719461162702e-05,1.71435428845725e-05,1.76115249819482e-05,0.0114148445582227,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,0.00905580271448251,2.32660943207464e-05,2.34846527794087e-05,0.00831142999218583,2.39057158566613e-05,0.0146653327151607,2.48564539782755e-05,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,2.71142322605135e-05,0.00416195804966787,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"ager",1.36182266345277e-05,1.66719461162702e-05,1.71435428845725e-05,1.76115249819482e-05,0.000894250495344637,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,0.0148419470263175,0.0045391928818229,2.32660943207464e-05,2.34846527794087e-05,0.0165991806966446,2.39057158566613e-05,2.44015519387033e-05,2.48564539782755e-05,2.60206604043611e-05,0.00669672634134628,0.024103154008721,2.73365955003964e-05,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"Cum",0.00750364287562474,1.66719461162702e-05,1.71435428845725e-05,1.76115249819482e-05,1.75343234381301e-05,0.00974120666524081,0.00905059099757179,0.00212046776259159,0.00637293303127183,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,2.39057158566613e-05,0.0122251775212904,0.00126767915289205,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,2.71142322605135e-05,0.00829635346324522,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
