"","τόνον_ϊ_ἀσκαλωνίτης_ὁμοίως_λήγοντα_ποιητῇ_ἐγένετο","ζεὺς_διὸς_ἀφ_αὐτὴν_αὐτῆς_αὐτῶν_ἱστορία","τί_οὐδέ_πῶς_ἢν_ὅμηρος_ῥητέον_αὐτὸς","ὃς_ὧν_ὃν_ὥς_ὕδωρ_ὑπέρ_του","στικτέον_λόγος_τέλος_ᾖ_ἀρχῆς_ἐὰν_ἄνω","ὥσπερ_πῶς_τότε_ὑπὸ_γίνεται_ἄρα_ἄν","ὁμοίως_ᾖ_λόγου_πρόθεσιν_ἵν_ἦ_ἓν","τρώων_ὑπὸ_ἕκτορα_ὑπ_ἕκτωρ_ἤτοι_τρῶες","ἀθετοῦνται_τούτου_ἕως_στίχοι_ἀθετεῖται_αὐτῶν_οὐδὲ","κε_τοι_μή_μοι_με_τίς_δή","τεῖχος_σημαίνει_τῶ_ποτὲ_χρόνον_ὅπερ_ἀχαιῶν","ν_ἀπὸ_ἵππων_σύν_οὐδ_χωρὶς_ἐπ","μοι_ὅμηρος_τοι_νεώτεροι_ἐὰν_ὑπ_τινες","ἄλλοι_ἀρίσταρχος_χωρὶς_ἀρισταρχος_ν_ϊ_ἀριστάρχου","ἔν_ὅσον_πῦρ_τισι_γίνεται_ἀνδρῶν_αἷμα","ἵν_ἐλλείπει_ἦ_μᾶλλον_ἀπὸ_ἔστιν_ᾖ","εἴρηκεν_πρότερον_ὄνομα_ἕτερον_δεύτερον_ἄλλο_ὥστε","κεν_εἴ_καί_μοι_κ_μιν_ῥ","οὔτε_αὐτὰρ_ἂρ_θηλυκῶς_ἴλιον_ζηνοδοτος_μᾶλλον","ἔνθα_πάλιν_διὸς_ἐνταῦθα_πάτροκλον_ἅπαξ_οὗτος"
"ἦ",0.00127930273215676,0.00143502803310576,0.000954174354826479,6.7933859594299e-06,6.85626525519019e-06,7.01990846039368e-06,0.0113926164308701,7.855336129833e-06,7.96482732254365e-06,0.0104454364442161,0.00518317924658479,8.69172200396343e-06,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,0.0141534341643722,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"τί",0.00143881678853541,4.76753499370685e-06,0.0170677147840154,6.7933859594299e-06,6.85626525519019e-06,0.00106000617751945,0.00152559353937701,7.855336129833e-06,0.00199917165795846,0.00602961012267968,8.62425831378502e-06,0.00131245002259848,0.00408692185007974,8.9483857112177e-06,9.34561970804284e-06,9.42933655188021e-06,9.49198876148531e-06,0.0056510455844742,9.64301556382712e-06,9.78933354217245e-06
"ὥσπερ",0.0063837525362735,4.76753499370685e-06,6.31903546242702e-06,0.0020448091737884,0.00480624194388833,0.0122918597141493,0.00152559353937701,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,0.00302711466813854,8.69172200396343e-06,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,0.00330969712970995,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"μοι",3.19028112757296e-06,4.76753499370685e-06,0.000638222581705129,6.7933859594299e-06,6.85626525519019e-06,7.01990846039368e-06,7.59001760884085e-06,7.855336129833e-06,7.96482732254365e-06,0.0180727728177789,8.62425831378502e-06,0.000877863922400306,0.012695737277077,8.9483857112177e-06,9.34561970804284e-06,9.42933655188021e-06,9.49198876148531e-06,0.0150537836618023,9.64301556382712e-06,9.78933354217245e-06
"τοι",3.19028112757296e-06,4.76753499370685e-06,6.31903546242702e-06,0.0020448091737884,6.85626525519019e-06,7.01990846039368e-06,7.59001760884085e-06,7.855336129833e-06,7.96482732254365e-06,0.022087160382812,8.62425831378502e-06,0.00348538052358933,0.0104302595331303,8.9483857112177e-06,9.34561970804284e-06,0.00378116395730396,9.49198876148531e-06,0.00424063487287498,9.64301556382712e-06,9.78933354217245e-06
"τούτου",0.00415055574697242,0.00477230252870056,6.31903546242702e-06,6.7933859594299e-06,6.85626525519019e-06,0.00456996040771628,7.59001760884085e-06,7.855336129833e-06,0.0191235504014273,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,0.000952362991739901,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"ν",0.000641246506642165,4.76753499370685e-06,0.000638222581705129,6.7933859594299e-06,6.85626525519019e-06,7.01990846039368e-06,0.00342309794158722,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,0.01521920522894,9.06191097578657e-06,0.0255118476626817,9.34561970804284e-06,9.42933655188021e-06,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"οἷον",0.00239590112680729,4.76753499370685e-06,6.31903546242702e-06,6.7933859594299e-06,0.00686312152044538,0.00456996040771628,7.59001760884085e-06,0.000793388949113133,7.96482732254365e-06,8.02877513006616e-06,0.00475196633089554,0.00478913882418385,9.06191097578657e-06,0.00537797981244184,9.34561970804284e-06,9.42933655188021e-06,0.000484091426835751,9.40273807732812e-06,0.00917050780119959,9.78933354217245e-06
"πῶς",3.19028112757296e-06,4.76753499370685e-06,0.0123284381871951,0.00102580127987391,6.85626525519019e-06,0.0119408642911296,7.59001760884085e-06,0.00550659062701293,0.00279565439021282,8.02877513006616e-06,0.00130226300538154,8.69172200396343e-06,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,9.42933655188021e-06,9.49198876148531e-06,0.00141981344967655,0.000491793793755183,9.78933354217245e-06
"του",0.00223638707042865,4.76753499370685e-06,6.31903546242702e-06,0.00713984864336082,6.85626525519019e-06,7.01990846039368e-06,0.00494110146335539,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,0.00761507624024626,9.34561970804284e-06,0.00802436540565006,9.49198876148531e-06,0.00518090868060779,9.64301556382712e-06,0.00539392278173702
