"","identifier","text","serere_velle_amplus_fuit_aliqui_honestus_onerare","habinnas_mirare_coepit_rogare_post_scintilla_cena","ingens_ponere_aureus_dexter_argenteus_sequi_extra","oportet_velle_subire_signum_ludere_subindere_aqua","summam_nescire_solere_pro_sunt_longus_aurum","mihi_agamemnon_ire_hodie_littera_narrare_credere","tuus_curabo_quare_licere_iratus_vivere_sunt","itare_circare_porcus_crescere_esset_munus_piscis","trimalchionis_amat_caput_nolle_amphora_cervix_deinde","porcus_cocus_titulus_maga_noster_quid_homuncio","deinde_ante_ubi_vestimentum_bellus_monumentum_respicere","fecit_centum_accipere_aper_liber_assare_culter","unquam_oculus_mori_fuit_propter_fors_beneficium","balneum_ovum_tres_aere_circumferre_ebrius_caldus","planus_agere_quemadmodum_sestertius_tuus_genius_accipere","medius_terra_scilicet_mater_postquam_facio_tangere","noscere_dius_facit_ideo_domus_caelus_adhuc","pars_verus_currere_quattuor_notare_magister_fit","an_gallus_lana_cocus_argenteus_lucerna_potio","supra_mulier_unguentum_ubi_locus_hinc_ludus"
"11","urn:cts:latinLit:phi0972.phi001:28.1","longus esse singuli excipere. itaque intrare balneum, et sudor calfacere momentum tempus ad frigidus eximus.","0.0037037037037037","0.188888888888889","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.744444444444444","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037"
"12","urn:cts:latinLit:phi0972.phi001:28.2","iam trimalchio unguentum perfundere tergebatur, non linteis, sed pallium ex lana mollis factis.","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.3","0.594117647058824"
"13","urn:cts:latinLit:phi0972.phi001:28.3","tres interim iatraliptes in conspectus is falernum potabant, et cum multus rixare effunderent, trimalchio hic suus propinare dicebat.","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.888235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647"
"14","urn:cts:latinLit:phi0972.phi001:28.4","hinc involvere coccinum gausapa lectica imponere esse praecedere phaleratus cursor quattuor et chiramaxio, in quis deliciae is vehebantur, puer vetulus, lippus, dominus trimalchione deformior.","0.00454545454545455","0.00454545454545455","0.459090909090909","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.459090909090909"
"15","urn:cts:latinLit:phi0972.phi001:28.5","cum ergo auferretur, ad caput is symphoniacus cum parvus tibia accedere et tanquam in auris aliquis secreto diceret, totus iter cantavit.","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.744444444444444","0.188888888888889","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037"
"16","urn:cts:latinLit:phi0972.phi001:28.6","sequi ego admiratio iam serere et cum agamemnone ad ianua pervenimus, in quis ponere libellus esse cum hic inscriptio fixus:","0.188888888888889","0.0037037037037037","0.744444444444444","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037"
"17","urn:cts:latinLit:phi0972.phi001:28.7","quisquis servus sinere dominicus iubere forare exierit, accipere plaga centum.","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.92962962962963","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037"
"18","urn:cts:latinLit:phi0972.phi001:28.8","in adire autem ipse stare ostiarius prasinatus, cerasinus succinctus cingulo, at in lanx argenteus pinsere purgabat.","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.374074074074074","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.188888888888889","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.374074074074074","0.0037037037037037"
"19","urn:cts:latinLit:phi0972.phi001:28.9","super limen autem cavea pendere aurea, in quis picare varius intrare salutabat.","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.841666666666667","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333","0.00833333333333333"
"20","urn:cts:latinLit:phi0972.phi001:29.1","ceterus ego dum omnis stupeo, paene resupinare crus meus fregi. ad sinister enim intrare non longus ab ostiarius cella canere ingens, catenare vinctus, in paries esse pingere super quadrare littera scribere cavere canem.","0.209722222222222","0.00138888888888889","0.556944444444444","0.00138888888888889","0.209722222222222","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889"
