"","mihi_te_si_quod_me_qui_quam","si_quid_unquam_quem_manu_mortuum_sibi","quid_quod_quam_mihi_si_illa_magis","coepit_eius_fortunata_atque_haec_sunt_subinde","qui_illum_hoc_omnia_summam_mei_cito","erat_quae_altera_qui_quo_terram_habebat","ne_trimalchionis_minus_puerum_me_nos_iussit","quod_quid_quem_qui_me_respiciens_sunt","tibi_ita_bene_me_nos_qui_tuum","hoc_si_illi_plane_nostrum_qua_c","haec_factus_aliquot_quemadmodum_omnia_circa_heu","si_quod_hoc_fuit_illius_die_male","quam_me_postquam_coepi_esset_plus_quomodo","me_mihi_ne_meam_ideo_meo_sine","omnia_quae_mea_fecit_vestimenta_iussit_ab","sunt_ne_servi_unum_omnes_cocus_ova","hoc_omnes_pedes_post_nos_aquam_accepit","quam_nos_quid_quo_quare_ait_illi","nos_qui_ceterum_erat_pedes_subito_amat","nobis_suam_deinde_quae_pro_dedit_habebat"
"quo",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,0.0361913357400722,9.77517106549365e-05,0.000100704934541793,0.010171198388721,0.000101729399796541,0.0157620041753653,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.0119103773584906,0.000120772946859903,0.000120048019207683,0.0374844333748443,0.000126103404791929,0.000131926121372032
"coepit",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,0.062701252236136,0.00462375339981868,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.0237028301886792,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"fuit",6.74308833445718e-05,8.07754442649435e-05,0.0258813413585555,8.94454382826476e-05,0.0227561196736174,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.0432112068965517,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"eius",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,0.062701252236136,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.0216594827586207,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"iussit",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,0.0179785330948122,9.06618313689937e-05,9.02527075812274e-05,0.0294232649071359,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.0112472160356347,0.000117233294255569,0.0295990566037736,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"omnes",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,0.0182230281051677,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.0303140096618357,0.0481392557022809,0.00012453300124533,0.000126103404791929,0.000131926121372032
"sibi",6.74308833445718e-05,0.024313408723748,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,0.00498533724340176,0.000100704934541793,0.010171198388721,0.000101729399796541,0.000104384133611691,0.00549568965517241,0.000111358574610245,0.000117233294255569,0.0237028301886792,0.000120772946859903,0.000120048019207683,0.0125778331257783,0.000126103404791929,0.000131926121372032
"quem",6.74308833445718e-05,0.0283521809369952,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.0403826787512588,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"bene",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,0.0227561196736174,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.0454179254783484,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"fortunata",0.00681051921780175,8.07754442649435e-05,8.59845227858985e-05,0.0358676207513417,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.00513595166163142,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.0178066037735849,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"ita",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.00513595166163142,0.0504531722054381,0.000101729399796541,0.0157620041753653,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"meum",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,0.0196480938416422,0.000100704934541793,0.0252769385699899,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.005978898007034,0.000117924528301887,0.0242753623188406,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"plane",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,0.0272892112420671,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.040793489318413,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"ceterum",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,0.0136281588447653,0.0147605083088954,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.0442622950819672,0.000131926121372032
"deinde",6.74308833445718e-05,0.0121970920840065,8.59845227858985e-05,0.0179785330948122,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.0397097625329815
"esset",6.74308833445718e-05,0.0202746365105008,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.0335189309576837,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.012124849939976,0.00012453300124533,0.000126103404791929,0.000131926121372032
"illius",6.74308833445718e-05,0.0121970920840065,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,0.0046028880866426,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.0432112068965517,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.0064312736443884,0.000131926121372032
"mea",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.00513595166163142,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.0223830734966592,0.0118405627198124,0.0354952830188679,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"pedes",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.0421368547418968,0.00012453300124533,0.0379571248423707,0.000131926121372032
"atque",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,0.0358676207513417,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.0242753623188406,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"circa",6.74308833445718e-05,0.00411954765751212,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,0.00911552346570397,0.0196480938416422,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.0262004175365344,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"fecit",6.74308833445718e-05,0.0121970920840065,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.0152064451158107,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.0354952830188679,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"illa",6.74308833445718e-05,8.07754442649435e-05,0.0344797936371453,8.94454382826476e-05,9.06618313689937e-05,0.0046028880866426,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.016815144766147,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"manu",6.74308833445718e-05,0.0283521809369952,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.0270474137931034,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"puto",6.74308833445718e-05,0.0202746365105008,8.59845227858985e-05,8.94454382826476e-05,0.0182230281051677,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.0102746693794507,0.00532359081419624,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"summam",0.0135536075522589,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,0.0318223028105168,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.00601415094339623,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"suum",6.74308833445718e-05,8.07754442649435e-05,0.0129836629406707,0.0179785330948122,0.0182230281051677,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.00672823218997361
"adhuc",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.0252769385699899,0.000100704934541793,0.000101729399796541,0.0209812108559499,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.0133245382585752
"altera",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,0.0497292418772563,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"es",0.0371544167228591,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"homines",6.74308833445718e-05,8.07754442649435e-05,0.0215821152192605,8.94454382826476e-05,0.013689936536718,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.0188044831880448,0.000126103404791929,0.000131926121372032
"ideo",0.00681051921780175,0.00815831987075929,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.0411488862837046,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"immo",6.74308833445718e-05,0.00411954765751212,8.59845227858985e-05,0.00903398926654741,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.0177022274325909,0.000117924528301887,0.000120772946859903,0.012124849939976,0.00012453300124533,0.0190416141235813,0.000131926121372032
"medio",6.74308833445718e-05,8.07754442649435e-05,0.00438521066208083,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,0.0294232649071359,0.00513595166163142,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.0162715517241379,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"mensam",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.0152064451158107,0.000100704934541793,0.000101729399796541,0.0209812108559499,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.0253467843631778,0.000131926121372032
"plus",6.74308833445718e-05,8.07754442649435e-05,0.0215821152192605,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.0335189309576837,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"pro",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.0204476093591048,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.0125778331257783,0.000126103404791929,0.0331134564643799
"rogo",0.0135536075522589,8.07754442649435e-05,0.0172828890799656,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.00513595166163142,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.012124849939976,0.00012453300124533,0.000126103404791929,0.000131926121372032
"suo",6.74308833445718e-05,0.0202746365105008,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.0119103773584906,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.0253467843631778,0.000131926121372032
"vos",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,0.00915684496826836,9.02527075812274e-05,9.77517106549365e-05,0.0252769385699899,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.0250311332503113,0.000126103404791929,0.000131926121372032
"amici",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.00532359081419624,0.0216594827586207,0.000111358574610245,0.0118405627198124,0.000117924528301887,0.0182367149758454,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"dedit",6.74308833445718e-05,0.0202746365105008,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.0331134564643799
"habebat",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,0.0226534296028881,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.0331134564643799
"meam",6.74308833445718e-05,8.07754442649435e-05,0.00438521066208083,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.0528722157092614,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
