"","alius_medio_praecipue_navis_vinum_fortuna_subito","frater_invenit_domum_iniuriam_populus_partes_ingenti","quemadmodum_volo_ideo_illam_valde_his_aliquid","verum_sive_tuam_fratrem_utique_vultu_osculum","satis_facta_plus_mecum_caelo_miles_vultus","sit_loco_fit_potest_melius_centum_curabo","deos_agere_dicebat_quartilla_vis_gratias_his","factum_posset_dominum_iuvenes_verba_vultum_subinde","rem_habebat_erant_extra_ianuam_aliquot_vidi","solus_forte_opes_rerum_ora_sui_ipsi","fortunata_agamemnon_oculis_tota_scintilla_habinnas_donec","propter_mentem_quorum_caelum_vides_hominem_afferri","sanguine_mare_nondum_potius_risum_caesar_opus","tellus_pectore_vera_more_toto_facies_ira","semel_eumolpi_faciem_tum_tua_certe_lacrimas"
"illius",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,0.0047707813339231,0.0100834142909785,3.49027957139367e-05,0.00702772630327611,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"illud",2.9238911142949e-05,3.05801045839577e-05,0.0062131000587308,0.00775864733702204,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,0.00901304874220887
"iniuriam",2.9238911142949e-05,0.0107336167089691,0.00466755278043955,0.00466755278043955,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"locum",0.00587702113973276,0.00461759579217761,3.09109455658249e-05,3.09109455658249e-05,0.00793023917095826,3.34997152524204e-05,0.00178004258141077,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"nostrum",0.0044150755825853,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,0.00673344276573649,0.00178004258141077,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,0.00580746894350217,4.20150413848158e-05,0.00452894489036366
"pater",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,0.00353134505786511,3.5272124440055e-05,0.00728234484257817,0.00576313881149574,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,0.00901304874220887
"placet",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,0.00775864733702204,3.15945783703516e-05,0.00338347124049446,3.49027957139367e-05,0.00877591692598161,3.5272124440055e-05,3.62305713561103e-05,0.00194649059196214,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"pueri",0.00587702113973276,3.05801045839577e-05,0.00930419461531328,3.09109455658249e-05,0.0047707813339231,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"puero",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,0.0062131000587308,3.15945783703516e-05,3.34997152524204e-05,0.00527032215280444,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,0.0114881111407962,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"quartilla",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,0.0122508812955918,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,0.00424351917986639,0.00901304874220887
"rem",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,0.0211985467884731,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,0.0021427671106256,4.48410385184521e-05
"satis",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,0.0174086126820638,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,0.00452894489036366
"sive",2.9238911142949e-05,0.00461759579217761,3.09109455658249e-05,0.0123952891718958,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,0.00356248456844556,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"subinde",2.9238911142949e-05,0.00155958533378184,3.09109455658249e-05,3.09109455658249e-05,0.00161132349688793,3.34997152524204e-05,0.00701546193850127,0.0122722981713926,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"tum",0.0044150755825853,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,0.00194649059196214,0.00193174500965873,3.84600592284912e-05,4.20150413848158e-05,0.0179812564458993
"aliquot",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,0.0123805156784593,0.00547081627477265,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,0.00452894489036366
"certe",2.9238911142949e-05,0.00614660102137549,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,0.00178004258141077,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,0.0157392045199767
"contra",0.00295313002543785,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,0.00840842852835751,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,0.00950721563577137,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"dii",2.9238911142949e-05,0.00767560625057338,0.00775864733702204,3.09109455658249e-05,3.15945783703516e-05,0.00338347124049446,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"duo",2.9238911142949e-05,0.00767560625057338,0.00775864733702204,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,0.00365928770696714,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"erit",2.9238911142949e-05,0.00614660102137549,3.09109455658249e-05,0.00775864733702204,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,0.00365928770696714,0.00194649059196214,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"factum",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,0.0210132512849201,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"fieri",0.0044150755825853,0.00461759579217761,0.00466755278043955,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,0.00356248456844556,0.00184775913916162,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"habebat",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,0.0176713343444676,3.62305713561103e-05,0.00385481470172894,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"invenit",0.00295313002543785,0.012262621938167,3.09109455658249e-05,3.09109455658249e-05,0.00161132349688793,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,0.00179887834644281,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"lectum",2.9238911142949e-05,0.00155958533378184,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,0.00527953568057061,0.00356248456844556,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,0.0134971525940541
"loco",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,0.0201333288667046,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"mare",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,0.0047707813339231,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,0.0173454867120495,4.20150413848158e-05,4.48410385184521e-05
"melius",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,0.0117584000535995,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,0.00547081627477265,3.81664821953361e-05,3.78773531305632e-05,0.00388446598207761,4.20150413848158e-05,4.48410385184521e-05
"oculis",0.00587702113973276,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,0.0153047593603298,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"paulo",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,0.0100834142909785,0.00527032215280444,3.496381245411e-05,0.00179887834644281,3.62305713561103e-05,0.00385481470172894,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"pectus",0.00733896669688021,3.05801045839577e-05,0.00157645822385707,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,0.00634427124910718,0.00677099681628627
"plus",2.9238911142949e-05,3.05801045839577e-05,0.00466755278043955,3.09109455658249e-05,0.0110896970079934,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,0.00382561266618689,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"populus",2.9238911142949e-05,0.0107336167089691,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,0.00728234484257817,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,0.00228689296444106
"propter",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,0.0227642892314685,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"quisquis",0.0044150755825853,3.05801045839577e-05,0.00157645822385707,3.09109455658249e-05,0.00161132349688793,0.00673344276573649,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,0.00580746894350217,4.20150413848158e-05,4.48410385184521e-05
"semper",2.9238911142949e-05,0.00920461147977126,3.09109455658249e-05,3.09109455658249e-05,0.00161132349688793,0.00673344276573649,3.49027957139367e-05,0.00178315443515961,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"sub",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,0.00930419461531328,0.00319105241540552,3.34997152524204e-05,3.49027957139367e-05,0.00702772630327611,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"subito",0.0102628578111751,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,0.00179887834644281,0.00728234484257817,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"sui",2.9238911142949e-05,0.00155958533378184,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,0.00877591692598161,3.5272124440055e-05,0.0109054019781892,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"suis",0.00587702113973276,0.00920461147977126,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,0.00353134505786511,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"tellus",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,0.00385481470172894,3.78773531305632e-05,3.84600592284912e-05,0.0210495357337927,4.48410385184521e-05
"terram",2.9238911142949e-05,3.05801045839577e-05,0.00466755278043955,3.09109455658249e-05,0.00161132349688793,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,0.00909387341038368,3.81664821953361e-05,3.78773531305632e-05,0.00580746894350217,4.20150413848158e-05,4.48410385184521e-05
"totam",0.00587702113973276,3.05801045839577e-05,3.09109455658249e-05,0.00312200550214831,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,0.00178315443515961,3.5272124440055e-05,3.62305713561103e-05,0.00957978703102935,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"tua",2.9238911142949e-05,0.00614660102137549,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,0.0179812564458993
"una",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,0.0047707813339231,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,0.00728234484257817,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,0.0112551006681315
"unus",0.0102628578111751,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,0.00728234484257817,3.81664821953361e-05,0.00193174500965873,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"valde",0.00295313002543785,0.00308859056297973,0.0123952891718958,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
