"","eius_quem_fecit_suo_deinde_mea_manu","nunc_illum_quia_es_unquam_nemo_vides","iussit_mea_afferri_puerum_coepi_tota_fortunata","ita_plane_vinum_rogo_vos_bene_oportet","suum_mehercules_nemo_illum_puto_magis_potest","statim_fit_summam_puer_quem_esset_aquam","altera_habebat_pro_puer_omnium_nobis_factum","ceterum_mensam_ecce_factus_suam_hac_subito","homines_medio_amici_meo_quibus_volo_circa","fuit_illius_male_sestertium_sibi_quicquid_die","hic_c_illum_bene_erant_hanc_scio","minus_cocus_supra_puer_circa_voce_putes","triclinium_familia_eius_iussit_post_res_melius","nobis_pedes_servus_totum_cena_domini_sumus","homo_facere_potui_aliquis_panem_nostrum_plus"
"plane",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,0.0374678075932541,8.37731423305688e-05,0.00443980151475581,0.0175745387776515,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"vinum",7.64117062734011e-05,7.94470485421467e-05,0.0122396044419227,0.0374678075932541,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,0.00481722867667895,9.40114693992667e-05,0.00486316391723086,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"ceterum",0.00771758233361351,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,0.0132027629623153,0.0352155967331167,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"deinde",0.0229999235882937,7.94470485421467e-05,0.0122396044419227,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,0.0141293159913914,9.44554642486068e-05,0.0047945849393626,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"esset",0.0191793382746237,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,0.0218507878471315,8.74355163067238e-05,0.00447879160446123,9.35716290820623e-05,9.44554642486068e-05,0.00949515840932594,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"illius",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.00886976376569773,9.35716290820623e-05,0.0520449608009823,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"mea",0.0229999235882937,7.94470485421467e-05,0.0243981519007863,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,0.00477215308318518,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"pedes",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,0.0150443359569593,0.0511903545519567,0.000120670930372873
"circa",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.00447879160446123,0.0234864788995976,9.44554642486068e-05,9.40114693992667e-05,0.023934394965195,0.005081199561622,0.000102176356391131,0.000120670930372873
"familia",7.64117062734011e-05,7.94470485421467e-05,0.0203453027478317,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,0.0349706087476338,0.000102176356391131,0.000120670930372873
"fecit",0.0306410942156338,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,0.00954000188910929,0.00949515840932594,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"manu",0.0229999235882937,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.00447879160446123,9.35716290820623e-05,0.0142627751015396,0.00949515840932594,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"puto",7.64117062734011e-05,0.0199412091840788,8.10569830590905e-05,8.30771786990114e-05,0.0294043729580297,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"summam",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,0.0125446539835507,8.37731423305688e-05,0.0305562810133194,8.74355163067238e-05,8.781944322473e-05,0.00945073453728829,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"suum",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,0.0503476585406719,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"adhuc",7.64117062734011e-05,0.00802415190275681,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,0.0174980412640376,8.74355163067238e-05,0.0132607359269342,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,0.0100627677592906,0.000102176356391131,0.000120670930372873
"altera",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,0.0481769694850048,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"at",7.64117062734011e-05,0.0159688567569715,8.10569830590905e-05,0.0166985129185013,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.00447879160446123,9.35716290820623e-05,0.00954000188910929,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"es",7.64117062734011e-05,0.0318582664654008,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.0154286298150608,0.000120670930372873
"homines",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,0.0210270587249728,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,0.0281650603537008,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"ideo",7.64117062734011e-05,0.0199412091840788,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,0.00443980151475581,8.74355163067238e-05,8.781944322473e-05,0.0234864788995976,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"immo",0.0229999235882937,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,0.0210270587249728,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"medio",7.64117062734011e-05,7.94470485421467e-05,0.0203453027478317,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,0.0281650603537008,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"mensam",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.0352155967331167,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,0.0143987794412129,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"plus",7.64117062734011e-05,7.94470485421467e-05,0.0203453027478317,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,0.00954000188910929,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.0242548570049475
"pro",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,0.0350616420389962,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.0154286298150608,0.000120670930372873
"rogo",7.64117062734011e-05,0.00802415190275681,8.10569830590905e-05,0.0374678075932541,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"suo",0.0306410942156338,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.0132607359269342,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"vos",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,0.0374678075932541,8.37731423305688e-05,0.00879254809784974,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"amici",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.00447879160446123,0.0281650603537008,9.44554642486068e-05,0.00949515840932594,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.00615421744901653
"dedit",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,0.0250062307884024,8.37731423305688e-05,8.70549316618787e-05,0.0175745387776515,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"duo",7.64117062734011e-05,0.0199412091840788,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.0220426802494072,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"facere",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,0.0047945849393626,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.0544225895981658
"habebat",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,0.0438051936696686,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"meam",0.0153587529609536,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.00886976376569773,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.0205374476346173,0.000120670930372873
"meo",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,0.0166985129185013,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,0.0281650603537008,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"res",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,0.00423693611364958,0.00846108737538745,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,0.00945073453728829,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,0.0250074723522965,0.000102176356391131,0.000120670930372873
"sua",0.0153587529609536,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,0.0210270587249728,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,0.00477215308318518,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"trimalchionis",7.64117062734011e-05,0.00802415190275681,0.0162924535948772,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.00447879160446123,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,0.0143987794412129,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"ab",7.64117062734011e-05,7.94470485421467e-05,0.0203453027478317,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,0.01898554831397,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"agamemnon",7.64117062734011e-05,0.0199412091840788,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,0.0188963053492526,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"cocus",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,0.00477215308318518,9.44554642486068e-05,9.40114693992667e-05,0.0334700104891771,9.96313639533725e-05,0.000102176356391131,0.00615421744901653
"cuius",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,0.0219463145929877,0.0176517080881707,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"ecce",7.64117062734011e-05,7.94470485421467e-05,0.00818675528896814,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.0308246245718802,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"erant",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,0.00443980151475581,8.74355163067238e-05,8.781944322473e-05,0.0141293159913914,9.44554642486068e-05,0.0235968788192159,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"factus",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.0308246245718802,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.0103198119955042,0.000120670930372873
"habinnas",7.64117062734011e-05,7.94470485421467e-05,0.0203453027478317,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,0.00445921133164291,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.0154286298150608,0.000120670930372873
"hodie",7.64117062734011e-05,0.0119965043298641,0.00413390613601362,8.30771786990114e-05,8.37731423305688e-05,0.00443980151475581,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.0242548570049475
"illam",7.64117062734011e-05,0.0199412091840788,8.10569830590905e-05,8.30771786990114e-05,0.0168384016084443,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"interim",7.64117062734011e-05,7.94470485421467e-05,0.0122396044419227,8.30771786990114e-05,0.0126497444919159,8.70549316618787e-05,0.0132027629623153,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"longe",0.00771758233361351,7.94470485421467e-05,0.0162924535948772,0.00839079504860015,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,0.00477215308318518,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"nunquam",7.64117062734011e-05,0.00405179947564948,0.0122396044419227,8.30771786990114e-05,0.0168384016084443,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,0.00481722867667895,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"oportet",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,0.029160089723353,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.0103198119955042,0.000120670930372873
"panem",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,0.0174980412640376,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.0302884035235912
"post",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,0.0126497444919159,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,0.0299890405499651,0.000102176356391131,0.000120670930372873
"postquam",0.00771758233361351,0.00802415190275681,0.00818675528896814,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,0.0141957318792893,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"qua",7.64117062734011e-05,7.94470485421467e-05,0.0203453027478317,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,0.0188963053492526,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"quare",7.64117062734011e-05,0.0159688567569715,8.10569830590905e-05,0.00423693611364958,8.37731423305688e-05,8.70549316618787e-05,0.0175745387776515,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"quicquid",7.64117062734011e-05,0.0159688567569715,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,0.0237083215264003,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"sumus",7.64117062734011e-05,7.94470485421467e-05,0.0162924535948772,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.0256462654541739,0.000120670930372873
"totum",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.00886976376569773,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.035863901093287,0.000120670930372873
