"","ego_inquam_sum_tu_ille_Trimalchio_Et","sum_tu_aut_ego_inquam_ille_Quid","sum_neque_enim_sed_hic_suus_homo","ego_neo_quidem_meus_hic_ab_sed","inquam_ego_tu_hic_ille_sum_tam","ego_ille_hic_sum_puer_facio_is","neque_ergo_aut_hic_sed_possum_omnis","supo_manus_omnis_ille_totus_sui_atque","sum_ille_alter_de_habeo_sui_ego","suus_totus_manus_oculus_puer_Giton_autem","ego_sum_idem_manus_tamquam_do_is","sum_nos_ex_Trimalchio_jubeo_modus_suus","atque_pectus_malus_corpus_meus_dum_ante","jam_hic_sum_ipse_inter_facio_ab","atque_per_alius_totus_orbis_nox_furo"
"de",0.00995170911845469,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,0.00577682685977617,0.0235422618047387,0.0101847144551771,0.00976777167168942,0.00629575402635432,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"facio",9.46880030300161e-06,0.0146117239887519,1.16130530716525e-05,0.00508173868964643,0.000705296639468953,0.017691981332202,1.48676776687481e-05,1.64581961816985e-05,0.0100991430011763,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,0.0123514906971531,2.2517451024544e-05
"is",0.00474386895180381,1.08154877784988e-05,0.00930205551039368,0.00381447218350019,1.38293458719403e-05,0.0169848677697638,1.48676776687481e-05,0.00989137590520079,1.6803898504453e-05,0.000864260294865277,0.0133132423329197,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"quidem",0.00663762901240413,1.08154877784988e-05,0.00291487632098479,0.0285261690533519,0.00623703498824506,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,0.00337758359939506,0.00171157430943908,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,0.00452600765593335
"tam",0.00853138907300445,1.08154877784988e-05,0.0145279293926373,0.0107844379673045,0.0138431752178122,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"ex",9.46880030300161e-06,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,1.38293458719403e-05,0.00213548295856315,0.0133957775795421,1.64581961816985e-05,0.0134599227020669,0.00933740044060329,0.00533593334515157,0.0209370424597365,2.14546234713581e-05,0.00450571620712845,2.2517451024544e-05
"inter",9.46880030300161e-06,1.08154877784988e-05,0.00988270816397631,0.00571537194271955,0.00554556769464804,0.00779239145806817,1.48676776687481e-05,1.64581961816985e-05,0.00421777852461771,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,0.00645784166487878,0.0145931405514459,0.0101553704120694
"ergo",9.46880030300161e-06,0.00758165693272767,1.16130530716525e-05,1.26726650614624e-05,0.0110773060434241,0.00213548295856315,0.0238031519476658,0.00824555628703094,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,0.00226406635283569,2.2517451024544e-05
"Et",0.0151595492851056,1.08154877784988e-05,0.00988270816397631,1.26726650614624e-05,1.38293458719403e-05,0.00708527789563004,1.48676776687481e-05,1.64581961816985e-05,0.0143001176272895,0.000864260294865277,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"homo",0.00569074898210397,0.0054185593770279,0.0191731506212983,0.00191357242428083,0.0103858387498271,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,0.00253738867417241,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"totus",0.00758450904270429,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,1.38293458719403e-05,1.41422712487626e-05,0.00447517097829319,0.0140059249506254,1.6803898504453e-05,0.0186578546009151,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,0.0169106057194326
"ipse",9.46880030300161e-06,1.08154877784988e-05,0.0133666240854721,1.26726650614624e-05,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,0.00824555628703094,1.6803898504453e-05,0.0118793424843247,0.00533593334515157,0.00838736665969462,2.14546234713581e-05,0.0157139654785922,2.2517451024544e-05
"Trimalchio",0.0156329893002557,0.00487778498810296,1.16130530716525e-05,1.26726650614624e-05,1.38293458719403e-05,0.00284259652100127,1.48676776687481e-05,0.00166227781435155,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,0.0188454298263961,2.14546234713581e-05,0.0101098408428603,2.2517451024544e-05
"magnus",9.46880030300161e-06,1.08154877784988e-05,0.0180118453141331,0.0069826384488658,0.00831143686903609,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,0.000864260294865277,1.77273533061514e-05,2.09161263334031e-05,0.00860330401201459,0.0112306657700067,2.2517451024544e-05
"Quid",0.00427042893665373,0.0156932727666018,1.16130530716525e-05,1.26726650614624e-05,0.00900290416263311,0.00849950502050629,0.00670532262860541,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"tamquam",0.00569074898210397,0.00758165693272767,1.16130530716525e-05,0.00508173868964643,1.38293458719403e-05,0.00284259652100127,0.0052185548617306,1.64581961816985e-05,0.00673836330028567,1.6946280291476e-05,0.0141996099982273,0.00106672244300356,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"habeo",0.00900482908815453,0.00433701059917802,1.16130530716525e-05,0.00254720567735395,1.38293458719403e-05,0.00213548295856315,1.48676776687481e-05,1.64581961816985e-05,0.022702066879516,1.6946280291476e-05,0.00710866867576671,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"Itaque",9.46880030300161e-06,0.00920398009950249,1.16130530716525e-05,0.00634900519579268,0.00623703498824506,0.00991373214538255,0.00224501932798097,1.64581961816985e-05,0.00757855822550832,1.6946280291476e-05,0.00533593334515157,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"coepio",0.00569074898210397,1.08154877784988e-05,1.16130530716525e-05,0.00951717146115828,1.38293458719403e-05,0.00920661858294442,1.48676776687481e-05,0.00824555628703094,1.6803898504453e-05,0.0144212845280461,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"bonus",0.00569074898210397,0.013530175210902,0.00523748693531529,0.00254720567735395,1.38293458719403e-05,0.0035497100834394,1.48676776687481e-05,1.64581961816985e-05,0.00841875315073097,1.6946280291476e-05,1.77273533061514e-05,0.00106672244300356,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"alius",9.46880030300161e-06,0.0108263032662773,1.16130530716525e-05,1.26726650614624e-05,0.0117687733370212,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,0.00838736665969462,2.14546234713581e-05,2.24164985429276e-05,0.0225399684755686
"Nec",0.00947826910330461,1.08154877784988e-05,0.00523748693531529,0.00951717146115828,1.38293458719403e-05,0.00425682364587753,0.00447517097829319,1.64581961816985e-05,1.6803898504453e-05,0.00594814438230808,1.77273533061514e-05,0.00106672244300356,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"dico",0.0108985891487549,0.0102855288773524,0.00407618162815004,0.00127993917120771,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,0.0128942287062862,2.24164985429276e-05,2.2517451024544e-05
"per",9.46880030300161e-06,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,0.00692850228184207,0.00708527789563004,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,0.00679545839688188,0.00622230101045914,2.09161263334031e-05,0.00645784166487878,2.24164985429276e-05,0.0236658410267958
"tamen",0.0108985891487549,0.00595933376595284,1.16130530716525e-05,0.000646305918134584,0.00900290416263311,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,0.0117795328516216,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"puto",0.0023766688760534,0.0108263032662773,0.00930205551039368,0.0120517044734508,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"autem",0.00379698892150365,0.00595933376595284,1.16130530716525e-05,1.26726650614624e-05,0.00623703498824506,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,0.0152685985426199,1.77273533061514e-05,0.00734156034302447,2.14546234713581e-05,0.00562654113427483,2.2517451024544e-05
"Non",0.00805794905785437,1.08154877784988e-05,0.00523748693531529,1.26726650614624e-05,0.00277969852025999,0.0106208457078207,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,0.0128942287062862,2.24164985429276e-05,2.2517451024544e-05
"possum",0.00379698892150365,0.00487778498810296,0.0110440134711416,1.26726650614624e-05,1.38293458719403e-05,1.41422712487626e-05,0.0156259292298543,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"Sed",9.46880030300161e-06,0.0054185593770279,0.00465683428173267,1.26726650614624e-05,0.000705296639468953,0.00496393720831566,0.00224501932798097,1.64581961816985e-05,0.0109393379263989,1.6946280291476e-05,0.0115405070023046,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"video",0.00285010889120348,1.08154877784988e-05,0.00523748693531529,0.00508173868964643,1.38293458719403e-05,0.00142836939612502,0.00967885816235504,0.00166227781435155,0.00757855822550832,1.6946280291476e-05,0.00533593334515157,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"supo",9.46880030300161e-06,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,0.018943383805135,0.0201814821038481,0.00510083036773428,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"malus",0.00332354890635357,1.08154877784988e-05,0.0104633608175589,1.26726650614624e-05,0.00139676393306597,0.00496393720831566,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,0.00106672244300356,0.0182578845741257,2.24164985429276e-05,2.2517451024544e-05
"nihil",0.00663762901240413,0.00487778498810296,0.00872140285681106,0.00571537194271955,1.38293458719403e-05,0.00284259652100127,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"nitor",0.00616418899725405,0.00920398009950249,0.00349552897456741,0.00318083893042707,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,0.00943317297636478,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"sinum",9.46880030300161e-06,0.00650010815487778,1.16130530716525e-05,0.0069826384488658,1.38293458719403e-05,1.41422712487626e-05,0.00893547427891763,1.64581961816985e-05,0.000856998823727105,0.00594814438230808,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,0.00226406635283569,0.00565188020716055
"res",9.46880030300161e-06,0.0108263032662773,0.00872140285681106,0.00444810543657331,1.38293458719403e-05,1.41422712487626e-05,0.00150163544454356,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,0.00524994770968417,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"parvus",9.46880030300161e-06,1.08154877784988e-05,1.16130530716525e-05,0.00318083893042707,1.38293458719403e-05,0.00425682364587753,0.00967885816235504,1.64581961816985e-05,1.6803898504453e-05,0.00764277241145568,0.004449565679844,0.0104789792930349,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"jubeo",0.00474386895180381,1.08154877784988e-05,0.00233422366740216,1.26726650614624e-05,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,0.00577682685977617,1.6803898504453e-05,1.6946280291476e-05,0.00622230101045914,0.0188454298263961,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"Ego",0.00379698892150365,0.00758165693272767,1.16130530716525e-05,1.26726650614624e-05,0.00485410040105103,1.41422712487626e-05,1.48676776687481e-05,0.00413100724160632,1.6803898504453e-05,0.00933740044060329,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"corpus",0.00190322886090332,1.08154877784988e-05,1.16130530716525e-05,0.00508173868964643,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,0.0123601053324556,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,0.0182578845741257,2.24164985429276e-05,2.2517451024544e-05
"idem",9.46880030300161e-06,1.08154877784988e-05,1.16130530716525e-05,0.00571537194271955,1.38293458719403e-05,1.41422712487626e-05,0.00373178709485578,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,0.023063286651303,2.09161263334031e-05,0.00431237931774297,2.24164985429276e-05,2.2517451024544e-05
"pars",9.46880030300161e-06,1.08154877784988e-05,1.16130530716525e-05,0.00824990495501204,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,0.00413100724160632,0.0117795328516216,0.0101847144551771,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"volo",0.00332354890635357,0.00595933376595284,0.00697944489606317,1.26726650614624e-05,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,0.00888140400638185,2.09161263334031e-05,0.00431237931774297,2.24164985429276e-05,2.2517451024544e-05
"multus",0.00474386895180381,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,1.38293458719403e-05,0.0106208457078207,1.48676776687481e-05,1.64581961816985e-05,0.0134599227020669,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,0.00226406635283569,2.2517451024544e-05
"unus",0.00190322886090332,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,1.38293458719403e-05,1.41422712487626e-05,0.005961938745168,0.00824555628703094,0.0159805074777348,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,0.00226406635283569,2.2517451024544e-05
"scio",0.00995170911845469,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,0.00692850228184207,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,0.00589816837506301,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,0.00452600765593335
"Nam",9.46880030300161e-06,0.00812243132165261,1.16130530716525e-05,0.00508173868964643,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,0.0143001176272895,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"oculus",9.46880030300161e-06,1.08154877784988e-05,0.0075600975496458,0.00191357242428083,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,0.0169632265717675,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,0.00452600765593335
"primus",9.46880030300161e-06,1.08154877784988e-05,1.16130530716525e-05,0.00254720567735395,1.38293458719403e-05,0.00991373214538255,1.48676776687481e-05,1.64581961816985e-05,0.00673836330028567,1.6946280291476e-05,0.0124268746676121,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"caput",9.46880030300161e-06,1.08154877784988e-05,1.16130530716525e-05,0.00888353820808516,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,0.00989137590520079,0.00505797344984036,1.6946280291476e-05,0.000904095018613721,0.00629575402635432,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"do",0.00521730896695389,0.00325546182132814,1.16130530716525e-05,1.26726650614624e-05,1.38293458719403e-05,0.0035497100834394,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,0.0141996099982273,2.09161263334031e-05,2.14546234713581e-05,0.00114324142568931,2.2517451024544e-05
"solus",9.46880030300161e-06,1.08154877784988e-05,0.00988270816397631,0.00318083893042707,0.00831143686903609,0.0035497100834394,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"tuus",9.46880030300161e-06,0.00920398009950249,1.16130530716525e-05,1.26726650614624e-05,0.0124602406306182,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,0.00452600765593335
"venio",9.46880030300161e-06,1.08154877784988e-05,0.0075600975496458,0.00634900519579268,1.38293458719403e-05,0.00637816433319191,0.0052185548617306,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"verus",0.0023766688760534,1.08154877784988e-05,0.00814075020322843,1.26726650614624e-05,0.00554556769464804,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,0.00679545839688188,1.77273533061514e-05,2.09161263334031e-05,0.00431237931774297,2.24164985429276e-05,2.2517451024544e-05
"diu",0.00285010889120348,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,0.0103858387498271,0.00849950502050629,1.48676776687481e-05,0.0033080974325214,1.6803898504453e-05,0.000864260294865277,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"dies",0.00379698892150365,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,0.000705296639468953,0.00637816433319191,0.00744870651204282,1.64581961816985e-05,0.00589816837506301,1.6946280291476e-05,1.77273533061514e-05,0.00106672244300356,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"pro",0.00427042893665373,0.00487778498810296,1.16130530716525e-05,1.26726650614624e-05,1.38293458719403e-05,1.41422712487626e-05,1.48676776687481e-05,1.64581961816985e-05,0.0100991430011763,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,0.00677775275838775
"quia",0.00474386895180381,0.0054185593770279,0.00175357101381953,1.26726650614624e-05,1.38293458719403e-05,1.41422712487626e-05,0.0052185548617306,1.64581961816985e-05,0.00505797344984036,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
